
t/1	ANGLE/1
0.000000000E0	1.091925688E2
4.000000000E-2	1.097260727E2
8.000000000E-2	1.105887401E2
1.200000000E-1	1.116156477E2
1.600000000E-1	1.125198346E2
2.000000000E-1	1.141473573E2
2.400000000E-1	1.159815114E2
2.800000000E-1	1.183363948E2
3.200000000E-1	1.207483245E2
3.600000000E-1	1.234004048E2
4.000000000E-1	1.259946273E2
4.400000000E-1	1.271893667E2
4.800000000E-1	1.271945427E2
5.200000000E-1	1.267398532E2
5.600000000E-1	1.257825696E2
6.000000000E-1	1.248189292E2
6.400000000E-1	1.235508738E2
6.800000000E-1	1.223124630E2
7.200000000E-1	1.213674123E2
7.600000000E-1	1.202876250E2
8.000000000E-1	1.191799916E2
8.400000000E-1	1.183061948E2
8.800000000E-1	1.178550969E2
9.200000000E-1	1.174640599E2
9.600000000E-1	1.171246672E2
1.000000000E0	1.168484882E2
1.040000000E0	1.166156685E2
1.080000000E0	1.164572617E2
1.120000000E0	1.160225957E2
1.160000000E0	1.155966037E2
1.200000000E0	1.148790923E2
1.240000000E0	1.141641983E2
1.280000000E0	1.131730933E2
1.320000000E0	1.122675424E2
1.360000000E0	1.112994434E2
1.400000000E0	1.109018031E2
1.440000000E0	1.106645952E2
1.480000000E0	1.109392827E2
1.520000000E0	1.111385953E2
1.560000000E0	1.113264450E2
1.600000000E0	1.116146351E2
1.640000000E0	1.117062490E2
1.680000000E0	1.114170304E2
1.720000000E0	1.111450230E2
1.760000000E0	1.109609145E2
1.800000000E0	1.106905503E2
1.840000000E0	1.106457644E2
1.880000000E0	1.107418255E2
1.920000000E0	1.101277647E2
1.960000000E0	1.096523693E2
2.000000000E0	1.091307240E2
2.040000000E0	1.093673113E2
2.080000000E0	1.093132716E2
2.120000000E0	1.092888546E2
2.160000000E0	1.092579592E2
2.200000000E0	1.091930818E2
2.240000000E0	1.092378442E2
2.280000000E0	1.095240646E2
2.320000000E0	1.095492820E2
2.360000000E0	1.095802841E2
2.400000000E0	1.095017725E2
2.440000000E0	1.094604741E2
2.480000000E0	1.094273877E2
2.520000000E0	1.093657511E2
2.560000000E0	1.093413564E2
2.600000000E0	1.093786186E2
2.640000000E0	1.093737909E2
2.680000000E0	1.093646697E2
2.720000000E0	1.094505871E2
2.760000000E0	1.100122237E2
2.800000000E0	1.114199120E2
2.840000000E0	1.136921598E2
