
t/1	ANGLE/1
0.000000000E0	2.341388364E1
4.000000000E-2	2.343480822E1
8.000000000E-2	2.356102497E1
1.200000000E-1	2.357362585E1
1.600000000E-1	2.352381629E1
2.000000000E-1	2.360614565E1
2.400000000E-1	2.368512044E1
2.800000000E-1	2.395838690E1
3.200000000E-1	2.426614866E1
3.600000000E-1	2.482995962E1
4.000000000E-1	2.543300493E1
4.400000000E-1	2.556312013E1
4.800000000E-1	2.561600285E1
5.200000000E-1	2.577951392E1
5.600000000E-1	2.589738790E1
6.000000000E-1	2.587836666E1
6.400000000E-1	2.561081671E1
6.800000000E-1	2.540123252E1
7.200000000E-1	2.528674442E1
7.600000000E-1	2.530568807E1
8.000000000E-1	2.520503605E1
8.400000000E-1	2.496513380E1
8.800000000E-1	2.484043734E1
9.200000000E-1	2.473230649E1
9.600000000E-1	2.465778523E1
1.000000000E0	2.459100632E1
1.040000000E0	2.454678145E1
1.080000000E0	2.451910237E1
1.120000000E0	2.451912269E1
1.160000000E0	2.447554878E1
1.200000000E0	2.436970860E1
1.240000000E0	2.449763880E1
1.280000000E0	2.456801326E1
1.320000000E0	2.463255530E1
1.360000000E0	2.452574993E1
1.400000000E0	2.448976922E1
1.440000000E0	2.448277457E1
1.480000000E0	2.453385428E1
1.520000000E0	2.462791119E1
1.560000000E0	2.471531945E1
1.600000000E0	2.486547429E1
1.640000000E0	2.489987267E1
1.680000000E0	2.478404623E1
1.720000000E0	2.479401546E1
1.760000000E0	2.468147361E1
1.800000000E0	2.462249856E1
1.840000000E0	2.457779411E1
1.880000000E0	2.436576918E1
1.920000000E0	2.387723972E1
1.960000000E0	2.366504392E1
2.000000000E0	2.360540642E1
2.040000000E0	2.382471844E1
2.080000000E0	2.390160381E1
2.120000000E0	2.388357783E1
2.160000000E0	2.384891165E1
2.200000000E0	2.377311057E1
2.240000000E0	2.378706536E1
2.280000000E0	2.385448700E1
2.320000000E0	2.383552172E1
2.360000000E0	2.387323330E1
2.400000000E0	2.377767656E1
2.440000000E0	2.361606759E1
2.480000000E0	2.360742355E1
2.520000000E0	2.360217867E1
2.560000000E0	2.360761592E1
2.600000000E0	2.360258837E1
2.640000000E0	2.356240666E1
2.680000000E0	2.368844195E1
2.720000000E0	2.436269228E1
2.760000000E0	2.587241321E1
2.800000000E0	2.859203375E1
2.840000000E0	3.214584763E1
2.880000000E0	3.652473418E1
2.920000000E0	4.155472898E1
2.960000000E0	4.733773771E1
3.000000000E0	5.326379266E1
3.040000000E0	5.925259277E1
3.080000000E0	6.488794685E1
3.120000000E0	6.984560856E1
3.160000000E0	7.394127731E1
3.200000000E0	7.692079997E1
3.240000000E0	7.902098319E1
3.280000000E0	8.042165370E1
3.320000000E0	8.139182526E1
3.360000000E0	8.207848982E1
3.400000000E0	8.259331838E1
3.440000000E0	8.271581246E1
3.480000000E0	8.259462326E1
3.520000000E0	8.251251407E1
3.560000000E0	8.210002080E1
3.600000000E0	8.116364696E1
3.640000000E0	7.967984382E1
3.680000000E0	7.703956664E1
3.720000000E0	7.369718793E1
3.760000000E0	6.946262236E1
3.800000000E0	6.526181579E1
3.840000000E0	6.058294665E1
3.880000000E0	5.552709920E1
3.920000000E0	5.013920827E1
3.960000000E0	4.442532961E1
4.000000000E0	3.898064630E1
4.040000000E0	3.402403432E1
4.080000000E0	2.940931742E1
4.120000000E0	2.550828887E1
4.160000000E0	2.221711729E1
4.200000000E0	1.972381521E1
4.240000000E0	1.768431701E1
4.280000000E0	1.631703311E1
4.320000000E0	1.552779014E1
4.360000000E0	1.510931606E1
4.400000000E0	1.518572509E1
4.440000000E0	1.534602731E1
4.480000000E0	1.561350035E1
4.520000000E0	1.560872449E1
4.560000000E0	1.564811057E1
4.600000000E0	1.564749776E1
4.640000000E0	1.566652923E1
4.680000000E0	1.566442422E1
4.720000000E0	1.631662500E1
4.760000000E0	1.820631501E1
4.800000000E0	2.128760652E1
4.840000000E0	2.559613586E1
4.880000000E0	3.118595537E1
4.920000000E0	3.776987829E1
4.960000000E0	4.479776854E1
5.000000000E0	5.166790431E1
5.040000000E0	5.829325603E1
5.080000000E0	6.419088659E1
5.120000000E0	6.933628267E1
5.160000000E0	7.360292524E1
5.200000000E0	7.691553620E1
5.240000000E0	7.939082185E1
5.280000000E0	8.111316058E1
5.320000000E0	8.211415572E1
5.360000000E0	8.292713717E1
5.400000000E0	8.328059608E1
5.440000000E0	8.353257808E1
5.480000000E0	8.345246142E1
5.520000000E0	8.316469615E1
5.560000000E0	8.277540181E1
5.600000000E0	8.184446160E1
5.640000000E0	8.057521346E1
5.680000000E0	7.818068150E1
5.720000000E0	7.529566578E1
5.760000000E0	7.156425131E1
5.800000000E0	6.731599477E1
5.840000000E0	6.263993439E1
5.880000000E0	5.768779338E1
5.920000000E0	5.283963349E1
5.960000000E0	4.787934983E1
6.000000000E0	4.263079170E1
6.040000000E0	3.768786378E1
6.080000000E0	3.330684913E1
6.120000000E0	2.910757349E1
6.160000000E0	2.489083355E1
6.200000000E0	2.128801964E1
6.240000000E0	1.844301970E1
