
t/1	ANGLE/1
0.000000000E0	8.982608986E1
4.000000000E-2	9.029583091E1
8.000000000E-2	9.090882163E1
1.200000000E-1	9.155374745E1
1.600000000E-1	9.207563956E1
2.000000000E-1	9.267191912E1
2.400000000E-1	9.327895286E1
2.800000000E-1	9.411667794E1
3.200000000E-1	9.502168715E1
3.600000000E-1	9.607198532E1
4.000000000E-1	9.740702755E1
4.400000000E-1	9.831675429E1
4.800000000E-1	9.839323858E1
5.200000000E-1	9.799179669E1
5.600000000E-1	9.713551682E1
6.000000000E-1	9.620117730E1
6.400000000E-1	9.522862947E1
6.800000000E-1	9.416897805E1
7.200000000E-1	9.331231625E1
7.600000000E-1	9.241364082E1
8.000000000E-1	9.169887417E1
8.400000000E-1	9.129741156E1
8.800000000E-1	9.106923320E1
9.200000000E-1	9.101427763E1
9.600000000E-1	9.103949019E1
1.000000000E0	9.110714893E1
1.040000000E0	9.121798893E1
1.080000000E0	9.137536990E1
1.120000000E0	9.125639095E1
1.160000000E0	9.115604584E1
1.200000000E0	9.085777005E1
1.240000000E0	9.046486193E1
1.280000000E0	8.983658173E1
1.320000000E0	8.927963995E1
1.360000000E0	8.884800972E1
1.400000000E0	8.877704239E1
1.440000000E0	8.883136621E1
1.480000000E0	8.908568761E1
1.520000000E0	8.922168176E1
1.560000000E0	8.932135418E1
1.600000000E0	8.945862678E1
1.640000000E0	8.943544853E1
1.680000000E0	8.910399861E1
1.720000000E0	8.874565421E1
1.760000000E0	8.866934526E1
1.800000000E0	8.847074738E1
1.840000000E0	8.847761814E1
1.880000000E0	8.874276473E1
1.920000000E0	8.881150803E1
1.960000000E0	8.872098587E1
2.000000000E0	8.841399520E1
2.040000000E0	8.829568504E1
2.080000000E0	8.810241670E1
2.120000000E0	8.807785558E1
2.160000000E0	8.807355789E1
2.200000000E0	8.809307162E1
2.240000000E0	8.811942410E1
2.280000000E0	8.834253460E1
2.320000000E0	8.841550495E1
2.360000000E0	8.846397229E1
2.400000000E0	8.858431486E1
2.440000000E0	8.870313136E1
2.480000000E0	8.871174619E1
2.520000000E0	8.868005439E1
2.560000000E0	8.865723415E1
2.600000000E0	8.870747339E1
2.640000000E0	8.872677469E1
2.680000000E0	8.871831491E1
2.720000000E0	8.836644623E1
2.760000000E0	8.763195494E1
2.800000000E0	8.660805092E1
2.840000000E0	8.539495510E1
2.880000000E0	8.413871015E1
2.920000000E0	8.260514870E1
2.960000000E0	8.076714000E1
3.000000000E0	7.895881482E1
3.040000000E0	7.702316000E1
3.080000000E0	7.508936236E1
3.120000000E0	7.318564681E1
3.160000000E0	7.140755457E1
3.200000000E0	6.988788744E1
3.240000000E0	6.868119995E1
3.280000000E0	6.784379828E1
3.320000000E0	6.726448127E1
3.360000000E0	6.695277667E1
3.400000000E0	6.673010579E1
3.440000000E0	6.667250161E1
3.480000000E0	6.665314555E1
3.520000000E0	6.670965797E1
3.560000000E0	6.682570271E1
3.600000000E0	6.715119741E1
3.640000000E0	6.769783989E1
3.680000000E0	6.846077775E1
3.720000000E0	6.941017579E1
3.760000000E0	7.054640733E1
