
t/1	ANGLE/1
0.000000000E0	8.961205320E1
4.000000000E-2	8.961946492E1
8.000000000E-2	8.813953681E1
1.200000000E-1	8.673621786E1
1.600000000E-1	8.551289694E1
2.000000000E-1	8.464054643E1
2.400000000E-1	8.413136305E1
2.800000000E-1	8.402600340E1
3.200000000E-1	8.420180781E1
3.600000000E-1	8.424999531E1
4.000000000E-1	8.431290663E1
4.400000000E-1	8.420601101E1
4.800000000E-1	8.415120444E1
5.200000000E-1	8.407134467E1
5.600000000E-1	8.385224248E1
6.000000000E-1	8.374174072E1
6.400000000E-1	8.367396084E1
6.800000000E-1	8.345058101E1
7.200000000E-1	8.303482490E1
7.600000000E-1	8.178880696E1
8.000000000E-1	8.184985501E1
8.400000000E-1	8.129678619E1
8.800000000E-1	8.078684731E1
9.200000000E-1	8.042336714E1
9.600000000E-1	8.046628679E1
1.000000000E0	8.076562870E1
1.040000000E0	8.106583713E1
1.080000000E0	8.111550694E1
1.120000000E0	8.113176611E1
1.160000000E0	8.107407511E1
1.200000000E0	8.107228631E1
1.240000000E0	8.107121720E1
1.280000000E0	8.104538514E1
1.320000000E0	8.104979871E1
1.360000000E0	8.103913459E1
1.400000000E0	8.104532150E1
1.440000000E0	8.104737572E1
1.480000000E0	8.104726753E1
1.520000000E0	8.104434898E1
1.560000000E0	8.105544289E1
1.600000000E0	8.106130364E1
1.640000000E0	8.106473372E1
1.680000000E0	8.104997237E1
1.720000000E0	8.100372410E1
1.760000000E0	8.102521621E1
1.800000000E0	8.104195246E1
1.840000000E0	8.089896116E1
1.880000000E0	8.074265787E1
1.920000000E0	8.069873498E1
1.960000000E0	8.069315089E1
2.000000000E0	8.065360918E1
2.040000000E0	8.055395681E1
2.080000000E0	8.038401024E1
2.120000000E0	8.013582688E1
2.160000000E0	7.959369050E1
2.200000000E0	7.900387025E1
2.240000000E0	7.781382974E1
2.280000000E0	7.625277287E1
2.320000000E0	7.476275290E1
2.360000000E0	7.319646926E1
2.400000000E0	7.157387213E1
2.440000000E0	7.019562006E1
2.480000000E0	6.908471862E1
2.520000000E0	6.806129920E1
2.560000000E0	6.710618903E1
2.600000000E0	6.634498592E1
2.640000000E0	6.573182075E1
2.680000000E0	6.557586041E1
2.720000000E0	6.591029527E1
2.760000000E0	6.660014953E1
2.800000000E0	6.745374916E1
2.840000000E0	6.835336175E1
2.880000000E0	6.924936658E1
2.920000000E0	7.027688904E1
2.960000000E0	7.145117874E1
3.000000000E0	7.247322705E1
3.040000000E0	7.359356668E1
3.080000000E0	7.456938045E1
3.120000000E0	7.539168902E1
3.160000000E0	7.589976053E1
3.200000000E0	7.588264601E1
3.240000000E0	7.581362491E1
3.280000000E0	7.549407832E1
3.320000000E0	7.517450549E1
3.360000000E0	7.514783773E1
3.400000000E0	7.515217104E1
3.440000000E0	7.541517559E1
3.480000000E0	7.545235176E1
3.520000000E0	7.565056226E1
3.560000000E0	7.568293671E1
3.600000000E0	7.604190352E1
3.640000000E0	7.665152709E1
3.680000000E0	7.750034472E1
3.720000000E0	7.837508030E1
3.760000000E0	7.941042833E1
3.800000000E0	8.055404384E1
3.840000000E0	8.154054283E1
3.880000000E0	8.222726462E1
3.920000000E0	8.240511736E1
3.960000000E0	8.222352855E1
4.000000000E0	8.202212773E1
4.040000000E0	8.172068484E1
4.080000000E0	8.147769343E1
4.120000000E0	8.151269274E1
4.160000000E0	8.158348749E1
4.200000000E0	8.164723916E1
4.240000000E0	8.169834437E1
4.280000000E0	8.162438421E1
4.320000000E0	8.158254586E1
4.360000000E0	8.123857565E1
4.400000000E0	8.051942763E1
4.440000000E0	7.975265446E1
4.480000000E0	7.855038062E1
4.520000000E0	7.710349447E1
4.560000000E0	7.534137223E1
