
t/1	ANGLE/1
0.000000000E0	1.924137029E1
4.000000000E-2	1.922111012E1
8.000000000E-2	1.922232093E1
1.200000000E-1	1.918163722E1
1.600000000E-1	1.920545624E1
2.000000000E-1	1.920944689E1
2.400000000E-1	1.922505052E1
2.800000000E-1	1.921641598E1
3.200000000E-1	1.920197928E1
3.600000000E-1	1.920182680E1
4.000000000E-1	1.922415349E1
4.400000000E-1	1.923578713E1
4.800000000E-1	1.922969103E1
5.200000000E-1	1.923835699E1
5.600000000E-1	1.924862970E1
6.000000000E-1	1.924841527E1
6.400000000E-1	1.924901402E1
6.800000000E-1	1.925336276E1
7.200000000E-1	1.926599221E1
7.600000000E-1	1.926925263E1
8.000000000E-1	1.926143875E1
8.400000000E-1	1.925233929E1
8.800000000E-1	1.924981816E1
9.200000000E-1	1.925843541E1
9.600000000E-1	1.925048828E1
1.000000000E0	1.924310920E1
1.040000000E0	1.924273585E1
1.080000000E0	1.924289079E1
1.120000000E0	1.923814961E1
1.160000000E0	1.923861889E1
1.200000000E0	1.923788637E1
1.240000000E0	1.923601229E1
1.280000000E0	1.923934826E1
1.320000000E0	1.922842768E1
1.360000000E0	1.923314205E1
1.400000000E0	1.923454102E1
1.440000000E0	1.923641133E1
1.480000000E0	1.925080073E1
1.520000000E0	1.927018112E1
1.560000000E0	1.929194465E1
1.600000000E0	1.936000908E1
1.640000000E0	1.939013184E1
1.680000000E0	1.932363746E1
1.720000000E0	1.935680884E1
1.760000000E0	1.931945826E1
1.800000000E0	1.929931522E1
1.840000000E0	1.964254875E1
1.880000000E0	2.075598477E1
1.920000000E0	2.297558661E1
1.960000000E0	2.738029408E1
2.000000000E0	3.323542739E1
2.040000000E0	4.006931314E1
2.080000000E0	4.787442390E1
2.120000000E0	5.609216747E1
2.160000000E0	6.385076523E1
2.200000000E0	7.088779584E1
2.240000000E0	7.661675281E1
2.280000000E0	8.091195167E1
2.320000000E0	8.378177759E1
2.360000000E0	8.557235881E1
2.400000000E0	8.632074691E1
2.440000000E0	8.635203052E1
2.480000000E0	8.619921607E1
2.520000000E0	8.579482742E1
2.560000000E0	8.466390531E1
2.600000000E0	8.197022617E1
2.640000000E0	7.879725760E1
2.680000000E0	7.526970924E1
2.720000000E0	7.100883452E1
2.760000000E0	6.647413982E1
2.800000000E0	6.177601468E1
2.840000000E0	5.721705033E1
2.880000000E0	5.276261696E1
2.920000000E0	4.891409393E1
2.960000000E0	4.479147022E1
3.000000000E0	4.143150581E1
3.040000000E0	3.884755344E1
3.080000000E0	3.738336528E1
3.120000000E0	3.712308956E1
3.160000000E0	3.720830724E1
3.200000000E0	3.756865497E1
3.240000000E0	3.763379676E1
3.280000000E0	3.721842797E1
3.320000000E0	3.612768789E1
3.360000000E0	3.402477687E1
3.400000000E0	3.099791255E1
3.440000000E0	2.761814646E1
3.480000000E0	2.386654652E1
3.520000000E0	2.021070137E1
3.560000000E0	1.743907943E1
3.600000000E0	1.536066509E1
3.640000000E0	1.385926571E1
3.680000000E0	1.322150490E1
3.720000000E0	1.280102942E1
3.760000000E0	1.302376084E1
3.800000000E0	1.307253471E1
3.840000000E0	1.311327307E1
3.880000000E0	1.305064788E1
3.920000000E0	1.304831944E1
3.960000000E0	1.307342889E1
4.000000000E0	1.307576934E1
4.040000000E0	1.311598830E1
4.080000000E0	1.342202244E1
4.120000000E0	1.455874791E1
4.160000000E0	1.695139954E1
4.200000000E0	2.114257143E1
4.240000000E0	2.692105746E1
4.280000000E0	3.407859380E1
4.320000000E0	4.205886319E1
4.360000000E0	5.029924573E1
4.400000000E0	5.774840598E1
4.440000000E0	6.486675525E1
4.480000000E0	7.093051726E1
4.520000000E0	7.580003261E1
4.560000000E0	7.950444870E1
4.600000000E0	8.203589800E1
4.640000000E0	8.388899955E1
4.680000000E0	8.509281322E1
4.720000000E0	8.581983762E1
4.760000000E0	8.583816992E1
4.800000000E0	8.541250917E1
4.840000000E0	8.444475803E1
4.880000000E0	8.297480439E1
4.920000000E0	8.075144193E1
4.960000000E0	7.815608274E1
5.000000000E0	7.521693653E1
5.040000000E0	7.187928006E1
5.080000000E0	6.770418966E1
5.120000000E0	6.381503066E1
5.160000000E0	5.984833989E1
5.200000000E0	5.583632296E1
5.240000000E0	5.211764653E1
5.280000000E0	4.844867294E1
5.320000000E0	4.528327760E1
5.360000000E0	4.225160118E1
5.400000000E0	3.988467571E1
5.440000000E0	3.778123583E1
5.480000000E0	3.585642295E1
5.520000000E0	3.468876965E1
5.560000000E0	3.440335592E1
5.600000000E0	3.405691594E1
5.640000000E0	3.413947331E1
5.680000000E0	3.389696693E1
5.720000000E0	3.326138024E1
5.760000000E0	3.192237638E1
5.800000000E0	2.980338444E1
5.840000000E0	2.705373203E1
5.880000000E0	2.367554956E1
5.920000000E0	2.031519703E1
5.960000000E0	1.728346554E1
6.000000000E0	1.511563712E1
6.040000000E0	1.394514212E1
6.080000000E0	1.415390377E1
6.120000000E0	1.508874539E1
6.160000000E0	1.622063600E1
6.200000000E0	1.703549290E1
6.240000000E0	1.771299665E1
6.280000000E0	1.767236686E1
6.320000000E0	1.722161070E1
6.360000000E0	1.678230456E1
6.400000000E0	1.665511221E1
6.440000000E0	1.729030102E1
6.480000000E0	1.957755874E1
6.520000000E0	2.383470537E1
6.560000000E0	2.993865354E1
6.600000000E0	3.714753890E1
6.640000000E0	4.528188805E1
6.680000000E0	5.348229669E1
6.720000000E0	6.102575785E1
6.760000000E0	6.766933777E1
6.800000000E0	7.290316649E1
6.840000000E0	7.658605166E1
6.880000000E0	7.927453806E1
6.920000000E0	8.112438781E1
6.960000000E0	8.246736799E1
7.000000000E0	8.355654740E1
7.040000000E0	8.444926652E1
7.080000000E0	8.484307959E1
7.120000000E0	8.501339485E1
7.160000000E0	8.474574815E1
7.200000000E0	8.433585303E1
7.240000000E0	8.324268234E1
7.280000000E0	8.182832343E1
7.320000000E0	7.962696063E1
7.360000000E0	7.705492122E1
7.400000000E0	7.335644969E1
7.440000000E0	7.005871855E1
7.480000000E0	6.675166984E1
7.520000000E0	6.309550864E1
7.560000000E0	5.939448921E1
7.600000000E0	5.573113982E1
7.640000000E0	5.260176861E1
7.680000000E0	4.931296686E1
7.720000000E0	4.602900320E1
7.760000000E0	4.298931942E1
7.800000000E0	4.077005630E1
7.840000000E0	3.885678653E1
7.880000000E0	3.783522730E1
7.920000000E0	3.716284176E1
7.960000000E0	3.689640655E1
8.000000000E0	3.681295206E1
8.040000000E0	3.647398804E1
8.080000000E0	3.527516258E1
8.120000000E0	3.291222177E1
8.160000000E0	2.970166976E1
8.200000000E0	2.585770619E1
8.240000000E0	2.192036880E1
8.280000000E0	1.838002495E1
8.320000000E0	1.566532872E1
8.360000000E0	1.355917408E1
8.400000000E0	1.258005303E1
8.440000000E0	1.259440139E1
8.480000000E0	1.308866347E1
8.520000000E0	1.432828292E1
8.560000000E0	1.616815360E1
8.600000000E0	1.883363165E1
8.640000000E0	2.282666569E1
8.680000000E0	2.771984833E1
8.720000000E0	3.364265725E1
8.760000000E0	4.020323861E1
8.800000000E0	4.715305191E1
8.840000000E0	5.409423476E1
8.880000000E0	6.052118490E1
8.920000000E0	6.619110692E1
8.960000000E0	7.111675467E1
9.000000000E0	7.510960150E1
9.040000000E0	7.840802726E1
9.080000000E0	8.092779485E1
9.120000000E0	8.270857482E1
9.160000000E0	8.365253254E1
9.200000000E0	8.329334897E1
9.240000000E0	8.271730795E1
9.280000000E0	8.118030482E1
9.320000000E0	7.901856773E1
9.360000000E0	7.615731857E1
9.400000000E0	7.264495064E1
9.440000000E0	6.908757927E1
9.480000000E0	6.527533529E1
9.520000000E0	6.148325607E1
9.560000000E0	5.767052039E1
9.600000000E0	5.395320105E1
9.640000000E0	5.010973909E1
9.680000000E0	4.670185542E1
9.720000000E0	4.347223345E1
9.760000000E0	4.084470605E1
9.800000000E0	3.876469519E1
9.840000000E0	3.707801295E1
9.880000000E0	3.574206471E1
9.920000000E0	3.494406801E1
9.960000000E0	3.439558761E1
1.000000000E1	3.434021225E1
1.004000000E1	3.411202731E1
1.008000000E1	3.400290614E1
1.012000000E1	3.305783491E1
1.016000000E1	3.174422392E1
1.020000000E1	2.981056853E1
1.024000000E1	2.732008799E1
1.028000000E1	2.446688047E1
1.032000000E1	2.136950233E1
1.036000000E1	1.838896443E1
1.040000000E1	1.581999447E1
1.044000000E1	1.378413499E1
1.048000000E1	1.258227509E1
1.052000000E1	1.202603257E1
1.056000000E1	1.205134035E1
1.060000000E1	1.255220131E1
1.064000000E1	1.304363002E1
1.068000000E1	1.373938773E1
1.072000000E1	1.481154619E1
1.076000000E1	1.720552200E1
1.080000000E1	2.095621840E1
1.084000000E1	2.657498404E1
1.088000000E1	3.341943156E1
1.092000000E1	4.096659648E1
1.096000000E1	4.886122033E1
1.100000000E1	5.656184230E1
1.104000000E1	6.336574624E1
1.108000000E1	6.900341428E1
1.112000000E1	7.374624712E1
1.116000000E1	7.709694835E1
1.120000000E1	7.956648171E1
1.124000000E1	8.109836534E1
1.128000000E1	8.198609354E1
1.132000000E1	8.204351242E1
1.136000000E1	8.138245949E1
1.140000000E1	7.984618842E1
1.144000000E1	7.799276557E1
1.148000000E1	7.568745062E1
1.152000000E1	7.294883668E1
1.156000000E1	7.002068932E1
1.160000000E1	6.683029572E1
1.164000000E1	6.364623141E1
1.168000000E1	6.038968573E1
1.172000000E1	5.692674066E1
1.176000000E1	5.341006996E1
1.180000000E1	5.010493272E1
1.184000000E1	4.684356568E1
1.188000000E1	4.363956885E1
1.192000000E1	4.099063233E1
1.196000000E1	3.864301805E1
1.200000000E1	3.655975590E1
1.204000000E1	3.514826698E1
1.208000000E1	3.415913985E1
1.212000000E1	3.382676513E1
1.216000000E1	3.378040536E1
1.220000000E1	3.390638977E1
1.224000000E1	3.390751340E1
1.228000000E1	3.389315092E1
1.232000000E1	3.351025854E1
1.236000000E1	3.247183792E1
1.240000000E1	3.071728587E1
1.244000000E1	2.805744507E1
1.248000000E1	2.536060118E1
1.252000000E1	2.247091959E1
1.256000000E1	1.987213209E1
1.260000000E1	1.768801515E1
1.264000000E1	1.647821773E1
1.268000000E1	1.560529020E1
1.272000000E1	1.514924386E1
1.276000000E1	1.547454169E1
1.280000000E1	1.618056662E1
1.284000000E1	1.708967905E1
1.288000000E1	1.859075628E1
1.292000000E1	2.126419910E1
1.296000000E1	2.493711364E1
1.300000000E1	2.991545782E1
1.304000000E1	3.589267987E1
1.308000000E1	4.241258262E1
1.312000000E1	4.926046124E1
1.316000000E1	5.577397555E1
1.320000000E1	6.211747778E1
1.324000000E1	6.758223046E1
1.328000000E1	7.235930339E1
1.332000000E1	7.626532022E1
1.336000000E1	7.934194216E1
1.340000000E1	8.165022137E1
1.344000000E1	8.330007083E1
1.348000000E1	8.415457596E1
1.352000000E1	8.470541057E1
1.356000000E1	8.493037589E1
1.360000000E1	8.446479522E1
1.364000000E1	8.386352371E1
1.368000000E1	8.294131682E1
1.372000000E1	8.150546774E1
1.376000000E1	7.964205799E1
1.380000000E1	7.718655281E1
1.384000000E1	7.430614067E1
1.388000000E1	7.106793750E1
1.392000000E1	6.745641557E1
1.396000000E1	6.372002210E1
1.400000000E1	6.015605941E1
1.404000000E1	5.661916245E1
1.408000000E1	5.319738983E1
1.412000000E1	4.976903029E1
1.416000000E1	4.684079828E1
1.420000000E1	4.407325753E1
1.424000000E1	4.157732856E1
1.428000000E1	3.964479937E1
1.432000000E1	3.810171380E1
1.436000000E1	3.682889987E1
1.440000000E1	3.622281669E1
1.444000000E1	3.599646039E1
1.448000000E1	3.596488308E1
1.452000000E1	3.590422440E1
1.456000000E1	3.519710019E1
1.460000000E1	3.399149768E1
1.464000000E1	3.220773044E1
1.468000000E1	2.992866360E1
1.472000000E1	2.737990987E1
1.476000000E1	2.524538686E1
1.480000000E1	2.324392808E1
1.484000000E1	2.190554102E1
1.488000000E1	2.146027975E1
1.492000000E1	2.164833207E1
1.496000000E1	2.261723716E1
1.500000000E1	2.445191204E1
1.504000000E1	2.706201657E1
1.508000000E1	3.108934258E1
1.512000000E1	3.652270982E1
1.516000000E1	4.309806300E1
1.520000000E1	5.016937940E1
1.524000000E1	5.741462213E1
1.528000000E1	6.431685066E1
1.532000000E1	7.049415023E1
1.536000000E1	7.577633786E1
1.540000000E1	8.012841993E1
1.544000000E1	8.324345788E1
1.548000000E1	8.551950699E1
1.552000000E1	8.695359168E1
1.556000000E1	8.801362743E1
1.560000000E1	8.855425459E1
1.564000000E1	8.831962593E1
1.568000000E1	8.778867792E1
1.572000000E1	8.693509691E1
1.576000000E1	8.584569009E1
1.580000000E1	8.417318792E1
1.584000000E1	8.256439480E1
1.588000000E1	8.013422332E1
1.592000000E1	7.745265718E1
1.596000000E1	7.415961523E1
1.600000000E1	7.086478051E1
1.604000000E1	6.718830461E1
1.608000000E1	6.341200331E1
1.612000000E1	5.972260056E1
1.616000000E1	5.584671352E1
1.620000000E1	5.243663381E1
1.624000000E1	4.918285176E1
1.628000000E1	4.606546890E1
1.632000000E1	4.368165449E1
1.636000000E1	4.149952606E1
1.640000000E1	3.972629529E1
1.644000000E1	3.843502851E1
1.648000000E1	3.729980387E1
1.652000000E1	3.665794840E1
1.656000000E1	3.651543651E1
1.660000000E1	3.651312986E1
1.664000000E1	3.650918533E1
1.668000000E1	3.647420518E1
1.672000000E1	3.639264270E1
1.676000000E1	3.612746518E1
1.680000000E1	3.572871434E1
1.684000000E1	3.527435111E1
1.688000000E1	3.484297997E1
1.692000000E1	3.404388554E1
1.696000000E1	3.270968406E1
1.700000000E1	3.151830418E1
1.704000000E1	3.060539642E1
1.708000000E1	3.041844890E1
1.712000000E1	3.028887669E1
1.716000000E1	3.072335180E1
1.720000000E1	3.235927298E1
1.724000000E1	3.432676789E1
1.728000000E1	3.765673289E1
1.732000000E1	4.181248964E1
1.736000000E1	4.688634482E1
1.740000000E1	5.249349077E1
1.744000000E1	5.826069178E1
1.748000000E1	6.384334832E1
1.752000000E1	6.905698792E1
