
t/1	ANGLE/1
0.000000000E0	-9.372752991E1
4.000000000E-2	-9.373324212E1
8.000000000E-2	-9.372994539E1
1.200000000E-1	-9.374068020E1
1.600000000E-1	-9.375233775E1
2.000000000E-1	-9.375400190E1
2.400000000E-1	-9.376329903E1
2.800000000E-1	-9.376100748E1
3.200000000E-1	-9.374613250E1
3.600000000E-1	-9.372726954E1
4.000000000E-1	-9.370906939E1
4.400000000E-1	-9.370442038E1
4.800000000E-1	-9.370531273E1
5.200000000E-1	-9.370147876E1
5.600000000E-1	-9.370806757E1
6.000000000E-1	-9.368957783E1
6.400000000E-1	-9.367245481E1
6.800000000E-1	-9.369655066E1
7.200000000E-1	-9.370898305E1
7.600000000E-1	-9.371168351E1
8.000000000E-1	-9.371116681E1
8.400000000E-1	-9.369195760E1
8.800000000E-1	-9.366225359E1
9.200000000E-1	-9.350305314E1
9.600000000E-1	-9.344662340E1
1.000000000E0	-9.277630225E1
1.040000000E0	-9.209454582E1
1.080000000E0	-9.121088833E1
1.120000000E0	-8.946833730E1
1.160000000E0	-8.824240880E1
1.200000000E0	-8.795406219E1
1.240000000E0	-9.061118873E1
1.280000000E0	-9.492394864E1
1.320000000E0	-1.009958766E2
1.360000000E0	-1.087810262E2
1.400000000E0	-1.173643836E2
1.440000000E0	-1.262157692E2
1.480000000E0	-1.346880624E2
1.520000000E0	-1.425126118E2
1.560000000E0	-1.485102652E2
1.600000000E0	-1.534916706E2
1.640000000E0	-1.567693824E2
1.680000000E0	-1.583318774E2
1.720000000E0	-1.591148895E2
1.760000000E0	-1.594092417E2
1.800000000E0	-1.594598673E2
1.840000000E0	-1.596580225E2
1.880000000E0	-1.596690702E2
1.920000000E0	-1.598006495E2
1.960000000E0	-1.597616052E2
2.000000000E0	-1.593886161E2
2.040000000E0	-1.587784517E2
2.080000000E0	-1.580285049E2
2.120000000E0	-1.566557690E2
2.160000000E0	-1.551916875E2
2.200000000E0	-1.528189722E2
2.240000000E0	-1.504700918E2
2.280000000E0	-1.480223650E2
2.320000000E0	-1.453660577E2
2.360000000E0	-1.426907307E2
2.400000000E0	-1.412052887E2
2.440000000E0	-1.403035921E2
2.480000000E0	-1.407682766E2
2.520000000E0	-1.418975955E2
2.560000000E0	-1.423268723E2
2.600000000E0	-1.427773301E2
2.640000000E0	-1.429471937E2
2.680000000E0	-1.429874876E2
2.720000000E0	-1.429431382E2
2.760000000E0	-1.429004962E2
2.800000000E0	-1.424873339E2
2.840000000E0	-1.412032535E2
2.880000000E0	-1.391504537E2
2.920000000E0	-1.360462084E2
2.960000000E0	-1.312336668E2
3.000000000E0	-1.250277241E2
3.040000000E0	-1.181848427E2
3.080000000E0	-1.119220543E2
3.120000000E0	-1.070543638E2
3.160000000E0	-1.034070088E2
3.200000000E0	-1.007362145E2
3.240000000E0	-9.885188153E1
3.280000000E0	-9.775190825E1
3.320000000E0	-9.758036574E1
3.360000000E0	-9.766647066E1
3.400000000E0	-9.847277319E1
3.440000000E0	-9.889876515E1
3.480000000E0	-9.929272547E1
3.520000000E0	-9.973040997E1
3.560000000E0	-1.015917149E2
3.600000000E0	-1.051195453E2
3.640000000E0	-1.101825166E2
3.680000000E0	-1.162891110E2
3.720000000E0	-1.238431723E2
3.760000000E0	-1.315912423E2
3.800000000E0	-1.389341890E2
3.840000000E0	-1.450903746E2
3.880000000E0	-1.504479263E2
3.920000000E0	-1.541968411E2
3.960000000E0	-1.570410785E2
4.000000000E0	-1.585239983E2
4.040000000E0	-1.597804431E2
4.080000000E0	-1.599789370E2
4.120000000E0	-1.600720933E2
4.160000000E0	-1.595143719E2
4.200000000E0	-1.585423897E2
4.240000000E0	-1.572252278E2
4.280000000E0	-1.553227314E2
4.320000000E0	-1.538257439E2
4.360000000E0	-1.518331849E2
4.400000000E0	-1.494810613E2
4.440000000E0	-1.465317326E2
4.480000000E0	-1.435117505E2
4.520000000E0	-1.408913734E2
4.560000000E0	-1.384756200E2
4.600000000E0	-1.364808516E2
4.640000000E0	-1.347599805E2
4.680000000E0	-1.333981253E2
4.720000000E0	-1.326415605E2
4.760000000E0	-1.323069676E2
4.800000000E0	-1.325611676E2
4.840000000E0	-1.333911449E2
4.880000000E0	-1.344288146E2
4.920000000E0	-1.351203784E2
4.960000000E0	-1.352244036E2
5.000000000E0	-1.343895251E2
5.040000000E0	-1.325064581E2
5.080000000E0	-1.284737797E2
5.120000000E0	-1.228849631E2
5.160000000E0	-1.173235044E2
5.200000000E0	-1.110504587E2
5.240000000E0	-1.055009744E2
5.280000000E0	-1.003571839E2
5.320000000E0	-9.711211740E1
5.360000000E0	-9.491887207E1
5.400000000E0	-9.306519084E1
5.440000000E0	-9.223838345E1
5.480000000E0	-9.258672450E1
5.520000000E0	-9.294368079E1
5.560000000E0	-9.387592165E1
5.600000000E0	-9.439512530E1
5.640000000E0	-9.528158234E1
5.680000000E0	-9.665481536E1
5.720000000E0	-9.952428626E1
5.760000000E0	-1.032742729E2
5.800000000E0	-1.079513101E2
5.840000000E0	-1.140729250E2
5.880000000E0	-1.209296387E2
5.920000000E0	-1.279656032E2
5.960000000E0	-1.343531060E2
6.000000000E0	-1.400807814E2
6.040000000E0	-1.443359440E2
6.080000000E0	-1.475614475E2
6.120000000E0	-1.504007619E2
6.160000000E0	-1.521430210E2
6.200000000E0	-1.535502968E2
6.240000000E0	-1.542483167E2
6.280000000E0	-1.542138081E2
6.320000000E0	-1.536993969E2
6.360000000E0	-1.530396450E2
6.400000000E0	-1.518493719E2
