
t/1	ANGLE/1
0.000000000E0	-9.969447152E1
4.000000000E-2	-9.971077768E1
8.000000000E-2	-9.972542836E1
1.200000000E-1	-9.971147174E1
1.600000000E-1	-9.971822191E1
2.000000000E-1	-9.971784575E1
2.400000000E-1	-9.971081137E1
2.800000000E-1	-9.971616083E1
3.200000000E-1	-9.969240011E1
3.600000000E-1	-9.970477202E1
4.000000000E-1	-9.971330806E1
4.400000000E-1	-9.970010746E1
4.800000000E-1	-9.969047326E1
5.200000000E-1	-9.968669241E1
5.600000000E-1	-9.968283980E1
6.000000000E-1	-9.969349544E1
6.400000000E-1	-9.969974316E1
6.800000000E-1	-9.969782857E1
7.200000000E-1	-9.969663844E1
7.600000000E-1	-9.969944631E1
8.000000000E-1	-9.970571716E1
8.400000000E-1	-9.969968119E1
8.800000000E-1	-9.970113558E1
9.200000000E-1	-9.969669883E1
9.600000000E-1	-9.969384200E1
1.000000000E0	-9.968350471E1
1.040000000E0	-9.969043506E1
1.080000000E0	-9.969415780E1
1.120000000E0	-9.970347384E1
1.160000000E0	-9.971427674E1
1.200000000E0	-9.971295278E1
1.240000000E0	-9.971533218E1
1.280000000E0	-9.989916853E1
1.320000000E0	-9.973437810E1
1.360000000E0	-9.911921990E1
1.400000000E0	-9.826485073E1
1.440000000E0	-9.774386235E1
1.480000000E0	-9.797618826E1
1.520000000E0	-9.907245096E1
1.560000000E0	-1.007293452E2
1.600000000E0	-1.037563114E2
1.640000000E0	-1.063921055E2
1.680000000E0	-1.092699543E2
1.720000000E0	-1.122880380E2
1.760000000E0	-1.152116439E2
1.800000000E0	-1.179799365E2
1.840000000E0	-1.210633577E2
1.880000000E0	-1.239622990E2
1.920000000E0	-1.270583652E2
1.960000000E0	-1.300620676E2
2.000000000E0	-1.334048142E2
2.040000000E0	-1.365385831E2
2.080000000E0	-1.391138414E2
2.120000000E0	-1.413565434E2
2.160000000E0	-1.430158741E2
2.200000000E0	-1.439296761E2
2.240000000E0	-1.445428568E2
2.280000000E0	-1.452993045E2
2.320000000E0	-1.461758724E2
2.360000000E0	-1.464030903E2
2.400000000E0	-1.462438539E2
2.440000000E0	-1.448517412E2
2.480000000E0	-1.429055359E2
2.520000000E0	-1.395354881E2
2.560000000E0	-1.357341205E2
2.600000000E0	-1.314143065E2
2.640000000E0	-1.265790798E2
2.680000000E0	-1.222154253E2
2.720000000E0	-1.172961905E2
2.760000000E0	-1.132997373E2
2.800000000E0	-1.091863552E2
2.840000000E0	-1.053762257E2
2.880000000E0	-1.024961902E2
2.920000000E0	-1.005344646E2
2.960000000E0	-9.895502128E1
3.000000000E0	-9.813417544E1
3.040000000E0	-9.814934252E1
3.080000000E0	-9.822866465E1
3.120000000E0	-9.860438332E1
3.160000000E0	-9.848933354E1
3.200000000E0	-9.842497035E1
3.240000000E0	-9.832658395E1
3.280000000E0	-9.838909815E1
3.320000000E0	-9.840371398E1
3.360000000E0	-9.845707822E1
3.400000000E0	-9.841758731E1
3.440000000E0	-9.878271988E1
3.480000000E0	-9.912947541E1
3.520000000E0	-9.972464291E1
3.560000000E0	-1.008754950E2
3.600000000E0	-1.025343787E2
3.640000000E0	-1.050164138E2
3.680000000E0	-1.078934341E2
3.720000000E0	-1.115618151E2
3.760000000E0	-1.146894664E2
3.800000000E0	-1.176423841E2
3.840000000E0	-1.208659269E2
3.880000000E0	-1.242465355E2
3.920000000E0	-1.273864767E2
3.960000000E0	-1.305791722E2
4.000000000E0	-1.337983553E2
4.040000000E0	-1.364575865E2
4.080000000E0	-1.386394716E2
4.120000000E0	-1.407785967E2
4.160000000E0	-1.426468457E2
4.200000000E0	-1.440701718E2
4.240000000E0	-1.455669175E2
4.280000000E0	-1.461741770E2
4.320000000E0	-1.465715362E2
4.360000000E0	-1.462943726E2
4.400000000E0	-1.455365479E2
4.440000000E0	-1.434972497E2
4.480000000E0	-1.402504854E2
4.520000000E0	-1.356907964E2
4.560000000E0	-1.309084139E2
4.600000000E0	-1.253174555E2
4.640000000E0	-1.189771202E2
4.680000000E0	-1.140944636E2
4.720000000E0	-1.102933600E2
4.760000000E0	-1.065463912E2
4.800000000E0	-1.035933166E2
4.840000000E0	-1.013492817E2
4.880000000E0	-9.952073425E1
4.920000000E0	-9.839135707E1
4.960000000E0	-9.820735469E1
5.000000000E0	-9.827134898E1
5.040000000E0	-9.823322905E1
5.080000000E0	-9.850166010E1
5.120000000E0	-9.801282178E1
5.160000000E0	-9.815763448E1
5.200000000E0	-9.825536734E1
5.240000000E0	-9.835930229E1
5.280000000E0	-9.858745786E1
5.320000000E0	-9.887523715E1
5.360000000E0	-9.927267903E1
5.400000000E0	-9.966227985E1
5.440000000E0	-1.001432853E2
5.480000000E0	-1.012643608E2
5.520000000E0	-1.030021415E2
5.560000000E0	-1.050407345E2
5.600000000E0	-1.078048755E2
5.640000000E0	-1.102064051E2
5.680000000E0	-1.126573185E2
5.720000000E0	-1.157589772E2
5.760000000E0	-1.188957186E2
5.800000000E0	-1.217879374E2
5.840000000E0	-1.248554902E2
5.880000000E0	-1.281213204E2
5.920000000E0	-1.313375229E2
5.960000000E0	-1.345610832E2
6.000000000E0	-1.376847976E2
6.040000000E0	-1.400583907E2
6.080000000E0	-1.424090102E2
6.120000000E0	-1.438283444E2
6.160000000E0	-1.440498369E2
6.200000000E0	-1.442925348E2
6.240000000E0	-1.434197335E2
6.280000000E0	-1.420214090E2
6.320000000E0	-1.390157377E2
6.360000000E0	-1.354974899E2
6.400000000E0	-1.315362965E2
6.440000000E0	-1.264684166E2
6.480000000E0	-1.210890420E2
6.520000000E0	-1.158660338E2
6.560000000E0	-1.116681525E2
6.600000000E0	-1.077477835E2
6.640000000E0	-1.045958868E2
6.680000000E0	-1.025148656E2
6.720000000E0	-1.009448340E2
6.760000000E0	-1.007036668E2
6.800000000E0	-1.004236690E2
6.840000000E0	-1.003305452E2
6.880000000E0	-1.007147657E2
