
t/1	ANGLE/1
0.000000000E0	1.674472178E1
4.000000000E-2	1.670498743E1
8.000000000E-2	1.671428849E1
1.200000000E-1	1.674243318E1
1.600000000E-1	1.675863693E1
2.000000000E-1	1.675579183E1
2.400000000E-1	1.675181366E1
2.800000000E-1	1.675301701E1
3.200000000E-1	1.674468383E1
3.600000000E-1	1.674425368E1
4.000000000E-1	1.674300675E1
4.400000000E-1	1.674176341E1
4.800000000E-1	1.673996666E1
5.200000000E-1	1.674183767E1
5.600000000E-1	1.674260611E1
6.000000000E-1	1.674482539E1
6.400000000E-1	1.674605246E1
6.800000000E-1	1.674531855E1
7.200000000E-1	1.674492803E1
7.600000000E-1	1.674507424E1
8.000000000E-1	1.674472230E1
8.400000000E-1	1.674428381E1
8.800000000E-1	1.674915108E1
9.200000000E-1	1.674938240E1
9.600000000E-1	1.674975706E1
1.000000000E0	1.674409865E1
1.040000000E0	1.674512516E1
1.080000000E0	1.674579221E1
1.120000000E0	1.674697402E1
1.160000000E0	1.674829015E1
1.200000000E0	1.674560735E1
1.240000000E0	1.674280984E1
1.280000000E0	1.676343667E1
1.320000000E0	1.673909573E1
1.360000000E0	1.677800261E1
1.400000000E0	1.675646936E1
1.440000000E0	1.715401717E1
1.480000000E0	1.793148317E1
1.520000000E0	1.930597022E1
1.560000000E0	2.125291084E1
1.600000000E0	2.384738160E1
1.640000000E0	2.655129488E1
1.680000000E0	2.943112152E1
1.720000000E0	3.229250135E1
1.760000000E0	3.507038358E1
1.800000000E0	3.757907001E1
1.840000000E0	4.019719636E1
1.880000000E0	4.271036356E1
1.920000000E0	4.533905453E1
1.960000000E0	4.793073977E1
2.000000000E0	5.090083389E1
2.040000000E0	5.386558138E1
2.080000000E0	5.640319647E1
2.120000000E0	5.862896315E1
2.160000000E0	6.030289804E1
2.200000000E0	6.130170604E1
2.240000000E0	6.195629100E1
2.280000000E0	6.251866041E1
2.320000000E0	6.311778771E1
2.360000000E0	6.316186239E1
2.400000000E0	6.284162412E1
2.440000000E0	6.166405877E1
2.480000000E0	6.018447332E1
2.520000000E0	5.769299960E1
2.560000000E0	5.473386605E1
2.600000000E0	5.137959730E1
2.640000000E0	4.717317887E1
2.680000000E0	4.286927231E1
2.720000000E0	3.815178290E1
2.760000000E0	3.343899481E1
2.800000000E0	2.882713997E1
2.840000000E0	2.453763089E1
2.880000000E0	2.069972148E1
2.920000000E0	1.773964950E1
2.960000000E0	1.560611946E1
3.000000000E0	1.431402817E1
3.040000000E0	1.380509095E1
3.080000000E0	1.362461815E1
3.120000000E0	1.369443789E1
3.160000000E0	1.380012949E1
3.200000000E0	1.394093199E1
