
t/1	ANGLE/1
0.000000000E0	9.014468600E1
4.000000000E-2	9.018642774E1
8.000000000E-2	9.017237409E1
1.200000000E-1	9.015828698E1
1.600000000E-1	9.015340508E1
2.000000000E-1	9.015004353E1
2.400000000E-1	9.014856736E1
2.800000000E-1	9.013970953E1
3.200000000E-1	9.013121621E1
3.600000000E-1	9.014660338E1
4.000000000E-1	9.015716459E1
4.400000000E-1	9.014824261E1
4.800000000E-1	9.013969567E1
5.200000000E-1	9.014124843E1
5.600000000E-1	9.014248971E1
6.000000000E-1	9.014525043E1
6.400000000E-1	9.014719290E1
6.800000000E-1	9.014675780E1
7.200000000E-1	9.014650197E1
7.600000000E-1	9.015168374E1
8.000000000E-1	9.015837254E1
8.400000000E-1	9.014930464E1
8.800000000E-1	9.014451963E1
9.200000000E-1	9.014194729E1
9.600000000E-1	9.013991456E1
1.000000000E0	9.013298579E1
1.040000000E0	9.013843668E1
1.080000000E0	9.014129922E1
1.120000000E0	9.015014886E1
1.160000000E0	9.015989337E1
1.200000000E0	9.015616510E1
1.240000000E0	9.015508105E1
1.280000000E0	9.015659358E1
1.320000000E0	9.012667018E1
1.360000000E0	8.977458030E1
1.400000000E0	8.938650252E1
1.440000000E0	8.902507934E1
1.480000000E0	8.868306933E1
1.520000000E0	8.826918568E1
1.560000000E0	8.757438296E1
1.600000000E0	8.685370475E1
1.640000000E0	8.585741152E1
1.680000000E0	8.476427116E1
1.720000000E0	8.372873139E1
1.760000000E0	8.280845169E1
1.800000000E0	8.206491323E1
1.840000000E0	8.144026038E1
1.880000000E0	8.078037530E1
1.920000000E0	8.018276371E1
1.960000000E0	7.954002087E1
2.000000000E0	7.883303430E1
2.040000000E0	7.796358179E1
2.080000000E0	7.707963267E1
2.120000000E0	7.632631698E1
2.160000000E0	7.572547347E1
2.200000000E0	7.527060658E1
2.240000000E0	7.507990672E1
2.280000000E0	7.503155638E1
2.320000000E0	7.504589263E1
2.360000000E0	7.522298226E1
2.400000000E0	7.542333246E1
2.440000000E0	7.578970136E1
2.480000000E0	7.609752458E1
2.520000000E0	7.661944755E1
2.560000000E0	7.745653343E1
2.600000000E0	7.839170254E1
2.640000000E0	7.961253935E1
2.680000000E0	8.105946684E1
2.720000000E0	8.237731255E1
2.760000000E0	8.393929928E1
