
t/1	ANGLE/1
0.000000000E0	8.241211600E0
4.000000000E-2	8.249800505E0
8.000000000E-2	8.753014973E0
1.200000000E-1	9.602188469E0
1.600000000E-1	1.064160048E1
2.000000000E-1	1.177386972E1
2.400000000E-1	1.304555854E1
2.800000000E-1	1.389559662E1
3.200000000E-1	1.430510949E1
3.600000000E-1	1.474311937E1
4.000000000E-1	1.528452078E1
4.400000000E-1	1.597404195E1
4.800000000E-1	1.648152741E1
5.200000000E-1	1.697464608E1
5.600000000E-1	1.696850240E1
6.000000000E-1	1.695972363E1
6.400000000E-1	1.692303519E1
6.800000000E-1	1.680901594E1
7.200000000E-1	1.660881577E1
7.600000000E-1	1.656749285E1
8.000000000E-1	1.654055093E1
8.400000000E-1	1.656714376E1
8.800000000E-1	1.653393871E1
9.200000000E-1	1.650860694E1
9.600000000E-1	1.649322290E1
1.000000000E0	1.650788783E1
1.040000000E0	1.649925921E1
1.080000000E0	1.650720246E1
1.120000000E0	1.647855450E1
1.160000000E0	1.646249848E1
1.200000000E0	1.628012992E1
1.240000000E0	1.601351812E1
1.280000000E0	1.617797587E1
1.320000000E0	1.702328782E1
1.360000000E0	2.055076570E1
1.400000000E0	2.059869235E1
1.440000000E0	2.291615520E1
1.480000000E0	2.632058540E1
1.520000000E0	3.105906281E1
1.560000000E0	3.727086908E1
1.600000000E0	4.438325450E1
1.640000000E0	5.204020883E1
1.680000000E0	5.967411662E1
1.720000000E0	6.767940121E1
1.760000000E0	7.755204255E1
1.800000000E0	8.829284405E1
1.840000000E0	9.502822778E1
1.880000000E0	1.002397950E2
1.920000000E0	1.023562505E2
1.960000000E0	1.037816808E2
2.000000000E0	1.044712694E2
2.040000000E0	1.050270442E2
2.080000000E0	1.050619918E2
2.120000000E0	1.046539401E2
2.160000000E0	1.039314619E2
2.200000000E0	1.024899059E2
2.240000000E0	1.010573293E2
2.280000000E0	9.851928966E1
2.320000000E0	9.518522535E1
2.360000000E0	9.120143923E1
2.400000000E0	8.615691466E1
2.440000000E0	8.085745559E1
2.480000000E0	7.456264610E1
2.520000000E0	6.881008361E1
2.560000000E0	6.179594233E1
2.600000000E0	5.609875765E1
2.640000000E0	5.006871605E1
2.680000000E0	4.455198967E1
2.720000000E0	3.926670779E1
2.760000000E0	3.526561497E1
2.800000000E0	3.161708110E1
2.840000000E0	2.922693791E1
2.880000000E0	2.738750701E1
2.920000000E0	2.587281549E1
2.960000000E0	2.468402298E1
3.000000000E0	2.355158298E1
3.040000000E0	2.352430217E1
3.080000000E0	2.354961379E1
3.120000000E0	2.370984192E1
3.160000000E0	2.405549204E1
3.200000000E0	2.450192062E1
3.240000000E0	2.445246396E1
3.280000000E0	2.481583484E1
3.320000000E0	2.523262640E1
3.360000000E0	2.674305924E1
3.400000000E0	2.670073493E1
3.440000000E0	2.829541027E1
3.480000000E0	3.009705400E1
3.520000000E0	3.289065173E1
3.560000000E0	3.667832230E1
3.600000000E0	4.183982442E1
3.640000000E0	4.815065281E1
3.680000000E0	5.521438644E1
3.720000000E0	6.338636428E1
3.760000000E0	7.235987790E1
3.800000000E0	8.035197721E1
3.840000000E0	8.681943025E1
3.880000000E0	9.130250010E1
3.920000000E0	9.335738547E1
3.960000000E0	9.445287538E1
4.000000000E0	9.494448593E1
4.040000000E0	9.537259769E1
4.080000000E0	9.545563568E1
4.120000000E0	9.513040012E1
4.160000000E0	9.434843532E1
4.200000000E0	9.367322505E1
4.240000000E0	9.282680676E1
4.280000000E0	9.167630855E1
4.320000000E0	9.025929419E1
4.360000000E0	8.852619014E1
4.400000000E0	8.580386034E1
4.440000000E0	8.290471815E1
4.480000000E0	7.876033396E1
4.520000000E0	7.546689096E1
4.560000000E0	7.074922145E1
4.600000000E0	6.629894415E1
4.640000000E0	6.134683424E1
4.680000000E0	5.631922596E1
4.720000000E0	5.149378063E1
4.760000000E0	4.730829391E1
4.800000000E0	4.314918764E1
4.840000000E0	3.937479879E1
4.880000000E0	3.581906734E1
4.920000000E0	3.294361445E1
4.960000000E0	3.015022346E1
5.000000000E0	2.781262850E1
5.040000000E0	2.613911217E1
5.080000000E0	2.496179914E1
5.120000000E0	2.441003562E1
5.160000000E0	2.442454648E1
5.200000000E0	2.514236480E1
5.240000000E0	2.606275916E1
5.280000000E0	2.750215080E1
5.320000000E0	2.923648468E1
5.360000000E0	3.144261099E1
5.400000000E0	3.401441598E1
5.440000000E0	3.653189798E1
5.480000000E0	4.006583914E1
5.520000000E0	4.516186151E1
5.560000000E0	5.285104800E1
5.600000000E0	6.356540123E1
5.640000000E0	7.520375371E1
5.680000000E0	8.464386505E1
5.720000000E0	9.023275500E1
5.760000000E0	9.271134515E1
5.800000000E0	9.407041555E1
5.840000000E0	9.442096431E1
5.880000000E0	9.474497192E1
5.920000000E0	9.445604850E1
5.960000000E0	9.387744089E1
6.000000000E0	9.316667455E1
6.040000000E0	9.213226783E1
6.080000000E0	9.066273924E1
6.120000000E0	8.855286790E1
6.160000000E0	8.565778500E1
6.200000000E0	8.116425251E1
6.240000000E0	7.582784750E1
6.280000000E0	7.046697584E1
6.320000000E0	6.409909617E1
6.360000000E0	5.773198931E1
6.400000000E0	5.132756104E1
6.440000000E0	4.516670269E1
6.480000000E0	3.982801607E1
6.520000000E0	3.443815303E1
6.560000000E0	3.039915905E1
6.600000000E0	2.697329759E1
6.640000000E0	2.429977754E1
6.680000000E0	2.239095036E1
6.720000000E0	2.101040721E1
6.760000000E0	1.993724581E1
6.800000000E0	1.954375725E1
6.840000000E0	1.926034741E1
6.880000000E0	1.908683290E1
6.920000000E0	1.926091773E1
6.960000000E0	1.966268301E1
7.000000000E0	1.988022550E1
7.040000000E0	2.036853254E1
7.080000000E0	2.084097957E1
7.120000000E0	2.093376551E1
