
t/1	ANGLE/1
0.000000000E0	-1.112075583E2
4.000000000E-2	-1.112216783E2
8.000000000E-2	-1.108641830E2
1.200000000E-1	-1.110762934E2
1.600000000E-1	-1.110385981E2
2.000000000E-1	-1.112362166E2
2.400000000E-1	-1.115098807E2
2.800000000E-1	-1.113764721E2
3.200000000E-1	-1.109923542E2
3.600000000E-1	-1.108143030E2
4.000000000E-1	-1.108181504E2
4.400000000E-1	-1.105598149E2
4.800000000E-1	-1.102796917E2
5.200000000E-1	-1.099574828E2
5.600000000E-1	-1.095775816E2
6.000000000E-1	-1.093030153E2
6.400000000E-1	-1.083457432E2
6.800000000E-1	-1.077099891E2
7.200000000E-1	-1.075730189E2
7.600000000E-1	-1.075797096E2
8.000000000E-1	-1.079700978E2
8.400000000E-1	-1.082012648E2
8.800000000E-1	-1.076931741E2
9.200000000E-1	-1.071342401E2
9.600000000E-1	-1.067116934E2
1.000000000E0	-1.066966031E2
1.040000000E0	-1.064711953E2
1.080000000E0	-1.097757665E2
1.120000000E0	-1.121177244E2
1.160000000E0	-1.136512757E2
1.200000000E0	-1.137799519E2
1.240000000E0	-1.138087066E2
1.280000000E0	-1.145225247E2
1.320000000E0	-1.153736727E2
1.360000000E0	-1.165589029E2
1.400000000E0	-1.182479752E2
1.440000000E0	-1.183802839E2
1.480000000E0	-1.180153862E2
1.520000000E0	-1.123230754E2
1.560000000E0	-1.117662176E2
1.600000000E0	-1.114200463E2
1.640000000E0	-1.106718352E2
1.680000000E0	-1.106546698E2
1.720000000E0	-1.109116485E2
1.760000000E0	-1.108905914E2
1.800000000E0	-1.109950527E2
1.840000000E0	-1.115888709E2
1.880000000E0	-1.126880383E2
1.920000000E0	-1.132423121E2
1.960000000E0	-1.138887572E2
2.000000000E0	-1.131682062E2
2.040000000E0	-1.130914911E2
2.080000000E0	-1.127196649E2
2.120000000E0	-1.126905664E2
2.160000000E0	-1.126657539E2
2.200000000E0	-1.119652014E2
2.240000000E0	-1.114191841E2
2.280000000E0	-1.101745877E2
2.320000000E0	-1.086305117E2
2.360000000E0	-1.066024947E2
2.400000000E0	-1.044868199E2
2.440000000E0	-1.024598524E2
2.480000000E0	-1.002903026E2
2.520000000E0	-9.894649335E1
2.560000000E0	-9.767556005E1
2.600000000E0	-9.639055512E1
2.640000000E0	-9.508681686E1
2.680000000E0	-9.417376456E1
2.720000000E0	-9.353853806E1
2.760000000E0	-9.303521024E1
2.800000000E0	-9.256781342E1
2.840000000E0	-9.213388169E1
2.880000000E0	-9.186196891E1
2.920000000E0	-9.154336594E1
2.960000000E0	-9.140159485E1
3.000000000E0	-9.106745216E1
3.040000000E0	-9.058855525E1
3.080000000E0	-9.024450292E1
3.120000000E0	-9.018403449E1
3.160000000E0	-9.120346543E1
3.200000000E0	-9.335969618E1
3.240000000E0	-9.652322806E1
3.280000000E0	-1.015718048E2
3.320000000E0	-1.072650221E2
3.360000000E0	-1.127354901E2
3.400000000E0	-1.177174803E2
3.440000000E0	-1.218474140E2
3.480000000E0	-1.251145051E2
3.520000000E0	-1.272284122E2
3.560000000E0	-1.285486243E2
3.600000000E0	-1.294589635E2
3.640000000E0	-1.309458895E2
3.680000000E0	-1.337069687E2
3.720000000E0	-1.382886170E2
3.760000000E0	-1.448550827E2
3.800000000E0	-1.520386203E2
3.840000000E0	-1.595011832E2
3.880000000E0	-1.640594879E2
3.920000000E0	-1.632120940E2
3.960000000E0	-1.626808223E2
4.000000000E0	-1.624263079E2
4.040000000E0	-1.620175859E2
4.080000000E0	-1.620450448E2
4.120000000E0	-1.619798326E2
4.160000000E0	-1.623923272E2
4.200000000E0	-1.620060300E2
4.240000000E0	-1.615852556E2
4.280000000E0	-1.610149828E2
4.320000000E0	-1.597961322E2
4.360000000E0	-1.584715545E2
4.400000000E0	-1.559959569E2
4.440000000E0	-1.536478739E2
4.480000000E0	-1.501701655E2
4.520000000E0	-1.467955869E2
4.560000000E0	-1.427454320E2
4.600000000E0	-1.380440342E2
4.640000000E0	-1.330167701E2
4.680000000E0	-1.275487357E2
4.720000000E0	-1.228433365E2
4.760000000E0	-1.187534676E2
4.800000000E0	-1.144162668E2
4.840000000E0	-1.099896914E2
4.880000000E0	-1.074830678E2
4.920000000E0	-1.056080853E2
4.960000000E0	-1.043933308E2
5.000000000E0	-1.034058731E2
5.040000000E0	-1.033678314E2
5.080000000E0	-1.034637513E2
5.120000000E0	-1.037804924E2
5.160000000E0	-1.048518407E2
5.200000000E0	-1.067731393E2
5.240000000E0	-1.095220859E2
5.280000000E0	-1.133079660E2
5.320000000E0	-1.178831164E2
5.360000000E0	-1.224584989E2
5.400000000E0	-1.279106077E2
5.440000000E0	-1.329966781E2
5.480000000E0	-1.384309078E2
5.520000000E0	-1.434791504E2
5.560000000E0	-1.523613492E2
5.600000000E0	-1.616572059E2
5.640000000E0	-1.645825540E2
5.680000000E0	-1.628604819E2
5.720000000E0	-1.623376608E2
5.760000000E0	-1.612239443E2
5.800000000E0	-1.609636699E2
5.840000000E0	-1.609319053E2
5.880000000E0	-1.610491305E2
5.920000000E0	-1.614471827E2
5.960000000E0	-1.615927383E2
6.000000000E0	-1.611901638E2
6.040000000E0	-1.603530372E2
6.080000000E0	-1.592201127E2
6.120000000E0	-1.578397147E2
6.160000000E0	-1.560572875E2
6.200000000E0	-1.528398128E2
6.240000000E0	-1.486713533E2
6.280000000E0	-1.452442199E2
6.320000000E0	-1.412727734E2
6.360000000E0	-1.367982806E2
6.400000000E0	-1.323207854E2
6.440000000E0	-1.278131663E2
6.480000000E0	-1.218997262E2
6.520000000E0	-1.155477674E2
6.560000000E0	-1.093613027E2
6.600000000E0	-1.041526284E2
6.640000000E0	-9.851370343E1
6.680000000E0	-9.445712600E1
6.720000000E0	-9.215189512E1
6.760000000E0	-8.994466812E1
6.800000000E0	-8.988266883E1
6.840000000E0	-9.039217752E1
6.880000000E0	-9.150733395E1
6.920000000E0	-9.292164212E1
6.960000000E0	-9.470775778E1
7.000000000E0	-9.738381031E1
7.040000000E0	-1.006404923E2
7.080000000E0	-1.042542012E2
7.120000000E0	-1.078389669E2
7.160000000E0	-1.126891920E2
7.200000000E0	-1.183810434E2
7.240000000E0	-1.240801137E2
7.280000000E0	-1.293867049E2
7.320000000E0	-1.345351393E2
