
t/1	ANGLE/1
0.000000000E0	9.050366283E1
4.000000000E-2	9.051818384E1
8.000000000E-2	9.052076730E1
1.200000000E-1	9.052899398E1
1.600000000E-1	9.051705531E1
2.000000000E-1	9.051176214E1
2.400000000E-1	9.051344918E1
2.800000000E-1	9.051255062E1
3.200000000E-1	9.051178201E1
3.600000000E-1	9.051972793E1
4.000000000E-1	9.053079771E1
4.400000000E-1	9.053364555E1
4.800000000E-1	9.052738496E1
5.200000000E-1	9.052308821E1
5.600000000E-1	9.059229253E1
6.000000000E-1	9.068184202E1
6.400000000E-1	9.063626630E1
6.800000000E-1	9.055776276E1
7.200000000E-1	9.052682156E1
7.600000000E-1	9.035834083E1
8.000000000E-1	9.018201313E1
8.400000000E-1	8.982058634E1
8.800000000E-1	8.970909726E1
9.200000000E-1	8.972894181E1
9.600000000E-1	8.979711014E1
1.000000000E0	8.979332940E1
1.040000000E0	8.978838730E1
1.080000000E0	8.979247564E1
1.120000000E0	8.978918307E1
1.160000000E0	8.977225391E1
1.200000000E0	9.002702887E1
1.240000000E0	9.014647078E1
1.280000000E0	9.023563472E1
1.320000000E0	9.021171659E1
1.360000000E0	9.014597220E1
1.400000000E0	9.012001774E1
1.440000000E0	8.999492979E1
1.480000000E0	9.002520738E1
1.520000000E0	9.006867329E1
1.560000000E0	9.000040151E1
1.600000000E0	9.006130557E1
1.640000000E0	8.985261116E1
1.680000000E0	8.972880976E1
1.720000000E0	8.960421758E1
1.760000000E0	8.966601698E1
1.800000000E0	8.970646681E1
1.840000000E0	8.973329445E1
1.880000000E0	8.974255988E1
1.920000000E0	8.974361665E1
1.960000000E0	8.973846435E1
2.000000000E0	8.977307784E1
2.040000000E0	8.979082777E1
2.080000000E0	8.982360452E1
2.120000000E0	8.987215415E1
2.160000000E0	8.992336266E1
2.200000000E0	8.989584750E1
2.240000000E0	8.988022747E1
2.280000000E0	8.982465293E1
2.320000000E0	8.978854460E1
2.360000000E0	8.978010798E1
2.400000000E0	9.013520537E1
2.440000000E0	9.063286905E1
2.480000000E0	9.101499445E1
2.520000000E0	9.164704857E1
2.560000000E0	9.234081094E1
2.600000000E0	9.278140902E1
2.640000000E0	9.297786125E1
2.680000000E0	9.296664137E1
2.720000000E0	9.277196936E1
2.760000000E0	9.234188593E1
2.800000000E0	9.165705580E1
2.840000000E0	9.083929601E1
2.880000000E0	9.008202437E1
2.920000000E0	8.945124208E1
2.960000000E0	8.898602803E1
3.000000000E0	8.854134443E1
3.040000000E0	8.787743948E1
3.080000000E0	8.713736071E1
3.120000000E0	8.615309125E1
3.160000000E0	8.505012034E1
3.200000000E0	8.388594527E1
3.240000000E0	8.236859679E1
3.280000000E0	8.055625803E1
3.320000000E0	7.838852934E1
3.360000000E0	7.588223162E1
3.400000000E0	7.322726060E1
3.440000000E0	7.076417644E1
3.480000000E0	6.852361223E1
3.520000000E0	6.647899024E1
3.560000000E0	6.481764061E1
3.600000000E0	6.335937491E1
3.640000000E0	6.182049368E1
