
t/1	ANGLE/1
0.000000000E0	1.094933058E1
4.000000000E-2	1.095178221E1
8.000000000E-2	1.093538827E1
1.200000000E-1	1.090217553E1
1.600000000E-1	1.083344767E1
2.000000000E-1	1.083288276E1
2.400000000E-1	1.086913176E1
2.800000000E-1	1.094934053E1
3.200000000E-1	1.098651271E1
3.600000000E-1	1.096989643E1
4.000000000E-1	1.095882091E1
4.400000000E-1	1.097982819E1
4.800000000E-1	1.099251559E1
5.200000000E-1	1.100435425E1
5.600000000E-1	1.101094679E1
6.000000000E-1	1.101666455E1
6.400000000E-1	1.101921740E1
6.800000000E-1	1.101897256E1
7.200000000E-1	1.101828598E1
7.600000000E-1	1.101236460E1
8.000000000E-1	1.101795529E1
8.400000000E-1	1.101098920E1
8.800000000E-1	1.102375686E1
9.200000000E-1	1.102224043E1
9.600000000E-1	1.101668581E1
1.000000000E0	1.101631599E1
1.040000000E0	1.101749478E1
1.080000000E0	1.101662950E1
1.120000000E0	1.102703420E1
1.160000000E0	1.147069660E1
1.200000000E0	1.195034479E1
1.240000000E0	1.275584759E1
1.280000000E0	1.376122097E1
1.320000000E0	1.533944804E1
1.360000000E0	1.750785301E1
1.400000000E0	2.039791576E1
1.440000000E0	2.416393364E1
1.480000000E0	2.799372406E1
1.520000000E0	3.224842560E1
1.560000000E0	3.629299049E1
1.600000000E0	4.406523150E1
1.640000000E0	4.411811581E1
1.680000000E0	4.751831731E1
1.720000000E0	5.107549185E1
1.760000000E0	5.454068226E1
1.800000000E0	5.820329360E1
1.840000000E0	6.187126047E1
1.880000000E0	6.541136007E1
1.920000000E0	6.872654144E1
1.960000000E0	7.189976439E1
2.000000000E0	7.455951474E1
2.040000000E0	7.662882946E1
2.080000000E0	7.869677532E1
2.120000000E0	8.031919820E1
2.160000000E0	8.185337135E1
2.200000000E0	8.286491293E1
2.240000000E0	8.375463806E1
2.280000000E0	8.475675512E1
2.320000000E0	8.481721555E1
2.360000000E0	8.480851608E1
2.400000000E0	8.455549484E1
2.440000000E0	8.384357530E1
2.480000000E0	8.272471118E1
2.520000000E0	8.082980742E1
2.560000000E0	7.773983194E1
2.600000000E0	7.391974458E1
2.640000000E0	6.921091130E1
2.680000000E0	6.381767082E1
2.720000000E0	5.782085076E1
2.760000000E0	5.162727277E1
2.800000000E0	4.495739249E1
2.840000000E0	3.873476495E1
2.880000000E0	3.270369386E1
2.920000000E0	2.786061176E1
2.960000000E0	2.407748921E1
3.000000000E0	2.131496047E1
3.040000000E0	1.992694171E1
3.080000000E0	1.945449011E1
3.120000000E0	1.971499419E1
3.160000000E0	2.023642809E1
3.200000000E0	2.067194432E1
3.240000000E0	2.089739133E1
3.280000000E0	2.084376830E1
3.320000000E0	2.089813287E1
3.360000000E0	2.096349106E1
3.400000000E0	2.109391469E1
3.440000000E0	2.149852818E1
3.480000000E0	2.197469383E1
3.520000000E0	2.282667037E1
3.560000000E0	2.427312621E1
3.600000000E0	2.648785619E1
3.640000000E0	2.934904156E1
3.680000000E0	3.656946323E1
3.720000000E0	3.651686976E1
3.760000000E0	4.089226748E1
3.800000000E0	4.539390057E1
3.840000000E0	4.972320307E1
3.880000000E0	5.422141406E1
3.920000000E0	5.864857990E1
3.960000000E0	6.297888766E1
4.000000000E0	7.070073415E1
4.040000000E0	7.075808841E1
4.080000000E0	7.389224804E1
4.120000000E0	7.648046094E1
4.160000000E0	7.857240280E1
4.200000000E0	8.054468034E1
4.240000000E0	8.212995736E1
4.280000000E0	8.356769445E1
4.320000000E0	8.440817295E1
4.360000000E0	8.497307605E1
4.400000000E0	8.535203246E1
4.440000000E0	8.545505767E1
4.480000000E0	8.524473340E1
4.520000000E0	8.462957806E1
4.560000000E0	8.323214477E1
4.600000000E0	8.061084529E1
4.640000000E0	7.745515536E1
4.680000000E0	7.385409448E1
4.720000000E0	6.929540331E1
4.760000000E0	6.383403160E1
4.800000000E0	5.858118228E1
4.840000000E0	5.313645801E1
4.880000000E0	4.711378128E1
4.920000000E0	4.157365738E1
4.960000000E0	3.583667030E1
5.000000000E0	3.108957586E1
5.040000000E0	2.740156186E1
5.080000000E0	2.468445604E1
5.120000000E0	2.314491911E1
5.160000000E0	2.240841279E1
5.200000000E0	2.236829457E1
5.240000000E0	2.252543378E1
5.280000000E0	2.264306866E1
5.320000000E0	2.265874306E1
5.360000000E0	2.269417182E1
5.400000000E0	2.274637710E1
5.440000000E0	2.278396441E1
5.480000000E0	2.293541423E1
5.520000000E0	2.337388040E1
5.560000000E0	2.433460230E1
5.600000000E0	2.543000269E1
5.640000000E0	2.769599363E1
5.680000000E0	3.078853243E1
5.720000000E0	3.456591303E1
5.760000000E0	3.887479472E1
5.800000000E0	4.325726195E1
5.840000000E0	4.773122854E1
5.880000000E0	5.200541855E1
5.920000000E0	5.629290622E1
5.960000000E0	6.052324339E1
6.000000000E0	6.449984096E1
6.040000000E0	6.785130692E1
6.080000000E0	7.108612848E1
6.120000000E0	7.381242222E1
6.160000000E0	7.619643441E1
6.200000000E0	7.835364637E1
6.240000000E0	8.033898853E1
6.280000000E0	8.206148020E1
6.320000000E0	8.320016861E1
6.360000000E0	8.418053827E1
6.400000000E0	8.495170519E1
6.440000000E0	8.543512313E1
6.480000000E0	8.544729367E1
6.520000000E0	8.514242241E1
6.560000000E0	8.449489639E1
6.600000000E0	8.322612356E1
6.640000000E0	8.133698635E1
6.680000000E0	7.811975147E1
6.720000000E0	7.486077538E1
6.760000000E0	7.035920996E1
6.800000000E0	6.560149344E1
6.840000000E0	6.029493901E1
6.880000000E0	5.392731917E1
6.920000000E0	4.764046623E1
6.960000000E0	4.164017046E1
7.000000000E0	3.638063200E1
7.040000000E0	2.894884321E1
7.080000000E0	2.569448119E1
7.120000000E0	2.629321461E1
7.160000000E0	2.465645995E1
7.200000000E0	2.394744172E1
7.240000000E0	2.373559253E1
7.280000000E0	2.399506053E1
7.320000000E0	2.412670520E1
7.360000000E0	2.422606167E1
7.400000000E0	2.425985492E1
7.440000000E0	2.426429117E1
7.480000000E0	2.422786217E1
7.520000000E0	2.413981421E1
7.560000000E0	2.429879748E1
7.600000000E0	2.443967062E1
7.640000000E0	2.478008873E1
7.680000000E0	2.521580937E1
7.720000000E0	2.606509837E1
7.760000000E0	2.766829516E1
7.800000000E0	2.985291455E1
7.840000000E0	3.245769192E1
7.880000000E0	3.536663166E1
7.920000000E0	4.229081276E1
7.960000000E0	4.239291669E1
8.000000000E0	4.607211237E1
8.040000000E0	5.001121606E1
8.080000000E0	5.421937087E1
8.120000000E0	5.861285070E1
8.160000000E0	6.296208275E1
8.200000000E0	6.703587245E1
8.240000000E0	7.071629610E1
8.280000000E0	7.399003546E1
8.320000000E0	7.665726929E1
8.360000000E0	7.877974417E1
8.400000000E0	8.054500311E1
8.440000000E0	8.245668854E1
8.480000000E0	8.247037696E1
8.520000000E0	8.309263632E1
8.560000000E0	8.354335698E1
8.600000000E0	8.357343852E1
8.640000000E0	8.367375310E1
8.680000000E0	8.352486195E1
8.720000000E0	8.263307539E1
8.760000000E0	8.090701028E1
8.800000000E0	7.818082999E1
8.840000000E0	7.494061633E1
8.880000000E0	7.073636834E1
8.920000000E0	6.048561265E1
8.960000000E0	6.045377328E1
9.000000000E0	5.447127459E1
9.040000000E0	4.815003940E1
9.080000000E0	4.165823492E1
9.120000000E0	3.563977541E1
9.160000000E0	3.043070374E1
9.200000000E0	2.599404441E1
9.240000000E0	2.260348499E1
9.280000000E0	2.045435275E1
9.320000000E0	1.916627530E1
9.360000000E0	1.845007412E1
9.400000000E0	1.836761316E1
9.440000000E0	1.858242705E1
9.480000000E0	1.869606381E1
9.520000000E0	1.910493754E1
9.560000000E0	1.918163792E1
9.600000000E0	1.918374688E1
9.640000000E0	1.919746085E1
9.680000000E0	1.918711045E1
9.720000000E0	1.918686520E1
9.760000000E0	1.954990967E1
9.800000000E0	2.009263099E1
9.840000000E0	2.270540361E1
9.880000000E0	2.269038038E1
9.920000000E0	2.521136230E1
9.960000000E0	2.821925062E1
1.000000000E1	3.171057678E1
1.004000000E1	3.555493003E1
1.008000000E1	3.936317017E1
1.012000000E1	4.348224618E1
1.016000000E1	4.776315151E1
1.020000000E1	5.190202399E1
1.024000000E1	5.623507318E1
1.028000000E1	6.090644181E1
1.032000000E1	6.929426862E1
1.036000000E1	6.922484377E1
1.040000000E1	7.252107356E1
1.044000000E1	7.529498599E1
1.048000000E1	7.800933958E1
1.052000000E1	8.016797947E1
1.056000000E1	8.195276583E1
1.060000000E1	8.363114257E1
1.064000000E1	8.463650862E1
1.068000000E1	8.522775761E1
1.072000000E1	8.525875123E1
1.076000000E1	8.473743626E1
1.080000000E1	8.324852076E1
1.084000000E1	8.120505487E1
1.088000000E1	7.895101116E1
1.092000000E1	7.526485643E1
1.096000000E1	7.098669395E1
1.100000000E1	6.595457196E1
1.104000000E1	6.018285960E1
1.108000000E1	5.425342112E1
1.112000000E1	4.808337336E1
1.116000000E1	4.273610505E1
1.120000000E1	3.785644991E1
1.124000000E1	3.381457747E1
1.128000000E1	3.084280404E1
1.132000000E1	2.840631624E1
1.136000000E1	2.647465575E1
1.140000000E1	2.531831118E1
1.144000000E1	2.479146798E1
1.148000000E1	2.448902419E1
1.152000000E1	2.454604466E1
1.156000000E1	2.465339268E1
1.160000000E1	2.469008386E1
1.164000000E1	2.472557620E1
1.168000000E1	2.484753542E1
1.172000000E1	2.491758275E1
1.176000000E1	2.495915563E1
1.180000000E1	2.499347498E1
1.184000000E1	2.527188708E1
1.188000000E1	2.546544313E1
1.192000000E1	2.578915365E1
1.196000000E1	2.622266491E1
1.200000000E1	2.700501299E1
1.204000000E1	2.788779894E1
1.208000000E1	2.926622436E1
1.212000000E1	3.104167156E1
1.216000000E1	3.319906868E1
1.220000000E1	3.574425358E1
1.224000000E1	3.865686157E1
1.228000000E1	4.200478678E1
1.232000000E1	4.581926327E1
1.236000000E1	4.979098194E1
1.240000000E1	5.404872243E1
1.244000000E1	5.825949310E1
1.248000000E1	6.268621641E1
1.252000000E1	6.681418097E1
1.256000000E1	7.085998071E1
1.260000000E1	7.435190479E1
1.264000000E1	7.712714029E1
1.268000000E1	7.983231404E1
1.272000000E1	8.214501421E1
1.276000000E1	8.397230432E1
1.280000000E1	8.516953238E1
1.284000000E1	8.596315799E1
1.288000000E1	8.612542414E1
1.292000000E1	8.580413955E1
1.296000000E1	8.466063000E1
1.300000000E1	8.283135087E1
1.304000000E1	7.995178942E1
1.308000000E1	7.666515911E1
1.312000000E1	7.254745393E1
1.316000000E1	6.703666676E1
1.320000000E1	6.156482386E1
1.324000000E1	5.519624603E1
1.328000000E1	4.872059841E1
1.332000000E1	4.273085359E1
1.336000000E1	3.665299175E1
1.340000000E1	3.139359466E1
1.344000000E1	2.679906716E1
1.348000000E1	2.327723927E1
1.352000000E1	2.072071711E1
1.356000000E1	1.840768076E1
1.360000000E1	1.841811053E1
1.364000000E1	1.845850996E1
1.368000000E1	1.859588395E1
1.372000000E1	1.882580993E1
1.376000000E1	1.902994719E1
1.380000000E1	1.909328447E1
1.384000000E1	1.907056792E1
1.388000000E1	1.906329030E1
1.392000000E1	1.897187667E1
1.396000000E1	1.902450013E1
1.400000000E1	1.921153745E1
1.404000000E1	1.920531976E1
1.408000000E1	1.928646710E1
1.412000000E1	1.932526457E1
1.416000000E1	1.937891054E1
1.420000000E1	1.958897427E1
1.424000000E1	1.971492873E1
1.428000000E1	2.016161588E1
1.432000000E1	2.055119265E1
1.436000000E1	2.110362506E1
1.440000000E1	2.230648608E1
1.444000000E1	2.404811430E1
1.448000000E1	2.625314991E1
1.452000000E1	2.884443451E1
1.456000000E1	3.140084373E1
1.460000000E1	3.419695900E1
1.464000000E1	3.714977010E1
1.468000000E1	4.014592825E1
1.472000000E1	4.330579544E1
1.476000000E1	4.664741247E1
1.480000000E1	5.025359226E1
1.484000000E1	5.425392971E1
1.488000000E1	5.836491439E1
1.492000000E1	6.264453745E1
1.496000000E1	6.697055216E1
1.500000000E1	7.480097142E1
1.504000000E1	7.483808364E1
1.508000000E1	7.802349564E1
1.512000000E1	8.062740375E1
1.516000000E1	8.281178121E1
1.520000000E1	8.483614552E1
1.524000000E1	8.621102207E1
1.528000000E1	8.713019133E1
