
t/1	ANGLE/1
0.000000000E0	1.062198498E2
4.000000000E-2	1.062063440E2
8.000000000E-2	1.066983111E2
1.200000000E-1	1.070361130E2
1.600000000E-1	1.073697890E2
2.000000000E-1	1.070088754E2
2.400000000E-1	1.069495398E2
2.800000000E-1	1.069583107E2
3.200000000E-1	1.069061614E2
3.600000000E-1	1.068870143E2
4.000000000E-1	1.069305444E2
4.400000000E-1	1.069620179E2
4.800000000E-1	1.069309794E2
5.200000000E-1	1.069981262E2
5.600000000E-1	1.068595579E2
6.000000000E-1	1.067204541E2
6.400000000E-1	1.066996907E2
6.800000000E-1	1.067138947E2
7.200000000E-1	1.068245418E2
7.600000000E-1	1.069799227E2
8.000000000E-1	1.072144397E2
8.400000000E-1	1.072739300E2
8.800000000E-1	1.073099680E2
9.200000000E-1	1.073523774E2
9.600000000E-1	1.074581555E2
1.000000000E0	1.075778071E2
1.040000000E0	1.075973515E2
1.080000000E0	1.077466633E2
1.120000000E0	1.077939840E2
1.160000000E0	1.077890898E2
1.200000000E0	1.077372639E2
1.240000000E0	1.080625393E2
1.280000000E0	1.080570825E2
1.320000000E0	1.080721097E2
1.360000000E0	1.081607825E2
1.400000000E0	1.081292876E2
1.440000000E0	1.084228512E2
1.480000000E0	1.085682092E2
1.520000000E0	1.087980321E2
1.560000000E0	1.092142201E2
1.600000000E0	1.102879726E2
1.640000000E0	1.115595531E2
1.680000000E0	1.135647205E2
1.720000000E0	1.164943163E2
1.760000000E0	1.204853748E2
1.800000000E0	1.252427801E2
1.840000000E0	1.304582573E2
1.880000000E0	1.365295267E2
1.920000000E0	1.428623840E2
1.960000000E0	1.489103077E2
2.000000000E0	1.547149115E2
2.040000000E0	1.599512575E2
2.080000000E0	1.647785086E2
2.120000000E0	1.686946570E2
2.160000000E0	1.692999426E2
2.200000000E0	1.684315551E2
2.240000000E0	1.686199061E2
2.280000000E0	1.685410051E2
2.320000000E0	1.683761081E2
2.360000000E0	1.684464146E2
2.400000000E0	1.684592908E2
2.440000000E0	1.684487420E2
2.480000000E0	1.684011848E2
2.520000000E0	1.684331662E2
2.560000000E0	1.681636923E2
2.600000000E0	1.679273546E2
2.640000000E0	1.669713591E2
2.680000000E0	1.652023077E2
2.720000000E0	1.621897570E2
2.760000000E0	1.577929361E2
2.800000000E0	1.519075895E2
2.840000000E0	1.453951423E2
2.880000000E0	1.383136758E2
2.920000000E0	1.310071398E2
2.960000000E0	1.233957395E2
3.000000000E0	1.162924876E2
3.040000000E0	1.099403750E2
3.080000000E0	1.051816955E2
3.120000000E0	1.025860369E2
3.160000000E0	1.019541160E2
3.200000000E0	1.024096435E2
3.240000000E0	1.018686470E2
3.280000000E0	1.024826151E2
3.320000000E0	1.027476971E2
3.360000000E0	1.026842977E2
3.400000000E0	1.033503769E2
3.440000000E0	1.046412194E2
3.480000000E0	1.069222709E2
3.520000000E0	1.101505787E2
3.560000000E0	1.145960158E2
3.600000000E0	1.196128275E2
3.640000000E0	1.255033766E2
3.680000000E0	1.318405740E2
3.720000000E0	1.383357808E2
3.760000000E0	1.446199144E2
3.800000000E0	1.500644136E2
3.840000000E0	1.550628486E2
3.880000000E0	1.593943266E2
3.920000000E0	1.631310518E2
3.960000000E0	1.671473633E2
4.000000000E0	1.691185989E2
4.040000000E0	1.682987359E2
4.080000000E0	1.679345669E2
4.120000000E0	1.680793129E2
4.160000000E0	1.676715957E2
4.200000000E0	1.674543605E2
4.240000000E0	1.670266598E2
4.280000000E0	1.623795651E2
4.320000000E0	1.624307520E2
4.360000000E0	1.567846321E2
4.400000000E0	1.491918633E2
4.440000000E0	1.416579098E2
4.480000000E0	1.343455669E2
4.520000000E0	1.279129143E2
4.560000000E0	1.222935657E2
4.600000000E0	1.172980117E2
4.640000000E0	1.129146367E2
4.680000000E0	1.093194493E2
4.720000000E0	1.064681109E2
4.760000000E0	1.046398489E2
4.800000000E0	1.040394550E2
4.840000000E0	1.034820775E2
4.880000000E0	1.031674150E2
4.920000000E0	1.029262511E2
4.960000000E0	1.036618611E2
5.000000000E0	1.043092360E2
5.040000000E0	1.042962120E2
5.080000000E0	1.042685196E2
5.120000000E0	1.040100556E2
5.160000000E0	1.037563348E2
5.200000000E0	1.035944610E2
5.240000000E0	1.039555064E2
5.280000000E0	1.050483804E2
5.320000000E0	1.067858808E2
5.360000000E0	1.095970538E2
5.400000000E0	1.142805809E2
5.440000000E0	1.208985890E2
5.480000000E0	1.288159542E2
5.520000000E0	1.370907604E2
5.560000000E0	1.449501420E2
5.600000000E0	1.517204425E2
5.640000000E0	1.576574219E2
5.680000000E0	1.619486881E2
5.720000000E0	1.656230719E2
5.760000000E0	1.682203353E2
5.800000000E0	1.690702430E2
5.840000000E0	1.691362978E2
5.880000000E0	1.694635232E2
5.920000000E0	1.695840247E2
5.960000000E0	1.696071104E2
6.000000000E0	1.696073506E2
6.040000000E0	1.692070062E2
6.080000000E0	1.688624671E2
6.120000000E0	1.681803527E2
6.160000000E0	1.663220917E2
6.200000000E0	1.636784585E2
6.240000000E0	1.600350228E2
6.280000000E0	1.553613991E2
6.320000000E0	1.505525293E2
6.360000000E0	1.450761380E2
6.400000000E0	1.394663877E2
