
t/1	ANGLE/1
0.000000000E0	2.295555432E1
4.000000000E-2	2.295352988E1
8.000000000E-2	2.323796373E1
1.200000000E-1	2.370926991E1
1.600000000E-1	2.418683242E1
2.000000000E-1	2.427382731E1
2.400000000E-1	2.440841587E1
2.800000000E-1	2.442751793E1
3.200000000E-1	2.435860434E1
3.600000000E-1	2.424358118E1
4.000000000E-1	2.421735032E1
4.400000000E-1	2.413042140E1
4.800000000E-1	2.397104931E1
5.200000000E-1	2.390898156E1
5.600000000E-1	2.371518398E1
6.000000000E-1	2.363313654E1
6.400000000E-1	2.363416332E1
6.800000000E-1	2.363762179E1
7.200000000E-1	2.367247266E1
7.600000000E-1	2.370392797E1
8.000000000E-1	2.378471869E1
8.400000000E-1	2.375804488E1
8.800000000E-1	2.375337406E1
9.200000000E-1	2.377953902E1
9.600000000E-1	2.383861458E1
1.000000000E0	2.379132203E1
1.040000000E0	2.378297158E1
1.080000000E0	2.382082295E1
1.120000000E0	2.380949716E1
1.160000000E0	2.377392773E1
1.200000000E0	2.382238714E1
1.240000000E0	2.402347336E1
1.280000000E0	2.407040582E1
1.320000000E0	2.413623238E1
1.360000000E0	2.428899930E1
1.400000000E0	2.436190506E1
1.440000000E0	2.460233513E1
1.480000000E0	2.472135157E1
1.520000000E0	2.499982569E1
1.560000000E0	2.558310084E1
1.600000000E0	2.664168947E1
1.640000000E0	2.872447758E1
1.680000000E0	3.186525328E1
1.720000000E0	3.600664933E1
1.760000000E0	4.093095082E1
1.800000000E0	4.634943010E1
1.840000000E0	5.176768755E1
1.880000000E0	5.719854106E1
1.920000000E0	6.240328824E1
1.960000000E0	6.685148556E1
2.000000000E0	7.048362678E1
2.040000000E0	7.321611153E1
2.080000000E0	7.512413167E1
2.120000000E0	7.641961748E1
2.160000000E0	7.631656978E1
2.200000000E0	7.590167831E1
2.240000000E0	7.586364839E1
2.280000000E0	7.568373741E1
2.320000000E0	7.556292866E1
2.360000000E0	7.559888540E1
2.400000000E0	7.561719710E1
2.440000000E0	7.557749807E1
2.480000000E0	7.559054562E1
2.520000000E0	7.559373653E1
2.560000000E0	7.548622455E1
2.600000000E0	7.538706835E1
2.640000000E0	7.498074980E1
2.680000000E0	7.416429068E1
2.720000000E0	7.256667528E1
2.760000000E0	6.990632440E1
2.800000000E0	6.622047755E1
2.840000000E0	6.169380935E1
2.880000000E0	5.651172035E1
2.920000000E0	5.065325242E1
2.960000000E0	4.421267457E1
3.000000000E0	3.746047975E1
3.040000000E0	3.075816365E1
3.080000000E0	2.449811279E1
3.120000000E0	1.963910699E1
3.160000000E0	1.653673253E1
3.200000000E0	1.510678039E1
3.240000000E0	1.478522346E1
3.280000000E0	1.536375139E1
3.320000000E0	1.610953692E1
3.360000000E0	1.685977116E1
3.400000000E0	1.824250193E1
3.440000000E0	2.090641420E1
3.480000000E0	2.518749035E1
3.520000000E0	3.076596658E1
3.560000000E0	3.718933368E1
3.600000000E0	4.387227022E1
3.640000000E0	5.043054863E1
3.680000000E0	5.640197316E1
3.720000000E0	6.169379646E1
3.760000000E0	6.620289018E1
3.800000000E0	6.978986575E1
3.840000000E0	7.266667396E1
3.880000000E0	7.485426837E1
3.920000000E0	7.652827193E1
3.960000000E0	7.812190149E1
4.000000000E0	7.888813686E1
4.040000000E0	7.865489518E1
4.080000000E0	7.878100542E1
4.120000000E0	7.879791703E1
4.160000000E0	7.845080332E1
4.200000000E0	7.806161506E1
4.240000000E0	7.757804263E1
4.280000000E0	7.474567189E1
4.320000000E0	7.475761049E1
4.360000000E0	7.184587546E1
4.400000000E0	6.778693490E1
4.440000000E0	6.314492175E1
4.480000000E0	5.808806203E1
4.520000000E0	5.290567598E1
4.560000000E0	4.747620421E1
4.600000000E0	4.211468570E1
4.640000000E0	3.694532329E1
4.680000000E0	3.224061978E1
4.720000000E0	2.803137339E1
4.760000000E0	2.449478211E1
4.800000000E0	2.180913850E1
4.840000000E0	1.967780534E1
4.880000000E0	1.831818226E1
4.920000000E0	1.802995779E1
4.960000000E0	1.847693375E1
5.000000000E0	1.947560309E1
5.040000000E0	1.951657121E1
5.080000000E0	1.988845483E1
5.120000000E0	2.012530163E1
5.160000000E0	2.015341755E1
5.200000000E0	2.038200819E1
5.240000000E0	2.120991555E1
5.280000000E0	2.328964245E1
5.320000000E0	2.670557762E1
5.360000000E0	3.133981169E1
5.400000000E0	3.724872519E1
5.440000000E0	4.405915566E1
5.480000000E0	5.136819225E1
5.520000000E0	5.841330113E1
5.560000000E0	6.478188943E1
5.600000000E0	6.983693641E1
5.640000000E0	7.383708632E1
5.680000000E0	7.658049779E1
5.720000000E0	7.852335247E1
5.760000000E0	7.965284740E1
5.800000000E0	7.987682988E1
5.840000000E0	8.001558654E1
5.880000000E0	8.009697798E1
5.920000000E0	8.004247464E1
5.960000000E0	7.999366072E1
6.000000000E0	7.990189899E1
6.040000000E0	7.963188204E1
6.080000000E0	7.938328954E1
6.120000000E0	7.884106306E1
6.160000000E0	7.770800127E1
6.200000000E0	7.611597706E1
6.240000000E0	7.383627201E1
6.280000000E0	7.097618044E1
6.320000000E0	6.783765304E1
6.360000000E0	6.426124709E1
6.400000000E0	6.025086794E1
6.440000000E0	5.557538092E1
6.480000000E0	5.023502037E1
6.520000000E0	4.455727449E1
6.560000000E0	3.899131267E1
6.600000000E0	3.343944252E1
6.640000000E0	2.851452064E1
6.680000000E0	2.447282424E1
6.720000000E0	2.133492535E1
6.760000000E0	1.914786793E1
6.800000000E0	1.786543338E1
6.840000000E0	1.732934559E1
6.880000000E0	1.744489316E1
6.920000000E0	1.788862099E1
6.960000000E0	1.821192487E1
7.000000000E0	1.844284921E1
7.040000000E0	1.864118589E1
7.080000000E0	1.893598594E1
7.120000000E0	1.967678294E1
7.160000000E0	2.132503614E1
7.200000000E0	2.430663893E1
7.240000000E0	2.869488059E1
7.280000000E0	3.425774523E1
7.320000000E0	4.075086503E1
7.360000000E0	4.770596045E1
7.400000000E0	5.477791006E1
7.440000000E0	6.151631795E1
7.480000000E0	7.193300880E1
7.520000000E0	7.186385229E1
7.560000000E0	7.577358508E1
7.600000000E0	7.865281832E1
7.640000000E0	8.032067335E1
7.680000000E0	8.052315659E1
7.720000000E0	8.005504975E1
7.760000000E0	7.998508556E1
7.800000000E0	7.986827972E1
7.840000000E0	7.959653474E1
7.880000000E0	7.961954491E1
7.920000000E0	7.953539332E1
7.960000000E0	7.944670363E1
8.000000000E0	7.910663956E1
8.040000000E0	7.809745566E1
8.080000000E0	7.589733377E1
8.120000000E0	7.233667104E1
8.160000000E0	6.755750196E1
8.200000000E0	6.268449109E1
8.240000000E0	5.758803921E1
8.280000000E0	5.205029513E1
8.320000000E0	4.642589522E1
8.360000000E0	4.054000520E1
8.400000000E0	3.498108247E1
8.440000000E0	2.991134225E1
8.480000000E0	2.564411244E1
8.520000000E0	2.233191778E1
8.560000000E0	1.888401562E1
8.600000000E0	1.887467910E1
8.640000000E0	1.825055062E1
8.680000000E0	1.850936458E1
8.720000000E0	1.918406968E1
8.760000000E0	1.970915112E1
8.800000000E0	2.018778988E1
8.840000000E0	2.084278381E1
8.880000000E0	2.219963907E1
8.920000000E0	2.476677173E1
8.960000000E0	2.879370660E1
9.000000000E0	3.393096802E1
9.040000000E0	4.002564101E1
9.080000000E0	4.663373162E1
9.120000000E0	5.341588753E1
9.160000000E0	5.993955392E1
9.200000000E0	6.573428232E1
9.240000000E0	7.046440985E1
9.280000000E0	7.426916323E1
9.320000000E0	7.705448396E1
9.360000000E0	7.892291398E1
9.400000000E0	7.982805857E1
9.440000000E0	7.958103110E1
9.480000000E0	7.929487676E1
9.520000000E0	7.911907394E1
9.560000000E0	7.856043307E1
9.600000000E0	7.834837431E1
9.640000000E0	7.833797131E1
9.680000000E0	7.836197444E1
9.720000000E0	7.828976399E1
9.760000000E0	7.800845131E1
9.800000000E0	7.719692694E1
9.840000000E0	7.540950054E1
9.880000000E0	7.237100554E1
9.920000000E0	6.308718182E1
9.960000000E0	6.309059478E1
1.000000000E1	5.783673383E1
1.004000000E1	5.213509993E1
1.008000000E1	4.627517351E1
1.012000000E1	4.018203431E1
1.016000000E1	3.417818552E1
1.020000000E1	2.908530821E1
1.024000000E1	2.534596446E1
1.028000000E1	2.290538385E1
1.032000000E1	2.142534215E1
1.036000000E1	2.062763581E1
1.040000000E1	2.048629733E1
1.044000000E1	2.103265181E1
1.048000000E1	2.166190408E1
1.052000000E1	2.222675605E1
1.056000000E1	2.283776160E1
1.060000000E1	2.391217162E1
1.064000000E1	2.601657968E1
1.068000000E1	2.926393825E1
1.072000000E1	3.357850416E1
1.076000000E1	3.869567482E1
1.080000000E1	4.430058320E1
1.084000000E1	4.996001591E1
1.088000000E1	5.554521501E1
1.092000000E1	6.085621325E1
1.096000000E1	6.573831624E1
1.100000000E1	7.015769208E1
1.104000000E1	7.410211197E1
1.108000000E1	7.715401640E1
1.112000000E1	7.910668321E1
1.116000000E1	8.045072049E1
1.120000000E1	8.100649518E1
1.124000000E1	8.093466720E1
1.128000000E1	8.104336911E1
1.132000000E1	8.103910747E1
1.136000000E1	8.092157490E1
1.140000000E1	8.086063909E1
1.144000000E1	8.086585068E1
1.148000000E1	8.070791816E1
1.152000000E1	8.019803644E1
1.156000000E1	7.711373777E1
1.160000000E1	7.716943202E1
1.164000000E1	7.350234357E1
1.168000000E1	6.887466135E1
1.172000000E1	6.398312119E1
1.176000000E1	5.880836093E1
1.180000000E1	5.344454103E1
1.184000000E1	4.806728805E1
1.188000000E1	4.298378262E1
1.192000000E1	3.800822421E1
1.196000000E1	3.349108485E1
1.200000000E1	2.975334924E1
1.204000000E1	2.694705661E1
1.208000000E1	2.391110734E1
1.212000000E1	2.393624871E1
1.216000000E1	2.337882443E1
1.220000000E1	2.346584053E1
1.224000000E1	2.398196604E1
1.228000000E1	2.433340519E1
1.232000000E1	2.460819012E1
1.236000000E1	2.496113472E1
1.240000000E1	2.569342126E1
1.244000000E1	2.712696199E1
1.248000000E1	2.972964424E1
1.252000000E1	3.352782325E1
1.256000000E1	4.405581176E1
1.260000000E1	4.410987818E1
1.264000000E1	5.031045249E1
1.268000000E1	5.652653861E1
1.272000000E1	6.224947341E1
1.276000000E1	6.718736606E1
1.280000000E1	7.148056692E1
1.284000000E1	7.506654680E1
1.288000000E1	7.777259743E1
1.292000000E1	7.982722468E1
1.296000000E1	8.151376246E1
1.300000000E1	8.244818715E1
1.304000000E1	8.239587188E1
1.308000000E1	8.221657862E1
1.312000000E1	8.234490453E1
1.316000000E1	8.235876308E1
1.320000000E1	8.214104256E1
1.324000000E1	8.211004466E1
1.328000000E1	8.180920783E1
1.332000000E1	8.131722825E1
1.336000000E1	8.042059352E1
1.340000000E1	7.834459397E1
1.344000000E1	7.521283617E1
1.348000000E1	7.114830296E1
1.352000000E1	6.686919463E1
1.356000000E1	6.251142331E1
1.360000000E1	5.825324519E1
1.364000000E1	5.384213071E1
1.368000000E1	4.914626843E1
1.372000000E1	4.432924459E1
1.376000000E1	3.957273824E1
1.380000000E1	3.493247948E1
1.384000000E1	3.059879342E1
1.388000000E1	2.683040219E1
1.392000000E1	2.375247269E1
1.396000000E1	2.160001992E1
1.400000000E1	2.026713090E1
1.404000000E1	1.990813080E1
1.408000000E1	2.050460863E1
1.412000000E1	2.116444154E1
1.416000000E1	2.171971561E1
1.420000000E1	2.217361254E1
1.424000000E1	2.263603828E1
1.428000000E1	2.610395492E1
1.432000000E1	2.611673474E1
1.436000000E1	2.984442644E1
1.440000000E1	3.490520531E1
1.444000000E1	4.085663139E1
1.448000000E1	4.706773241E1
1.452000000E1	5.366435087E1
1.456000000E1	5.990414924E1
1.460000000E1	6.556098386E1
1.464000000E1	7.024967326E1
1.468000000E1	7.408382966E1
1.472000000E1	7.738404005E1
1.476000000E1	8.003184777E1
1.480000000E1	8.194496127E1
1.484000000E1	8.282431944E1
1.488000000E1	8.269800162E1
1.492000000E1	8.282577719E1
1.496000000E1	8.287358254E1
1.500000000E1	8.283930453E1
1.504000000E1	8.278837620E1
1.508000000E1	8.283256043E1
1.512000000E1	8.256083647E1
1.516000000E1	8.194114356E1
1.520000000E1	8.080964484E1
1.524000000E1	7.874337977E1
1.528000000E1	7.594848896E1
1.532000000E1	7.230729444E1
1.536000000E1	6.785283077E1
1.540000000E1	6.296321624E1
1.544000000E1	5.773089270E1
1.548000000E1	5.238374862E1
1.552000000E1	4.709881929E1
1.556000000E1	4.205294012E1
1.560000000E1	3.715901587E1
1.564000000E1	3.278303054E1
1.568000000E1	2.888597412E1
1.572000000E1	2.561137530E1
1.576000000E1	2.284580490E1
1.580000000E1	2.077933965E1
1.584000000E1	1.957849379E1
1.588000000E1	1.940516156E1
1.592000000E1	1.991837395E1
1.596000000E1	2.045024739E1
1.600000000E1	2.104443663E1
1.604000000E1	2.151419215E1
1.608000000E1	2.211953663E1
1.612000000E1	2.327495424E1
1.616000000E1	2.566917973E1
1.620000000E1	2.931211181E1
1.624000000E1	3.391790094E1
1.628000000E1	3.908766207E1
1.632000000E1	4.480664600E1
1.636000000E1	5.062479722E1
1.640000000E1	5.635971748E1
1.644000000E1	6.194398147E1
1.648000000E1	6.664765917E1
1.652000000E1	7.087307608E1
1.656000000E1	7.464155124E1
1.660000000E1	7.770445183E1
1.664000000E1	7.994590734E1
1.668000000E1	8.153792346E1
1.672000000E1	8.217443855E1
1.676000000E1	8.189825673E1
1.680000000E1	8.217299957E1
1.684000000E1	8.205938824E1
1.688000000E1	8.180352083E1
1.692000000E1	8.181072937E1
1.696000000E1	8.193583566E1
1.700000000E1	8.194792626E1
1.704000000E1	8.183517236E1
