
t/1	ANGLE/1
0.000000000E0	8.922679651E1
4.000000000E-2	8.922794861E1
8.000000000E-2	8.918003607E1
1.200000000E-1	8.900968584E1
1.600000000E-1	8.895086987E1
2.000000000E-1	8.872398050E1
2.400000000E-1	8.862036080E1
2.800000000E-1	8.859959798E1
3.200000000E-1	8.862390409E1
3.600000000E-1	8.864716910E1
4.000000000E-1	8.865855443E1
4.400000000E-1	8.867716714E1
4.800000000E-1	8.870551276E1
5.200000000E-1	8.885075337E1
5.600000000E-1	8.895630567E1
6.000000000E-1	8.897136048E1
6.400000000E-1	8.897887501E1
6.800000000E-1	8.897334484E1
7.200000000E-1	8.893959526E1
7.600000000E-1	8.893813381E1
8.000000000E-1	8.893964191E1
8.400000000E-1	8.890822362E1
8.800000000E-1	8.890826523E1
9.200000000E-1	8.889173455E1
9.600000000E-1	8.886778985E1
1.000000000E0	8.891206761E1
1.040000000E0	8.889912692E1
1.080000000E0	8.892386857E1
1.120000000E0	8.893867155E1
1.160000000E0	8.894986223E1
1.200000000E0	8.891000281E1
1.240000000E0	8.890047488E1
1.280000000E0	8.889935316E1
1.320000000E0	8.888551856E1
1.360000000E0	8.874325239E1
1.400000000E0	8.869791870E1
1.440000000E0	8.866407347E1
1.480000000E0	8.863555260E1
1.520000000E0	8.843628541E1
1.560000000E0	8.813408064E1
1.600000000E0	8.780210881E1
1.640000000E0	8.727911140E1
1.680000000E0	8.672244400E1
1.720000000E0	8.597559357E1
1.760000000E0	8.508456665E1
1.800000000E0	8.394425609E1
1.840000000E0	8.265653095E1
1.880000000E0	8.136044485E1
1.920000000E0	8.007059536E1
1.960000000E0	7.891093784E1
2.000000000E0	7.783148804E1
2.040000000E0	7.686565201E1
2.080000000E0	7.608692028E1
2.120000000E0	7.531457245E1
2.160000000E0	7.471083071E1
2.200000000E0	7.438867727E1
2.240000000E0	7.444647143E1
2.280000000E0	7.446934324E1
2.320000000E0	7.445837232E1
2.360000000E0	7.450845444E1
2.400000000E0	7.454918939E1
2.440000000E0	7.457047098E1
2.480000000E0	7.455365477E1
2.520000000E0	7.458746000E1
2.560000000E0	7.464207741E1
2.600000000E0	7.468769118E1
2.640000000E0	7.486299371E1
2.680000000E0	7.510705521E1
2.720000000E0	7.553358903E1
2.760000000E0	7.614269768E1
2.800000000E0	7.701875663E1
2.840000000E0	7.810798977E1
2.880000000E0	7.954110898E1
2.920000000E0	8.121228236E1
2.960000000E0	8.308551137E1
3.000000000E0	8.507380800E1
3.040000000E0	8.699695444E1
3.080000000E0	8.892650384E1
3.120000000E0	9.042124792E1
3.160000000E0	9.147708126E1
3.200000000E0	9.213328019E1
3.240000000E0	9.239704596E1
3.280000000E0	9.234199940E1
3.320000000E0	9.188755245E1
3.360000000E0	9.112448394E1
3.400000000E0	9.036235563E1
3.440000000E0	8.961557643E1
3.480000000E0	8.874207702E1
3.520000000E0	8.768781856E1
3.560000000E0	8.643073770E1
