
t/1	ANGLE/1
0.000000000E0	-9.814428619E1
4.000000000E-2	-9.812300004E1
8.000000000E-2	-9.809692203E1
1.200000000E-1	-9.807627292E1
1.600000000E-1	-9.802038039E1
2.000000000E-1	-9.787790243E1
2.400000000E-1	-9.785154328E1
2.800000000E-1	-9.785332344E1
3.200000000E-1	-9.787085705E1
3.600000000E-1	-9.786641684E1
4.000000000E-1	-9.792700540E1
4.400000000E-1	-9.789456550E1
4.800000000E-1	-9.787541063E1
5.200000000E-1	-9.784940675E1
5.600000000E-1	-9.783700543E1
6.000000000E-1	-9.783242061E1
6.400000000E-1	-9.782900397E1
6.800000000E-1	-9.784257664E1
7.200000000E-1	-9.786332948E1
7.600000000E-1	-9.784710283E1
8.000000000E-1	-9.784017099E1
8.400000000E-1	-9.783500269E1
8.800000000E-1	-9.783328137E1
9.200000000E-1	-9.782371649E1
9.600000000E-1	-9.781272551E1
1.000000000E0	-9.779154485E1
1.040000000E0	-9.778587156E1
1.080000000E0	-9.777446303E1
1.120000000E0	-9.775130269E1
1.160000000E0	-9.770304421E1
1.200000000E0	-9.766648240E1
1.240000000E0	-9.762233411E1
1.280000000E0	-9.766087521E1
1.320000000E0	-9.768363886E1
1.360000000E0	-9.769663795E1
1.400000000E0	-9.770772559E1
1.440000000E0	-9.769699252E1
1.480000000E0	-9.772833894E1
1.520000000E0	-9.778396157E1
1.560000000E0	-9.788452925E1
1.600000000E0	-9.802867966E1
1.640000000E0	-9.807758903E1
1.680000000E0	-9.809905728E1
1.720000000E0	-9.811586836E1
1.760000000E0	-9.804797948E1
1.800000000E0	-9.768901196E1
1.840000000E0	-9.590688481E1
1.880000000E0	-9.591945222E1
1.920000000E0	-9.489013678E1
1.960000000E0	-9.490153032E1
2.000000000E0	-9.532183401E1
2.040000000E0	-9.616395525E1
2.080000000E0	-9.608143179E1
2.120000000E0	-9.581279083E1
2.160000000E0	-9.580815091E1
2.200000000E0	-9.643358326E1
2.240000000E0	-9.640011086E1
2.280000000E0	-9.748670701E1
2.320000000E0	-9.983554918E1
2.360000000E0	-1.036731271E2
2.400000000E0	-1.084085417E2
2.440000000E0	-1.141036042E2
2.480000000E0	-1.202901638E2
2.520000000E0	-1.264128020E2
2.560000000E0	-1.327480287E2
2.600000000E0	-1.382888919E2
2.640000000E0	-1.432681843E2
2.680000000E0	-1.475767542E2
2.720000000E0	-1.512513401E2
2.760000000E0	-1.550876301E2
2.800000000E0	-1.580517063E2
2.840000000E0	-1.603475728E2
2.880000000E0	-1.612837524E2
2.920000000E0	-1.615480731E2
2.960000000E0	-1.619005492E2
3.000000000E0	-1.622474534E2
3.040000000E0	-1.614499691E2
3.080000000E0	-1.612008847E2
3.120000000E0	-1.612706993E2
3.160000000E0	-1.612252555E2
3.200000000E0	-1.610403054E2
3.240000000E0	-1.602755578E2
3.280000000E0	-1.589185355E2
3.320000000E0	-1.572689032E2
3.360000000E0	-1.553460696E2
3.400000000E0	-1.530597064E2
3.440000000E0	-1.505694754E2
3.480000000E0	-1.482108106E2
3.520000000E0	-1.460560554E2
3.560000000E0	-1.437937840E2
3.600000000E0	-1.420873693E2
3.640000000E0	-1.410658565E2
3.680000000E0	-1.397701213E2
3.720000000E0	-1.384520748E2
3.760000000E0	-1.375894240E2
3.800000000E0	-1.360656422E2
3.840000000E0	-1.325369225E2
3.880000000E0	-1.325091957E2
3.920000000E0	-1.304960830E2
3.960000000E0	-1.280654408E2
4.000000000E0	-1.262680210E2
4.040000000E0	-1.243682270E2
4.080000000E0	-1.226328554E2
4.120000000E0	-1.210389334E2
4.160000000E0	-1.196331007E2
4.200000000E0	-1.184954825E2
4.240000000E0	-1.176375117E2
4.280000000E0	-1.165488524E2
4.320000000E0	-1.160793276E2
4.360000000E0	-1.153593299E2
4.400000000E0	-1.152231683E2
4.440000000E0	-1.151452100E2
4.480000000E0	-1.151006130E2
4.520000000E0	-1.149287996E2
4.560000000E0	-1.146833698E2
4.600000000E0	-1.146764219E2
4.640000000E0	-1.145207577E2
4.680000000E0	-1.143423246E2
4.720000000E0	-1.142348833E2
4.760000000E0	-1.144062812E2
4.800000000E0	-1.145357633E2
4.840000000E0	-1.147716964E2
4.880000000E0	-1.149108191E2
4.920000000E0	-1.151245648E2
4.960000000E0	-1.152556191E2
5.000000000E0	-1.150685567E2
5.040000000E0	-1.150822066E2
5.080000000E0	-1.150836901E2
5.120000000E0	-1.150671954E2
5.160000000E0	-1.152952693E2
5.200000000E0	-1.155491164E2
5.240000000E0	-1.161002186E2
5.280000000E0	-1.172416118E2
5.320000000E0	-1.191375822E2
5.360000000E0	-1.213808058E2
5.400000000E0	-1.238666817E2
5.440000000E0	-1.266381171E2
5.480000000E0	-1.295799666E2
5.520000000E0	-1.329123283E2
5.560000000E0	-1.366184919E2
5.600000000E0	-1.409330791E2
5.640000000E0	-1.455791078E2
5.680000000E0	-1.502829671E2
5.720000000E0	-1.547270618E2
5.760000000E0	-1.580801161E2
5.800000000E0	-1.603904420E2
5.840000000E0	-1.616207825E2
5.880000000E0	-1.621225675E2
5.920000000E0	-1.623561836E2
5.960000000E0	-1.613922539E2
6.000000000E0	-1.608658599E2
6.040000000E0	-1.604059071E2
6.080000000E0	-1.595223118E2
6.120000000E0	-1.579727196E2
6.160000000E0	-1.564024667E2
6.200000000E0	-1.544032148E2
6.240000000E0	-1.523195971E2
6.280000000E0	-1.502693080E2
6.320000000E0	-1.482397892E2
6.360000000E0	-1.463234289E2
6.400000000E0	-1.447265161E2
6.440000000E0	-1.433326908E2
6.480000000E0	-1.418950786E2
6.520000000E0	-1.405491717E2
6.560000000E0	-1.394106667E2
6.600000000E0	-1.382669556E2
6.640000000E0	-1.369789289E2
6.680000000E0	-1.355831151E2
6.720000000E0	-1.339798704E2
6.760000000E0	-1.322375165E2
6.800000000E0	-1.306761429E2
6.840000000E0	-1.292866884E2
6.880000000E0	-1.278806823E2
6.920000000E0	-1.265194389E2
6.960000000E0	-1.253913125E2
7.000000000E0	-1.243718343E2
7.040000000E0	-1.231473125E2
7.080000000E0	-1.218231439E2
7.120000000E0	-1.205033857E2
7.160000000E0	-1.194520108E2
7.200000000E0	-1.187188761E2
7.240000000E0	-1.183262346E2
7.280000000E0	-1.178620892E2
7.320000000E0	-1.175714900E2
7.360000000E0	-1.173711814E2
7.400000000E0	-1.161381543E2
7.440000000E0	-1.161093470E2
7.480000000E0	-1.157726844E2
7.520000000E0	-1.153905323E2
7.560000000E0	-1.153973601E2
7.600000000E0	-1.152447074E2
7.640000000E0	-1.147732423E2
7.680000000E0	-1.139842771E2
7.720000000E0	-1.135754009E2
7.760000000E0	-1.134148170E2
7.800000000E0	-1.134863231E2
7.840000000E0	-1.135233907E2
7.880000000E0	-1.138373710E2
7.920000000E0	-1.148628815E2
7.960000000E0	-1.149014871E2
8.000000000E0	-1.165226860E2
8.040000000E0	-1.190230789E2
8.080000000E0	-1.219789091E2
8.120000000E0	-1.256801374E2
8.160000000E0	-1.299308201E2
8.200000000E0	-1.345323474E2
8.240000000E0	-1.387826504E2
8.280000000E0	-1.432621278E2
8.320000000E0	-1.479712916E2
8.360000000E0	-1.524485069E2
8.400000000E0	-1.559200446E2
8.440000000E0	-1.584684818E2
8.480000000E0	-1.605330584E2
8.520000000E0	-1.614158763E2
8.560000000E0	-1.595109958E2
8.600000000E0	-1.585835295E2
8.640000000E0	-1.579370063E2
8.680000000E0	-1.570654033E2
8.720000000E0	-1.557776276E2
8.760000000E0	-1.542804589E2
8.800000000E0	-1.525693768E2
8.840000000E0	-1.506514916E2
8.880000000E0	-1.466015290E2
8.920000000E0	-1.467296080E2
8.960000000E0	-1.446523550E2
9.000000000E0	-1.430130929E2
9.040000000E0	-1.414997413E2
9.080000000E0	-1.399376117E2
9.120000000E0	-1.385746606E2
9.160000000E0	-1.374282016E2
9.200000000E0	-1.365258983E2
9.240000000E0	-1.351910211E2
9.280000000E0	-1.332668298E2
9.320000000E0	-1.311672417E2
9.360000000E0	-1.290536863E2
9.400000000E0	-1.274806147E2
9.440000000E0	-1.240443330E2
9.480000000E0	-1.240585316E2
9.520000000E0	-1.224484831E2
9.560000000E0	-1.211545950E2
9.600000000E0	-1.201944462E2
9.640000000E0	-1.192195002E2
9.680000000E0	-1.177846008E2
9.720000000E0	-1.162286521E2
9.760000000E0	-1.137052643E2
9.800000000E0	-1.111424180E2
9.840000000E0	-1.085778062E2
9.880000000E0	-1.064017037E2
9.920000000E0	-1.052734501E2
9.960000000E0	-1.051127755E2
1.000000000E1	-1.042932022E2
1.004000000E1	-1.045284362E2
1.008000000E1	-1.047392506E2
1.012000000E1	-1.048269501E2
1.016000000E1	-1.046535423E2
1.020000000E1	-1.046091169E2
1.024000000E1	-1.045530671E2
1.028000000E1	-1.046046251E2
1.032000000E1	-1.048671231E2
1.036000000E1	-1.052177342E2
1.040000000E1	-1.062741295E2
1.044000000E1	-1.076403833E2
1.048000000E1	-1.097620754E2
1.052000000E1	-1.123185800E2
1.056000000E1	-1.155461168E2
1.060000000E1	-1.191228232E2
1.064000000E1	-1.229007922E2
1.068000000E1	-1.265071148E2
1.072000000E1	-1.301228883E2
1.076000000E1	-1.338897879E2
1.080000000E1	-1.376368260E2
1.084000000E1	-1.413072405E2
1.088000000E1	-1.448450711E2
1.092000000E1	-1.477597714E2
1.096000000E1	-1.508161060E2
1.100000000E1	-1.538425551E2
1.104000000E1	-1.562223195E2
1.108000000E1	-1.582313646E2
1.112000000E1	-1.590115421E2
1.116000000E1	-1.590908764E2
1.120000000E1	-1.583666483E2
1.124000000E1	-1.567713029E2
1.128000000E1	-1.551909686E2
1.132000000E1	-1.534360027E2
1.136000000E1	-1.515187692E2
1.140000000E1	-1.497697809E2
1.144000000E1	-1.478821393E2
1.148000000E1	-1.466611294E2
1.152000000E1	-1.458149482E2
1.156000000E1	-1.452119912E2
1.160000000E1	-1.445361231E2
1.164000000E1	-1.432687943E2
1.168000000E1	-1.416312961E2
1.172000000E1	-1.396938583E2
1.176000000E1	-1.371284636E2
1.180000000E1	-1.351341192E2
1.184000000E1	-1.333952666E2
1.188000000E1	-1.315549603E2
1.192000000E1	-1.296151959E2
1.196000000E1	-1.275620676E2
1.200000000E1	-1.232874919E2
1.204000000E1	-1.234017047E2
1.208000000E1	-1.211217008E2
1.212000000E1	-1.190733802E2
1.216000000E1	-1.173364432E2
1.220000000E1	-1.157537169E2
1.224000000E1	-1.145076916E2
1.228000000E1	-1.132577225E2
1.232000000E1	-1.122287228E2
1.236000000E1	-1.112878126E2
1.240000000E1	-1.109102447E2
1.244000000E1	-1.106781202E2
1.248000000E1	-1.106970852E2
1.252000000E1	-1.099215202E2
1.256000000E1	-1.089444256E2
1.260000000E1	-1.077007224E2
1.264000000E1	-1.063621888E2
1.268000000E1	-1.045552583E2
1.272000000E1	-1.029949841E2
1.276000000E1	-1.021951996E2
1.280000000E1	-1.021874149E2
1.284000000E1	-1.024134641E2
1.288000000E1	-1.032784548E2
1.292000000E1	-1.061133163E2
1.296000000E1	-1.060339880E2
1.300000000E1	-1.082230365E2
1.304000000E1	-1.110229675E2
1.308000000E1	-1.141925851E2
1.312000000E1	-1.176913412E2
1.316000000E1	-1.213520660E2
1.320000000E1	-1.255349844E2
1.324000000E1	-1.300624002E2
1.328000000E1	-1.349862452E2
1.332000000E1	-1.392881584E2
1.336000000E1	-1.436736757E2
1.340000000E1	-1.475446941E2
1.344000000E1	-1.510915547E2
1.348000000E1	-1.564538709E2
1.352000000E1	-1.563898279E2
1.356000000E1	-1.586523688E2
1.360000000E1	-1.604800947E2
1.364000000E1	-1.609272823E2
1.368000000E1	-1.610821240E2
1.372000000E1	-1.597500590E2
1.376000000E1	-1.588837520E2
1.380000000E1	-1.576995058E2
1.384000000E1	-1.562875542E2
1.388000000E1	-1.546395905E2
1.392000000E1	-1.526045947E2
1.396000000E1	-1.504321169E2
1.400000000E1	-1.483597763E2
1.404000000E1	-1.463132859E2
1.408000000E1	-1.441747082E2
1.412000000E1	-1.426895667E2
1.416000000E1	-1.412161616E2
1.420000000E1	-1.383287588E2
1.424000000E1	-1.383782730E2
1.428000000E1	-1.366250716E2
1.432000000E1	-1.349987587E2
1.436000000E1	-1.331827843E2
1.440000000E1	-1.313438344E2
1.444000000E1	-1.293331928E2
1.448000000E1	-1.274071488E2
1.452000000E1	-1.256581649E2
1.456000000E1	-1.240809485E2
1.460000000E1	-1.225820593E2
1.464000000E1	-1.209640748E2
1.468000000E1	-1.193240566E2
1.472000000E1	-1.177262404E2
1.476000000E1	-1.163826138E2
1.480000000E1	-1.152294910E2
1.484000000E1	-1.143935775E2
1.488000000E1	-1.143714650E2
1.492000000E1	-1.140350709E2
1.496000000E1	-1.132144504E2
1.500000000E1	-1.122070620E2
1.504000000E1	-1.115321340E2
1.508000000E1	-1.113074022E2
