
t/1	ANGLE/1
0.000000000E0	8.982546272E1
4.000000000E-2	8.982260965E1
8.000000000E-2	8.981153469E1
1.200000000E-1	8.978582183E1
1.600000000E-1	8.974539031E1
2.000000000E-1	8.961027193E1
2.400000000E-1	8.958697391E1
2.800000000E-1	8.957594715E1
3.200000000E-1	8.957524873E1
3.600000000E-1	8.957089222E1
4.000000000E-1	8.961495708E1
4.400000000E-1	8.959521736E1
4.800000000E-1	8.958753258E1
5.200000000E-1	8.956650004E1
5.600000000E-1	8.955545200E1
6.000000000E-1	8.955492085E1
6.400000000E-1	8.955465106E1
6.800000000E-1	8.955526656E1
7.200000000E-1	8.955343760E1
7.600000000E-1	8.954912884E1
8.000000000E-1	8.954933988E1
8.400000000E-1	8.954870644E1
8.800000000E-1	8.954937106E1
9.200000000E-1	8.954243066E1
9.600000000E-1	8.953412637E1
1.000000000E0	8.951168797E1
1.040000000E0	8.952646742E1
1.080000000E0	8.953029460E1
1.120000000E0	8.953512566E1
1.160000000E0	8.953700841E1
1.200000000E0	8.953807385E1
1.240000000E0	8.953848083E1
1.280000000E0	8.954516069E1
1.320000000E0	8.954529878E1
1.360000000E0	8.954606645E1
1.400000000E0	8.954008505E1
1.440000000E0	8.950209016E1
1.480000000E0	8.950744455E1
1.520000000E0	8.950923610E1
1.560000000E0	8.950277372E1
1.600000000E0	8.951467684E1
1.640000000E0	8.952045641E1
1.680000000E0	8.953815862E1
1.720000000E0	8.954807395E1
1.760000000E0	8.955373652E1
1.800000000E0	8.951897681E1
1.840000000E0	8.919707537E1
1.880000000E0	8.921590787E1
1.920000000E0	8.901800719E1
1.960000000E0	8.900500681E1
2.000000000E0	8.900327619E1
2.040000000E0	8.897755472E1
2.080000000E0	8.873764747E1
2.120000000E0	8.846673630E1
2.160000000E0	8.820879517E1
2.200000000E0	8.739687638E1
2.240000000E0	8.738929124E1
2.280000000E0	8.658392877E1
2.320000000E0	8.559537239E1
2.360000000E0	8.436511891E1
2.400000000E0	8.277322648E1
2.440000000E0	8.114325555E1
2.480000000E0	7.944660676E1
2.520000000E0	7.770303957E1
2.560000000E0	7.605485875E1
2.600000000E0	7.440824507E1
2.640000000E0	7.281599801E1
2.680000000E0	7.147787776E1
2.720000000E0	7.027455532E1
2.760000000E0	6.926050533E1
2.800000000E0	6.832990270E1
2.840000000E0	6.755605004E1
2.880000000E0	6.690783268E1
2.920000000E0	6.646177690E1
2.960000000E0	6.621692223E1
3.000000000E0	6.606096092E1
3.040000000E0	6.601385326E1
3.080000000E0	6.612019631E1
