
t/1	ANGLE/1
0.000000000E0	8.804748259E0
4.000000000E-2	8.801825627E0
8.000000000E-2	8.802932303E0
1.200000000E-1	8.797773586E0
1.600000000E-1	8.788918457E0
2.000000000E-1	8.788741043E0
2.400000000E-1	8.786393588E0
2.800000000E-1	8.768397659E0
3.200000000E-1	8.749067064E0
3.600000000E-1	8.728273103E0
4.000000000E-1	8.696430700E0
4.400000000E-1	8.632115267E0
4.800000000E-1	8.578059713E0
5.200000000E-1	8.564481727E0
5.600000000E-1	8.557420619E0
6.000000000E-1	8.510131800E0
6.400000000E-1	8.470354575E0
6.800000000E-1	8.373708303E0
7.200000000E-1	8.178566365E0
7.600000000E-1	7.834080057E0
8.000000000E-1	7.152977153E0
8.400000000E-1	6.521072925E0
8.800000000E-1	6.146338314E0
9.200000000E-1	5.861417890E0
9.600000000E-1	5.891753663E0
1.000000000E0	5.965965511E0
1.040000000E0	6.171074019E0
1.080000000E0	6.210898244E0
1.120000000E0	6.225941610E0
1.160000000E0	6.296073687E0
1.200000000E0	6.610631081E0
1.240000000E0	7.081703013E0
1.280000000E0	7.801994860E0
1.320000000E0	8.577473167E0
1.360000000E0	9.310465134E0
1.400000000E0	1.016087906E1
1.440000000E0	1.079100092E1
1.480000000E0	1.092382285E1
1.520000000E0	1.079953441E1
1.560000000E0	1.072283484E1
1.600000000E0	1.053162682E1
1.640000000E0	1.049359547E1
1.680000000E0	1.050526576E1
1.720000000E0	1.083000529E1
1.760000000E0	1.191562976E1
1.800000000E0	1.424593205E1
1.840000000E0	1.802999856E1
1.880000000E0	2.321908567E1
1.920000000E0	2.976144180E1
1.960000000E0	3.729491481E1
2.000000000E0	4.495945052E1
2.040000000E0	5.218271454E1
2.080000000E0	5.884851537E1
2.120000000E0	6.481715523E1
2.160000000E0	6.988709119E1
2.200000000E0	7.394759633E1
2.240000000E0	7.712834321E1
2.280000000E0	7.956434401E1
2.320000000E0	8.120950317E1
2.360000000E0	8.201263508E1
2.400000000E0	8.202733791E1
2.440000000E0	8.206200568E1
2.480000000E0	8.214757922E1
2.520000000E0	8.187982021E1
2.560000000E0	8.159301455E1
2.600000000E0	8.111438363E1
2.640000000E0	8.068649202E1
2.680000000E0	7.989003858E1
2.720000000E0	7.855822001E1
2.760000000E0	7.684080659E1
2.800000000E0	7.504736367E1
2.840000000E0	7.300241248E1
2.880000000E0	7.056742127E1
2.920000000E0	6.786225713E1
2.960000000E0	6.512262028E1
3.000000000E0	6.267455580E1
3.040000000E0	6.042055026E1
3.080000000E0	5.871727996E1
3.120000000E0	5.740291365E1
3.160000000E0	5.665051781E1
3.200000000E0	5.637863097E1
3.240000000E0	5.641108063E1
3.280000000E0	5.662943133E1
3.320000000E0	5.692681260E1
3.360000000E0	5.701903288E1
3.400000000E0	5.712342496E1
3.440000000E0	5.687630377E1
3.480000000E0	5.640095271E1
3.520000000E0	5.583214855E1
3.560000000E0	5.473757906E1
3.600000000E0	5.315424232E1
3.640000000E0	5.117392496E1
3.680000000E0	4.884710670E1
3.720000000E0	4.637464953E1
3.760000000E0	4.407973414E1
3.800000000E0	4.203540230E1
3.840000000E0	4.022845424E1
3.880000000E0	3.868765336E1
3.920000000E0	3.753665265E1
3.960000000E0	3.684094456E1
4.000000000E0	3.652707003E1
4.040000000E0	3.662133316E1
4.080000000E0	3.716843474E1
4.120000000E0	3.793793457E1
4.160000000E0	3.897560178E1
4.200000000E0	4.041519333E1
4.240000000E0	4.244428732E1
4.280000000E0	4.491344086E1
4.320000000E0	4.786734257E1
4.360000000E0	5.142111113E1
4.400000000E0	5.554089490E1
4.440000000E0	5.978695573E1
4.480000000E0	6.405100569E1
4.520000000E0	6.786014514E1
4.560000000E0	7.118977490E1
4.600000000E0	7.414201155E1
4.640000000E0	7.658178756E1
4.680000000E0	7.869491100E1
4.720000000E0	8.043412346E1
4.760000000E0	8.162491035E1
4.800000000E0	8.238546437E1
4.840000000E0	8.265476980E1
4.880000000E0	8.252341087E1
4.920000000E0	8.226824824E1
4.960000000E0	8.197466184E1
5.000000000E0	8.151285499E1
5.040000000E0	8.093347476E1
5.080000000E0	8.053292392E1
5.120000000E0	7.991233230E1
5.160000000E0	7.909514097E1
5.200000000E0	7.804119835E1
5.240000000E0	7.693675657E1
5.280000000E0	7.547732462E1
5.320000000E0	7.382262577E1
5.360000000E0	7.187790954E1
5.400000000E0	7.005062534E1
5.440000000E0	6.808820542E1
5.480000000E0	6.626369434E1
5.520000000E0	6.427241203E1
5.560000000E0	6.247765073E1
5.600000000E0	6.073915318E1
5.640000000E0	5.918274742E1
5.680000000E0	5.752664244E1
5.720000000E0	5.616573505E1
5.760000000E0	5.502969947E1
5.800000000E0	5.410765185E1
5.840000000E0	5.338477232E1
5.880000000E0	5.284736376E1
5.920000000E0	5.261118466E1
5.960000000E0	5.251046587E1
6.000000000E0	5.221960839E1
6.040000000E0	5.203214769E1
6.080000000E0	5.187236736E1
6.120000000E0	5.160495146E1
6.160000000E0	5.121540548E1
6.200000000E0	5.051956235E1
