
t/1	ANGLE/1
0.000000000E0	1.098308634E1
4.000000000E-2	1.097141308E1
8.000000000E-2	1.096775453E1
1.200000000E-1	1.098349351E1
1.600000000E-1	1.100300493E1
2.000000000E-1	1.099934424E1
2.400000000E-1	1.096301515E1
2.800000000E-1	1.096225679E1
3.200000000E-1	1.095466667E1
3.600000000E-1	1.091746117E1
4.000000000E-1	1.080411299E1
4.400000000E-1	1.072835049E1
4.800000000E-1	1.069744847E1
5.200000000E-1	1.067154212E1
5.600000000E-1	1.065253724E1
6.000000000E-1	1.064380763E1
6.400000000E-1	1.063789488E1
6.800000000E-1	1.063380102E1
7.200000000E-1	1.063103063E1
7.600000000E-1	1.062546220E1
8.000000000E-1	1.062371766E1
8.400000000E-1	1.061267668E1
8.800000000E-1	1.059961266E1
9.200000000E-1	1.058550625E1
9.600000000E-1	1.057063529E1
1.000000000E0	1.055362780E1
1.040000000E0	1.057461005E1
1.080000000E0	1.058756444E1
1.120000000E0	1.059512430E1
1.160000000E0	1.060139078E1
1.200000000E0	1.060471700E1
1.240000000E0	1.060685975E1
1.280000000E0	1.059484437E1
1.320000000E0	1.057786961E1
1.360000000E0	1.044593178E1
1.400000000E0	1.044122548E1
1.440000000E0	1.080277849E1
1.480000000E0	1.119658095E1
1.520000000E0	1.165422586E1
1.560000000E0	1.237811040E1
1.600000000E0	1.340094664E1
1.640000000E0	1.466265345E1
1.680000000E0	1.603047544E1
1.720000000E0	1.738671388E1
1.760000000E0	1.849211931E1
1.800000000E0	1.945298184E1
1.840000000E0	2.052882750E1
1.880000000E0	2.200535685E1
1.920000000E0	2.394153312E1
1.960000000E0	2.621546675E1
2.000000000E0	2.862537089E1
2.040000000E0	3.122530968E1
2.080000000E0	3.362340837E1
2.120000000E0	3.593732182E1
2.160000000E0	3.836015811E1
2.200000000E0	4.075946104E1
2.240000000E0	4.309791639E1
2.280000000E0	4.549452658E1
2.320000000E0	4.773819711E1
2.360000000E0	4.999247293E1
2.400000000E0	5.222607487E1
2.440000000E0	5.430168091E1
2.480000000E0	5.626389522E1
2.520000000E0	5.817862373E1
2.560000000E0	5.974929263E1
2.600000000E0	6.079878158E1
2.640000000E0	6.129977988E1
2.680000000E0	6.136593977E1
2.720000000E0	6.104723465E1
2.760000000E0	6.064889036E1
2.800000000E0	6.046330089E1
2.840000000E0	6.036796178E1
2.880000000E0	6.032319911E1
2.920000000E0	6.019030437E1
2.960000000E0	5.971223278E1
3.000000000E0	5.862354350E1
3.040000000E0	5.658097185E1
3.080000000E0	5.350468119E1
3.120000000E0	4.961301898E1
3.160000000E0	4.506405535E1
3.200000000E0	4.018768979E1
3.240000000E0	3.533297488E1
3.280000000E0	3.027918198E1
3.320000000E0	2.543633987E1
3.360000000E0	2.071267160E1
3.400000000E0	1.648569143E1
3.440000000E0	1.315220593E1
3.480000000E0	1.084990821E1
3.520000000E0	9.529757845E0
3.560000000E0	9.077573233E0
3.600000000E0	8.797514737E0
3.640000000E0	8.946238907E0
3.680000000E0	9.251511541E0
3.720000000E0	9.526442069E0
3.760000000E0	9.838904674E0
3.800000000E0	1.023194761E1
3.840000000E0	1.038386094E1
3.880000000E0	1.045206782E1
3.920000000E0	1.036970637E1
3.960000000E0	1.032936991E1
4.000000000E0	1.029326223E1
4.040000000E0	1.033685351E1
4.080000000E0	1.035293422E1
4.120000000E0	1.039610568E1
4.160000000E0	1.078009327E1
4.200000000E0	1.155022308E1
4.240000000E0	1.283548270E1
4.280000000E0	1.463201189E1
4.320000000E0	1.697605739E1
4.360000000E0	1.990602414E1
4.400000000E0	2.277889753E1
4.440000000E0	2.565065827E1
4.480000000E0	2.869458428E1
4.520000000E0	3.187915215E1
4.560000000E0	3.504454828E1
4.600000000E0	3.807733438E1
4.640000000E0	4.102896831E1
4.680000000E0	4.371056116E1
4.720000000E0	4.629423314E1
4.760000000E0	4.871314694E1
4.800000000E0	5.108298628E1
4.840000000E0	5.331250060E1
4.880000000E0	5.538413080E1
4.920000000E0	5.737089252E1
4.960000000E0	5.916644281E1
5.000000000E0	6.073288697E1
5.040000000E0	6.194336539E1
5.080000000E0	6.271309818E1
5.120000000E0	6.297767069E1
5.160000000E0	6.291033583E1
5.200000000E0	6.245690513E1
5.240000000E0	6.184772442E1
5.280000000E0	6.079564615E1
5.320000000E0	5.904367199E1
5.360000000E0	5.659319183E1
5.400000000E0	5.346035956E1
5.440000000E0	4.943212854E1
5.480000000E0	4.469613043E1
5.520000000E0	3.946732478E1
5.560000000E0	3.382035602E1
5.600000000E0	2.814628401E1
5.640000000E0	2.253112061E1
5.680000000E0	1.756942678E1
5.720000000E0	1.371066423E1
5.760000000E0	1.089511264E1
5.800000000E0	9.322420685E0
5.840000000E0	8.563768206E0
5.880000000E0	8.412007061E0
5.920000000E0	8.813177600E0
5.960000000E0	9.420467285E0
6.000000000E0	9.912429149E0
6.040000000E0	1.031849463E1
6.080000000E0	1.054525194E1
6.120000000E0	1.060342419E1
6.160000000E0	1.055821506E1
6.200000000E0	1.048386477E1
6.240000000E0	1.036628481E1
6.280000000E0	1.022838298E1
6.320000000E0	1.015788917E1
6.360000000E0	1.011713681E1
6.400000000E0	9.980406589E0
6.440000000E0	9.948371479E0
6.480000000E0	9.942567100E0
6.520000000E0	1.021665642E1
6.560000000E0	1.067691495E1
6.600000000E0	1.165766415E1
6.640000000E0	1.299342595E1
6.680000000E0	1.454681655E1
6.720000000E0	1.654421904E1
6.760000000E0	1.926313122E1
6.800000000E0	2.227190611E1
6.840000000E0	2.548257221E1
6.880000000E0	2.889633626E1
6.920000000E0	3.234624116E1
6.960000000E0	3.578216607E1
7.000000000E0	3.917797657E1
7.040000000E0	4.236736688E1
7.080000000E0	4.523191698E1
7.120000000E0	4.792967161E1
7.160000000E0	5.066687301E1
7.200000000E0	5.332724376E1
7.240000000E0	5.593760657E1
7.280000000E0	5.833984428E1
7.320000000E0	6.054709559E1
