
t/1	ANGLE/1
0.000000000E0	8.954601295E1
4.000000000E-2	8.955750003E1
8.000000000E-2	8.958801877E1
1.200000000E-1	8.964096566E1
1.600000000E-1	8.975868257E1
2.000000000E-1	8.979410711E1
2.400000000E-1	8.980939218E1
2.800000000E-1	8.982010087E1
3.200000000E-1	8.982680842E1
3.600000000E-1	8.983912058E1
4.000000000E-1	8.985589451E1
4.400000000E-1	8.986010604E1
4.800000000E-1	8.985778520E1
5.200000000E-1	8.985053873E1
5.600000000E-1	8.984535203E1
6.000000000E-1	8.984755297E1
6.400000000E-1	8.984929621E1
6.800000000E-1	8.984812419E1
7.200000000E-1	8.984711115E1
7.600000000E-1	8.983879398E1
8.000000000E-1	8.982717920E1
8.400000000E-1	8.983877675E1
8.800000000E-1	8.984232266E1
9.200000000E-1	8.986588352E1
9.600000000E-1	8.992720711E1
1.000000000E0	8.990932001E1
1.040000000E0	8.988845354E1
1.080000000E0	8.987532537E1
1.120000000E0	8.984743121E1
1.160000000E0	8.983506223E1
1.200000000E0	8.983268866E1
1.240000000E0	8.983010267E1
1.280000000E0	8.983499253E1
1.320000000E0	8.983887962E1
1.360000000E0	8.984004729E1
1.400000000E0	8.983207506E1
1.440000000E0	8.982834255E1
1.480000000E0	8.983630024E1
1.520000000E0	8.982774871E1
1.560000000E0	8.985638814E1
1.600000000E0	8.988252551E1
1.640000000E0	8.984923888E1
1.680000000E0	8.954912564E1
1.720000000E0	8.916928690E1
1.760000000E0	8.869483232E1
1.800000000E0	8.839746081E1
1.840000000E0	8.833309822E1
1.880000000E0	8.826530546E1
1.920000000E0	8.804907489E1
1.960000000E0	8.762328632E1
2.000000000E0	8.709645624E1
2.040000000E0	8.655955623E1
2.080000000E0	8.604199904E1
2.120000000E0	8.541660060E1
2.160000000E0	8.479586024E1
2.200000000E0	8.418020111E1
2.240000000E0	8.343270527E1
2.280000000E0	8.266254183E1
2.320000000E0	8.182711554E1
2.360000000E0	8.090449090E1
2.400000000E0	7.994431971E1
2.440000000E0	7.896758134E1
2.480000000E0	7.805054001E1
2.520000000E0	7.718184914E1
2.560000000E0	7.635203274E1
2.600000000E0	7.568656493E1
2.640000000E0	7.522906135E1
2.680000000E0	7.500654689E1
2.720000000E0	7.513593935E1
2.760000000E0	7.539808662E1
2.800000000E0	7.570670076E1
2.840000000E0	7.596003921E1
2.880000000E0	7.617486769E1
2.920000000E0	7.629265901E1
2.960000000E0	7.650066327E1
3.000000000E0	7.673730925E1
3.040000000E0	7.707389944E1
3.080000000E0	7.775799932E1
3.120000000E0	7.861616234E1
3.160000000E0	7.978823739E1
3.200000000E0	8.121372091E1
3.240000000E0	8.280630789E1
3.280000000E0	8.447043975E1
3.320000000E0	8.598181518E1
3.360000000E0	8.726874162E1
3.400000000E0	8.849830169E1
3.440000000E0	8.963866509E1
