
t/1	ANGLE/1
0.000000000E0	-1.043800269E2
4.000000000E-2	-1.043803691E2
8.000000000E-2	-1.043695216E2
1.200000000E-1	-1.042451570E2
1.600000000E-1	-1.037526079E2
2.000000000E-1	-1.032045799E2
2.400000000E-1	-1.021367693E2
2.800000000E-1	-1.006867254E2
3.200000000E-1	-9.931934493E1
3.600000000E-1	-9.810532939E1
4.000000000E-1	-9.718606399E1
4.400000000E-1	-9.624412455E1
4.800000000E-1	-9.566109687E1
5.200000000E-1	-9.523795636E1
5.600000000E-1	-9.506345654E1
6.000000000E-1	-9.495091292E1
6.400000000E-1	-9.472565787E1
6.800000000E-1	-9.484126070E1
7.200000000E-1	-9.502246365E1
7.600000000E-1	-9.520830026E1
8.000000000E-1	-9.507739668E1
8.400000000E-1	-9.501414264E1
8.800000000E-1	-9.500753135E1
9.200000000E-1	-9.537307660E1
9.600000000E-1	-9.602662080E1
1.000000000E0	-9.733919248E1
1.040000000E0	-9.977431702E1
1.080000000E0	-1.001139042E2
1.120000000E0	-1.005539923E2
1.160000000E0	-1.008807741E2
1.200000000E0	-1.010362663E2
1.240000000E0	-1.013010472E2
1.280000000E0	-1.013849435E2
1.320000000E0	-1.014135173E2
1.360000000E0	-1.012879083E2
1.400000000E0	-1.011282388E2
1.440000000E0	-1.010567686E2
1.480000000E0	-1.010786096E2
1.520000000E0	-1.010502205E2
1.560000000E0	-1.011455913E2
1.600000000E0	-1.012456305E2
1.640000000E0	-1.012739154E2
1.680000000E0	-1.012216871E2
1.720000000E0	-1.011164184E2
1.760000000E0	-1.010342915E2
1.800000000E0	-1.009981221E2
1.840000000E0	-1.008380632E2
1.880000000E0	-1.007482680E2
1.920000000E0	-1.007011685E2
1.960000000E0	-1.005175760E2
2.000000000E0	-1.005040777E2
2.040000000E0	-1.004838290E2
2.080000000E0	-1.004363983E2
2.120000000E0	-1.006541220E2
2.160000000E0	-1.013392662E2
2.200000000E0	-1.022089605E2
2.240000000E0	-1.037373271E2
2.280000000E0	-1.059704822E2
2.320000000E0	-1.094686961E2
2.360000000E0	-1.136634564E2
2.400000000E0	-1.180510022E2
2.440000000E0	-1.231178476E2
2.480000000E0	-1.279777143E2
2.520000000E0	-1.316625666E2
2.560000000E0	-1.346724345E2
2.600000000E0	-1.371376855E2
2.640000000E0	-1.391150321E2
2.680000000E0	-1.412299782E2
2.720000000E0	-1.430948353E2
2.760000000E0	-1.442420141E2
2.800000000E0	-1.448908688E2
2.840000000E0	-1.450237724E2
2.880000000E0	-1.460898441E2
2.920000000E0	-1.497066738E2
2.960000000E0	-1.496468539E2
3.000000000E0	-1.513320107E2
3.040000000E0	-1.531463689E2
3.080000000E0	-1.546203910E2
3.120000000E0	-1.563805067E2
3.160000000E0	-1.580518881E2
3.200000000E0	-1.592366345E2
3.240000000E0	-1.601493406E2
3.280000000E0	-1.610797783E2
3.320000000E0	-1.611134263E2
3.360000000E0	-1.614675174E2
3.400000000E0	-1.617239239E2
3.440000000E0	-1.617421224E2
3.480000000E0	-1.619120178E2
3.520000000E0	-1.619375301E2
3.560000000E0	-1.619085237E2
3.600000000E0	-1.618322316E2
3.640000000E0	-1.612092344E2
3.680000000E0	-1.597169183E2
3.720000000E0	-1.573610975E2
3.760000000E0	-1.541845434E2
3.800000000E0	-1.498435592E2
3.840000000E0	-1.452475271E2
3.880000000E0	-1.407874941E2
3.920000000E0	-1.365200191E2
3.960000000E0	-1.321621346E2
4.000000000E0	-1.274731314E2
4.040000000E0	-1.203756383E2
4.080000000E0	-1.203754087E2
4.120000000E0	-1.174999198E2
4.160000000E0	-1.151347347E2
4.200000000E0	-1.132764483E2
4.240000000E0	-1.121321970E2
4.280000000E0	-1.121684791E2
4.320000000E0	-1.128937541E2
4.360000000E0	-1.132422669E2
4.400000000E0	-1.129275013E2
4.440000000E0	-1.138002885E2
4.480000000E0	-1.143419591E2
4.520000000E0	-1.148998492E2
4.560000000E0	-1.151698013E2
4.600000000E0	-1.155272863E2
4.640000000E0	-1.163387177E2
4.680000000E0	-1.178245921E2
4.720000000E0	-1.198115521E2
4.760000000E0	-1.227065442E2
4.800000000E0	-1.263398950E2
4.840000000E0	-1.306155082E2
4.880000000E0	-1.345193551E2
4.920000000E0	-1.384643845E2
4.960000000E0	-1.422046684E2
5.000000000E0	-1.454982939E2
5.040000000E0	-1.483199401E2
5.080000000E0	-1.508375399E2
5.120000000E0	-1.550586952E2
5.160000000E0	-1.550597433E2
5.200000000E0	-1.570087175E2
5.240000000E0	-1.586750519E2
5.280000000E0	-1.596780807E2
5.320000000E0	-1.608177825E2
5.360000000E0	-1.612377758E2
5.400000000E0	-1.611184767E2
5.440000000E0	-1.610801381E2
5.480000000E0	-1.611019526E2
5.520000000E0	-1.610632512E2
5.560000000E0	-1.610249451E2
5.600000000E0	-1.602350170E2
5.640000000E0	-1.585778235E2
5.680000000E0	-1.557545412E2
5.720000000E0	-1.511750529E2
5.760000000E0	-1.456143465E2
5.800000000E0	-1.396779036E2
5.840000000E0	-1.342276684E2
5.880000000E0	-1.295126875E2
5.920000000E0	-1.247724768E2
5.960000000E0	-1.208774109E2
6.000000000E0	-1.170094488E2
6.040000000E0	-1.135340180E2
6.080000000E0	-1.110926944E2
6.120000000E0	-1.095569567E2
6.160000000E0	-1.091676091E2
6.200000000E0	-1.096723403E2
6.240000000E0	-1.108879773E2
6.280000000E0	-1.097862803E2
6.320000000E0	-1.101532713E2
6.360000000E0	-1.101121741E2
6.400000000E0	-1.100717931E2
6.440000000E0	-1.100893411E2
6.480000000E0	-1.101345835E2
6.520000000E0	-1.101835324E2
6.560000000E0	-1.102966528E2
6.600000000E0	-1.104347708E2
6.640000000E0	-1.108818456E2
6.680000000E0	-1.117541717E2
6.720000000E0	-1.129395926E2
6.760000000E0	-1.147611891E2
6.800000000E0	-1.178534316E2
6.840000000E0	-1.219801124E2
6.880000000E0	-1.267169652E2
6.920000000E0	-1.314773794E2
6.960000000E0	-1.363795784E2
7.000000000E0	-1.409525907E2
7.040000000E0	-1.444828707E2
7.080000000E0	-1.473521259E2
7.120000000E0	-1.500136304E2
7.160000000E0	-1.520509105E2
7.200000000E0	-1.541873236E2
7.240000000E0	-1.564474185E2
7.280000000E0	-1.584469248E2
7.320000000E0	-1.603300988E2
7.360000000E0	-1.619104347E2
7.400000000E0	-1.632223633E2
7.440000000E0	-1.648041793E2
7.480000000E0	-1.649219016E2
7.520000000E0	-1.648562011E2
7.560000000E0	-1.648924838E2
7.600000000E0	-1.648992630E2
7.640000000E0	-1.648479829E2
7.680000000E0	-1.646751538E2
7.720000000E0	-1.638997316E2
7.760000000E0	-1.623306371E2
7.800000000E0	-1.599623913E2
7.840000000E0	-1.562294340E2
7.880000000E0	-1.519829938E2
7.920000000E0	-1.477609668E2
7.960000000E0	-1.437481297E2
8.000000000E0	-1.398657715E2
8.040000000E0	-1.356397020E2
8.080000000E0	-1.313468065E2
8.120000000E0	-1.273843368E2
8.160000000E0	-1.235637181E2
8.200000000E0	-1.209437694E2
8.240000000E0	-1.190369161E2
8.280000000E0	-1.179928006E2
8.320000000E0	-1.180641498E2
8.360000000E0	-1.187049101E2
8.400000000E0	-1.200917238E2
8.440000000E0	-1.204564745E2
8.480000000E0	-1.216729758E2
8.520000000E0	-1.225159648E2
8.560000000E0	-1.229082208E2
8.600000000E0	-1.232028763E2
8.640000000E0	-1.233049113E2
8.680000000E0	-1.233897370E2
8.720000000E0	-1.235292797E2
8.760000000E0	-1.239552452E2
8.800000000E0	-1.245431041E2
8.840000000E0	-1.274670903E2
8.880000000E0	-1.274304529E2
8.920000000E0	-1.299191361E2
8.960000000E0	-1.331223159E2
9.000000000E0	-1.363635580E2
9.040000000E0	-1.395916829E2
9.080000000E0	-1.427165397E2
9.120000000E0	-1.457903711E2
9.160000000E0	-1.483350207E2
9.200000000E0	-1.505568196E2
9.240000000E0	-1.526098219E2
9.280000000E0	-1.543571829E2
9.320000000E0	-1.564373708E2
9.360000000E0	-1.597297157E2
9.400000000E0	-1.597359784E2
9.440000000E0	-1.607642123E2
9.480000000E0	-1.621797428E2
9.520000000E0	-1.631538700E2
9.560000000E0	-1.634131469E2
9.600000000E0	-1.636692610E2
9.640000000E0	-1.637076244E2
9.680000000E0	-1.638386010E2
9.720000000E0	-1.637589576E2
9.760000000E0	-1.637016738E2
9.800000000E0	-1.631200568E2
9.840000000E0	-1.620937590E2
9.880000000E0	-1.604841283E2
9.920000000E0	-1.581627277E2
9.960000000E0	-1.553211265E2
1.000000000E1	-1.513108373E2
1.004000000E1	-1.475866830E2
1.008000000E1	-1.438353602E2
1.012000000E1	-1.397011817E2
1.016000000E1	-1.352486726E2
1.020000000E1	-1.307616798E2
1.024000000E1	-1.258836067E2
1.028000000E1	-1.212537295E2
1.032000000E1	-1.170121710E2
1.036000000E1	-1.135558746E2
1.040000000E1	-1.109270842E2
1.044000000E1	-1.085017163E2
1.048000000E1	-1.085450859E2
1.052000000E1	-1.086444802E2
1.056000000E1	-1.098826015E2
1.060000000E1	-1.094802053E2
1.064000000E1	-1.096701475E2
1.068000000E1	-1.097549246E2
1.072000000E1	-1.095440329E2
1.076000000E1	-1.093156073E2
1.080000000E1	-1.092411910E2
1.084000000E1	-1.092459763E2
1.088000000E1	-1.093162708E2
1.092000000E1	-1.094021781E2
1.096000000E1	-1.095334454E2
1.100000000E1	-1.099290210E2
