
t/1	ANGLE/1
0.000000000E0	8.897930553E1
4.000000000E-2	8.897574948E1
8.000000000E-2	8.895539892E1
1.200000000E-1	8.892225225E1
1.600000000E-1	8.891200467E1
2.000000000E-1	8.890761295E1
2.400000000E-1	8.890100000E1
2.800000000E-1	8.890978563E1
3.200000000E-1	8.893032939E1
3.600000000E-1	8.896020146E1
4.000000000E-1	8.897680686E1
4.400000000E-1	8.897703839E1
4.800000000E-1	8.897717767E1
5.200000000E-1	8.896021954E1
5.600000000E-1	8.894847041E1
6.000000000E-1	8.892901914E1
6.400000000E-1	8.890506957E1
6.800000000E-1	8.893023657E1
7.200000000E-1	8.894527525E1
7.600000000E-1	8.896710551E1
8.000000000E-1	8.897773711E1
8.400000000E-1	8.898206472E1
8.800000000E-1	8.898626275E1
9.200000000E-1	8.898461688E1
9.600000000E-1	8.898586526E1
1.000000000E0	8.900031043E1
1.040000000E0	8.899383882E1
1.080000000E0	8.900771162E1
1.120000000E0	8.898447016E1
1.160000000E0	8.897347245E1
1.200000000E0	8.889701276E1
1.240000000E0	8.865482900E1
1.280000000E0	8.853993254E1
1.320000000E0	8.827733478E1
1.360000000E0	8.793281431E1
1.400000000E0	8.746283983E1
1.440000000E0	8.677765872E1
1.480000000E0	8.606978156E1
1.520000000E0	8.536732411E1
1.560000000E0	8.463364700E1
1.600000000E0	8.387138714E1
1.640000000E0	8.301463177E1
1.680000000E0	8.226295511E1
1.720000000E0	8.154436261E1
1.760000000E0	7.976494559E1
1.800000000E0	7.971590276E1
1.840000000E0	7.866787578E1
1.880000000E0	7.722534679E1
1.920000000E0	7.544659459E1
1.960000000E0	7.311070823E1
2.000000000E0	7.006717498E1
2.040000000E0	6.631417845E1
2.080000000E0	6.234593031E1
2.120000000E0	5.886811658E1
2.160000000E0	5.577313879E1
2.200000000E0	5.581523083E1
2.240000000E0	5.565826718E1
2.280000000E0	5.619163063E1
2.320000000E0	5.616089728E1
2.360000000E0	5.684354420E1
2.400000000E0	5.770932426E1
2.440000000E0	5.882233675E1
2.480000000E0	6.002439888E1
2.520000000E0	6.135661598E1
2.560000000E0	6.289139871E1
2.600000000E0	6.455045501E1
2.640000000E0	6.636290543E1
2.680000000E0	6.811191492E1
2.720000000E0	6.994946989E1
2.760000000E0	7.168054874E1
2.800000000E0	7.337689711E1
2.840000000E0	7.522806311E1
2.880000000E0	7.698145508E1
2.920000000E0	7.862722873E1
2.960000000E0	8.004584818E1
3.000000000E0	8.125929261E1
3.040000000E0	8.240100856E1
3.080000000E0	8.335706777E1
3.120000000E0	8.403311040E1
3.160000000E0	8.442654695E1
3.200000000E0	8.457903606E1
3.240000000E0	8.476471958E1
3.280000000E0	8.477729126E1
3.320000000E0	8.477715056E1
3.360000000E0	8.468957101E1
3.400000000E0	8.444266315E1
3.440000000E0	8.415724469E1
3.480000000E0	8.380909297E1
3.520000000E0	8.341329171E1
3.560000000E0	8.303590534E1
3.600000000E0	8.267193801E1
3.640000000E0	8.219911144E1
3.680000000E0	8.152592591E1
3.720000000E0	8.077157205E1
3.760000000E0	7.995636951E1
3.800000000E0	7.912949339E1
3.840000000E0	7.823851406E1
3.880000000E0	7.721700941E1
3.920000000E0	7.460942750E1
3.960000000E0	7.460237863E1
4.000000000E0	7.251991392E1
4.040000000E0	6.966548666E1
4.080000000E0	6.611934976E1
4.120000000E0	6.225716924E1
4.160000000E0	5.916919686E1
4.200000000E0	5.762552301E1
4.240000000E0	5.688185245E1
4.280000000E0	5.669353014E1
4.320000000E0	5.649696039E1
4.360000000E0	5.661308805E1
4.400000000E0	5.711302684E1
4.440000000E0	5.773829116E1
4.480000000E0	5.834208106E1
4.520000000E0	5.895477945E1
4.560000000E0	5.970905351E1
4.600000000E0	6.054741314E1
4.640000000E0	6.149804416E1
4.680000000E0	6.262643192E1
4.720000000E0	6.387730676E1
4.760000000E0	6.525804449E1
4.800000000E0	6.671517431E1
4.840000000E0	6.812357377E1
4.880000000E0	6.962835257E1
4.920000000E0	7.111935807E1
4.960000000E0	7.280450053E1
5.000000000E0	7.433107092E1
5.040000000E0	7.582336801E1
5.080000000E0	7.725952534E1
5.120000000E0	7.856016377E1
5.160000000E0	7.979023339E1
5.200000000E0	8.088943249E1
5.240000000E0	8.188082715E1
5.280000000E0	8.259982774E1
5.320000000E0	8.306495993E1
5.360000000E0	8.336455793E1
5.400000000E0	8.369585004E1
5.440000000E0	8.408011816E1
5.480000000E0	8.439278426E1
5.520000000E0	8.442349147E1
5.560000000E0	8.444112625E1
5.600000000E0	8.442474465E1
5.640000000E0	8.438911338E1
5.680000000E0	8.422340221E1
5.720000000E0	8.399312032E1
5.760000000E0	8.368266052E1
5.800000000E0	8.337923000E1
5.840000000E0	8.312312127E1
5.880000000E0	8.275801471E1
5.920000000E0	8.238343755E1
5.960000000E0	8.205239208E1
6.000000000E0	8.169981010E1
6.040000000E0	8.111934477E1
6.080000000E0	8.030171447E1
6.120000000E0	7.920431382E1
6.160000000E0	7.781684131E1
6.200000000E0	7.619879462E1
6.240000000E0	7.421371718E1
6.280000000E0	7.164933157E1
6.320000000E0	6.836321104E1
6.360000000E0	6.476240004E1
6.400000000E0	6.178045917E1
6.440000000E0	6.032775492E1
6.480000000E0	5.976353870E1
6.520000000E0	5.984099257E1
6.560000000E0	5.981357825E1
6.600000000E0	6.002681494E1
6.640000000E0	6.063442100E1
6.680000000E0	6.123711641E1
6.720000000E0	6.165146515E1
6.760000000E0	6.205879987E1
6.800000000E0	6.253493674E1
6.840000000E0	6.307289600E1
6.880000000E0	6.367678904E1
6.920000000E0	6.533998328E1
6.960000000E0	6.534799924E1
7.000000000E0	6.630358685E1
7.040000000E0	6.739758887E1
7.080000000E0	6.853208295E1
7.120000000E0	6.980934616E1
7.160000000E0	7.117876029E1
7.200000000E0	7.263321290E1
7.240000000E0	7.412997372E1
7.280000000E0	7.565988474E1
7.320000000E0	7.724689604E1
7.360000000E0	7.878762610E1
7.400000000E0	8.024034788E1
7.440000000E0	8.145571866E1
7.480000000E0	8.228175960E1
7.520000000E0	8.289529967E1
7.560000000E0	8.342091762E1
7.600000000E0	8.375634403E1
7.640000000E0	8.386627837E1
7.680000000E0	8.410464892E1
7.720000000E0	8.427507695E1
7.760000000E0	8.440828426E1
7.800000000E0	8.445183574E1
7.840000000E0	8.434817110E1
7.880000000E0	8.418103516E1
7.920000000E0	8.399819273E1
7.960000000E0	8.365900584E1
8.000000000E0	8.312922517E1
8.040000000E0	8.251874334E1
8.080000000E0	8.183839835E1
8.120000000E0	8.104841172E1
8.160000000E0	8.006982182E1
8.200000000E0	7.892132305E1
8.240000000E0	7.567515255E1
8.280000000E0	7.571562731E1
8.320000000E0	7.327535969E1
8.360000000E0	7.008648648E1
8.400000000E0	6.655150206E1
8.440000000E0	6.314321243E1
8.480000000E0	6.062541954E1
8.520000000E0	5.911891470E1
8.560000000E0	5.843815977E1
8.600000000E0	5.786584624E1
8.640000000E0	5.783149498E1
8.680000000E0	5.795819236E1
8.720000000E0	5.855183502E1
8.760000000E0	5.932816279E1
8.800000000E0	6.011023351E1
8.840000000E0	6.084312951E1
8.880000000E0	6.160554113E1
8.920000000E0	6.249549983E1
8.960000000E0	6.340272670E1
9.000000000E0	6.428342787E1
9.040000000E0	6.514539915E1
9.080000000E0	6.589877552E1
9.120000000E0	6.668052042E1
9.160000000E0	6.746603816E1
9.200000000E0	6.825006911E1
9.240000000E0	6.902021079E1
9.280000000E0	6.975871076E1
9.320000000E0	7.045378639E1
9.360000000E0	7.197999512E1
9.400000000E0	7.199639813E1
9.440000000E0	7.260722348E1
9.480000000E0	7.343019084E1
9.520000000E0	7.417746713E1
9.560000000E0	7.492131770E1
9.600000000E0	7.660935468E1
9.640000000E0	7.666788255E1
9.680000000E0	7.758615773E1
9.720000000E0	7.845179247E1
9.760000000E0	7.918782630E1
9.800000000E0	7.997665890E1
9.840000000E0	8.064940698E1
9.880000000E0	8.131812019E1
9.920000000E0	8.190183954E1
9.960000000E0	8.242958535E1
1.000000000E1	8.269802236E1
1.004000000E1	8.272701066E1
1.008000000E1	8.275003645E1
1.012000000E1	8.277563295E1
1.016000000E1	8.280250060E1
1.020000000E1	8.275831391E1
1.024000000E1	8.249029143E1
1.028000000E1	8.242571763E1
1.032000000E1	8.246182951E1
1.036000000E1	8.268974399E1
1.040000000E1	8.273822385E1
1.044000000E1	8.234839701E1
1.048000000E1	8.162014487E1
1.052000000E1	8.072933783E1
1.056000000E1	7.948417903E1
1.060000000E1	7.804313252E1
1.064000000E1	7.614167789E1
1.068000000E1	6.985959236E1
1.072000000E1	6.988525384E1
1.076000000E1	6.606826514E1
1.080000000E1	6.253126668E1
1.084000000E1	5.982991359E1
1.088000000E1	5.837010410E1
1.092000000E1	5.783139838E1
1.096000000E1	5.798036312E1
1.100000000E1	5.822314481E1
1.104000000E1	5.888667595E1
1.108000000E1	5.978317961E1
1.112000000E1	6.079790409E1
1.116000000E1	6.180192425E1
1.120000000E1	6.271515599E1
1.124000000E1	6.359113514E1
1.128000000E1	6.448667884E1
1.132000000E1	6.532977314E1
1.136000000E1	6.621724087E1
1.140000000E1	6.708780398E1
1.144000000E1	6.854792176E1
1.148000000E1	6.855936196E1
1.152000000E1	6.922234502E1
1.156000000E1	6.981173733E1
1.160000000E1	7.049208977E1
1.164000000E1	7.112305347E1
1.168000000E1	7.180985623E1
1.172000000E1	7.252576986E1
1.176000000E1	7.330792038E1
1.180000000E1	7.438132151E1
1.184000000E1	7.535271149E1
1.188000000E1	7.613608621E1
1.192000000E1	7.682359646E1
1.196000000E1	7.757821405E1
1.200000000E1	7.826296316E1
1.204000000E1	7.888872127E1
1.208000000E1	7.957601714E1
1.212000000E1	8.024181260E1
1.216000000E1	8.038873629E1
1.220000000E1	8.017086077E1
1.224000000E1	7.996548574E1
1.228000000E1	7.985126159E1
1.232000000E1	7.993312919E1
1.236000000E1	8.000560274E1
1.240000000E1	8.030641972E1
1.244000000E1	8.065991159E1
1.248000000E1	8.082185338E1
1.252000000E1	8.099917817E1
1.256000000E1	8.105249445E1
1.260000000E1	8.082102857E1
1.264000000E1	8.038993014E1
1.268000000E1	7.981300155E1
1.272000000E1	7.935491159E1
1.276000000E1	7.877086949E1
1.280000000E1	7.798548303E1
1.284000000E1	7.718990081E1
1.288000000E1	7.628783279E1
1.292000000E1	7.525071162E1
1.296000000E1	7.385122264E1
1.300000000E1	7.172066810E1
1.304000000E1	6.896457803E1
1.308000000E1	6.636437167E1
1.312000000E1	6.472340365E1
1.316000000E1	6.410384896E1
1.320000000E1	6.405017514E1
1.324000000E1	6.410945276E1
1.328000000E1	6.421076895E1
1.332000000E1	6.456537245E1
1.336000000E1	6.495835095E1
1.340000000E1	6.518476601E1
1.344000000E1	6.530912691E1
1.348000000E1	6.549561608E1
1.352000000E1	6.572511443E1
1.356000000E1	6.599449951E1
1.360000000E1	6.617460198E1
1.364000000E1	6.652475483E1
1.368000000E1	6.689754631E1
1.372000000E1	6.717714028E1
1.376000000E1	6.765356132E1
1.380000000E1	6.817433791E1
1.384000000E1	6.877638558E1
1.388000000E1	6.940440794E1
1.392000000E1	7.011429941E1
1.396000000E1	7.108038107E1
1.400000000E1	7.217954802E1
1.404000000E1	7.341320879E1
1.408000000E1	7.462326043E1
1.412000000E1	7.588134290E1
1.416000000E1	7.686220136E1
1.420000000E1	7.777466220E1
1.424000000E1	7.886748680E1
1.428000000E1	7.976365253E1
1.432000000E1	8.024380688E1
1.436000000E1	8.026902631E1
1.440000000E1	8.023591192E1
1.444000000E1	7.988727224E1
1.448000000E1	7.987339985E1
1.452000000E1	7.950977869E1
1.456000000E1	7.919831768E1
1.460000000E1	7.916614239E1
1.464000000E1	7.918063517E1
1.468000000E1	7.920922536E1
1.472000000E1	7.918983828E1
1.476000000E1	7.913735116E1
1.480000000E1	7.897528351E1
1.484000000E1	7.885581695E1
1.488000000E1	7.854638187E1
1.492000000E1	7.785815270E1
1.496000000E1	7.788638715E1
1.500000000E1	7.734173837E1
1.504000000E1	7.669695939E1
1.508000000E1	7.586252446E1
1.512000000E1	7.462620011E1
1.516000000E1	7.268906660E1
1.520000000E1	7.020681392E1
1.524000000E1	6.735176494E1
1.528000000E1	6.432364733E1
1.532000000E1	6.215239065E1
1.536000000E1	6.100065820E1
1.540000000E1	6.060849153E1
1.544000000E1	6.054607150E1
1.548000000E1	6.035399748E1
1.552000000E1	6.054717798E1
1.556000000E1	6.094014148E1
1.560000000E1	6.139073459E1
1.564000000E1	6.166280971E1
1.568000000E1	6.183885114E1
1.572000000E1	6.197060203E1
1.576000000E1	6.212457524E1
1.580000000E1	6.231036074E1
1.584000000E1	6.251301496E1
1.588000000E1	6.284740501E1
1.592000000E1	6.325709852E1
1.596000000E1	6.374508505E1
1.600000000E1	6.446815686E1
1.604000000E1	6.526914739E1
1.608000000E1	6.625081850E1
1.612000000E1	6.728974820E1
1.616000000E1	6.842897408E1
1.620000000E1	6.969513679E1
1.624000000E1	7.099000013E1
1.628000000E1	7.232921789E1
1.632000000E1	7.373345426E1
1.636000000E1	7.510243218E1
1.640000000E1	7.621928228E1
1.644000000E1	7.750037890E1
1.648000000E1	7.865327507E1
1.652000000E1	7.951582480E1
1.656000000E1	8.019118239E1
1.660000000E1	8.060789002E1
1.664000000E1	8.119043340E1
1.668000000E1	8.120833235E1
1.672000000E1	8.143980861E1
1.676000000E1	8.188053746E1
1.680000000E1	8.236648086E1
1.684000000E1	8.252948234E1
1.688000000E1	8.245462120E1
1.692000000E1	8.230105699E1
1.696000000E1	8.216179756E1
1.700000000E1	8.192054638E1
1.704000000E1	8.152248868E1
1.708000000E1	8.094943833E1
1.712000000E1	7.929802609E1
1.716000000E1	7.929245989E1
1.720000000E1	7.802998210E1
1.724000000E1	7.636503706E1
1.728000000E1	7.403092831E1
1.732000000E1	7.101556716E1
1.736000000E1	6.753380992E1
1.740000000E1	6.442703531E1
1.744000000E1	6.244426869E1
1.748000000E1	6.137806830E1
1.752000000E1	6.106692826E1
1.756000000E1	6.119140322E1
1.760000000E1	6.114072069E1
1.764000000E1	6.140202207E1
1.768000000E1	6.184608612E1
1.772000000E1	6.224912182E1
1.776000000E1	6.247827084E1
1.780000000E1	6.263063165E1
1.784000000E1	6.278258782E1
1.788000000E1	6.294630037E1
1.792000000E1	6.304235877E1
1.796000000E1	6.323069136E1
1.800000000E1	6.341350255E1
1.804000000E1	6.366036980E1
1.808000000E1	6.399410001E1
1.812000000E1	6.440446446E1
1.816000000E1	6.483887376E1
1.820000000E1	6.543824821E1
1.824000000E1	6.600338532E1
1.828000000E1	6.668757944E1
1.832000000E1	6.749010080E1
1.836000000E1	6.835734815E1
1.840000000E1	6.941781370E1
1.844000000E1	7.054829734E1
1.848000000E1	7.171107280E1
1.852000000E1	7.300047817E1
1.856000000E1	7.425049032E1
1.860000000E1	7.553949624E1
1.864000000E1	7.685955118E1
1.868000000E1	7.814362769E1
1.872000000E1	7.944369552E1
1.876000000E1	8.068795362E1
1.880000000E1	8.181451694E1
1.884000000E1	8.288311955E1
1.888000000E1	8.370291682E1
1.892000000E1	8.405581974E1
1.896000000E1	8.405134318E1
1.900000000E1	8.402116374E1
1.904000000E1	8.409299068E1
1.908000000E1	8.416940464E1
1.912000000E1	8.417448637E1
1.916000000E1	8.409304536E1
1.920000000E1	8.375131392E1
1.924000000E1	8.317908594E1
1.928000000E1	8.243901962E1
1.932000000E1	8.137700013E1
1.936000000E1	8.001484597E1
1.940000000E1	7.814234331E1
1.944000000E1	7.556968177E1
1.948000000E1	7.223829181E1
1.952000000E1	6.870285838E1
1.956000000E1	6.536629617E1
1.960000000E1	6.274226785E1
1.964000000E1	6.134544537E1
1.968000000E1	6.061041867E1
1.972000000E1	6.046702452E1
1.976000000E1	6.049749681E1
1.980000000E1	6.069811673E1
1.984000000E1	6.111986008E1
1.988000000E1	6.157295208E1
1.992000000E1	6.201109700E1
1.996000000E1	6.225686764E1
2.000000000E1	6.249572415E1
2.004000000E1	6.272752253E1
2.008000000E1	6.291550254E1
2.012000000E1	6.307688466E1
2.016000000E1	6.322864989E1
2.020000000E1	6.344839364E1
2.024000000E1	6.369148773E1
2.028000000E1	6.408622146E1
2.032000000E1	6.453140562E1
2.036000000E1	6.516958060E1
2.040000000E1	6.596850275E1
2.044000000E1	6.681739447E1
2.048000000E1	6.784593788E1
2.052000000E1	6.899827716E1
2.056000000E1	7.019140106E1
2.060000000E1	7.138600391E1
2.064000000E1	7.267128153E1
2.068000000E1	7.408939473E1
2.072000000E1	7.547617115E1
2.076000000E1	7.786779559E1
2.080000000E1	7.784111541E1
2.084000000E1	7.890657260E1
2.088000000E1	8.001626514E1
2.092000000E1	8.101720922E1
2.096000000E1	8.195084276E1
2.100000000E1	8.280763153E1
2.104000000E1	8.344788657E1
2.108000000E1	8.419598366E1
2.112000000E1	8.469245782E1
2.116000000E1	8.484139201E1
2.120000000E1	8.458582736E1
2.124000000E1	8.389073657E1
2.128000000E1	8.385185414E1
2.132000000E1	8.345966646E1
2.136000000E1	8.293829657E1
2.140000000E1	8.221890331E1
2.144000000E1	8.138253816E1
2.148000000E1	8.015261262E1
2.152000000E1	7.862820395E1
2.156000000E1	7.647229422E1
2.160000000E1	7.359133895E1
2.164000000E1	7.005831763E1
2.168000000E1	6.650150422E1
2.172000000E1	6.315368620E1
2.176000000E1	5.992432623E1
2.180000000E1	5.987485263E1
2.184000000E1	5.966271948E1
2.188000000E1	5.999807570E1
2.192000000E1	6.023832842E1
2.196000000E1	6.082586573E1
2.200000000E1	6.178445915E1
2.204000000E1	6.286053405E1
2.208000000E1	6.402575370E1
2.212000000E1	6.536855628E1
2.216000000E1	6.671926595E1
2.220000000E1	6.801308908E1
2.224000000E1	6.926557297E1
2.228000000E1	7.038171185E1
2.232000000E1	7.138729084E1
2.236000000E1	7.242371853E1
2.240000000E1	7.330384642E1
2.244000000E1	7.400902278E1
2.248000000E1	7.477308323E1
2.252000000E1	7.565098868E1
2.256000000E1	7.653885325E1
2.260000000E1	7.757131650E1
2.264000000E1	7.968582110E1
2.268000000E1	7.967920576E1
2.272000000E1	8.067551053E1
2.276000000E1	8.169793057E1
2.280000000E1	8.250473057E1
2.284000000E1	8.310486450E1
2.288000000E1	8.352971263E1
2.292000000E1	8.378933966E1
2.296000000E1	8.412634442E1
2.300000000E1	8.444757331E1
2.304000000E1	8.450937535E1
2.308000000E1	8.448842224E1
2.312000000E1	8.440609305E1
2.316000000E1	8.419434337E1
2.320000000E1	8.373177914E1
2.324000000E1	8.374650398E1
2.328000000E1	8.340359725E1
2.332000000E1	8.284440599E1
2.336000000E1	8.238628499E1
2.340000000E1	8.199017242E1
2.344000000E1	8.159117633E1
2.348000000E1	8.101864034E1
2.352000000E1	8.053348003E1
2.356000000E1	7.976425907E1
2.360000000E1	7.875472736E1
2.364000000E1	7.753592333E1
2.368000000E1	7.606852092E1
2.372000000E1	7.403882147E1
2.376000000E1	7.105575369E1
2.380000000E1	6.758731943E1
2.384000000E1	6.441535642E1
2.388000000E1	6.173389531E1
2.392000000E1	6.025541893E1
2.396000000E1	5.975365639E1
2.400000000E1	5.999371332E1
2.404000000E1	6.054552226E1
2.408000000E1	6.125380882E1
2.412000000E1	6.241778471E1
2.416000000E1	6.389443623E1
2.420000000E1	6.551715900E1
2.424000000E1	6.709281065E1
2.428000000E1	6.855899874E1
2.432000000E1	6.993416943E1
2.436000000E1	7.122021592E1
2.440000000E1	7.239770732E1
2.444000000E1	7.337562389E1
2.448000000E1	7.425162470E1
2.452000000E1	7.529517699E1
2.456000000E1	7.638054456E1
2.460000000E1	7.727380150E1
2.464000000E1	7.822413163E1
2.468000000E1	7.907640505E1
2.472000000E1	7.993609123E1
2.476000000E1	8.082752754E1
2.480000000E1	8.163997287E1
2.484000000E1	8.233716572E1
2.488000000E1	8.304793649E1
2.492000000E1	8.362752212E1
2.496000000E1	8.422088916E1
2.500000000E1	8.461915661E1
2.504000000E1	8.487379030E1
2.508000000E1	8.502448905E1
2.512000000E1	8.513660574E1
2.516000000E1	8.524591925E1
2.520000000E1	8.560528791E1
2.524000000E1	8.581296249E1
2.528000000E1	8.562399640E1
2.532000000E1	8.549013970E1
2.536000000E1	8.523354227E1
2.540000000E1	8.515071908E1
2.544000000E1	8.490224522E1
2.548000000E1	8.459305835E1
2.552000000E1	8.417037201E1
2.556000000E1	8.377200668E1
2.560000000E1	8.332988483E1
2.564000000E1	8.261447719E1
2.568000000E1	8.169651155E1
2.572000000E1	8.062640236E1
2.576000000E1	7.921819941E1
2.580000000E1	7.734053646E1
2.584000000E1	7.486084271E1
2.588000000E1	7.164380656E1
2.592000000E1	6.808681732E1
2.596000000E1	6.491110988E1
2.600000000E1	6.249767950E1
2.604000000E1	6.120559323E1
2.608000000E1	6.073101585E1
2.612000000E1	6.093356094E1
2.616000000E1	6.123791866E1
2.620000000E1	6.182973593E1
2.624000000E1	6.281307121E1
2.628000000E1	6.391695771E1
2.632000000E1	6.497007214E1
2.636000000E1	6.605469659E1
2.640000000E1	6.718760031E1
2.644000000E1	6.828308412E1
2.648000000E1	6.940269289E1
2.652000000E1	7.040992973E1
2.656000000E1	7.131971961E1
2.660000000E1	7.226899923E1
2.664000000E1	7.321006270E1
2.668000000E1	7.419805320E1
2.672000000E1	7.531369348E1
2.676000000E1	7.625204375E1
2.680000000E1	7.717309667E1
2.684000000E1	7.803038661E1
2.688000000E1	7.886042596E1
2.692000000E1	7.961897738E1
2.696000000E1	8.027814899E1
2.700000000E1	8.101114849E1
2.704000000E1	8.170236675E1
2.708000000E1	8.223866937E1
2.712000000E1	8.255842052E1
2.716000000E1	8.273556514E1
2.720000000E1	8.277702145E1
2.724000000E1	8.269949252E1
2.728000000E1	8.247842209E1
2.732000000E1	8.266896936E1
2.736000000E1	8.281847040E1
2.740000000E1	8.298940266E1
2.744000000E1	8.297912255E1
2.748000000E1	8.303529289E1
2.752000000E1	8.293680462E1
2.756000000E1	8.278646334E1
2.760000000E1	8.265575870E1
2.764000000E1	8.240540985E1
2.768000000E1	8.212715109E1
2.772000000E1	8.188632740E1
2.776000000E1	8.169199722E1
2.780000000E1	8.136381629E1
2.784000000E1	8.100071570E1
2.788000000E1	8.039368170E1
2.792000000E1	7.968265167E1
2.796000000E1	7.878817643E1
2.800000000E1	7.767439908E1
2.804000000E1	7.617139430E1
2.808000000E1	7.410344790E1
2.812000000E1	7.121482978E1
2.816000000E1	6.786122893E1
2.820000000E1	6.464450059E1
2.824000000E1	6.234904724E1
2.828000000E1	6.156236880E1
2.832000000E1	6.184968373E1
2.836000000E1	6.280017490E1
2.840000000E1	6.393278757E1
2.844000000E1	6.514904566E1
2.848000000E1	6.667688200E1
2.852000000E1	6.828027762E1
2.856000000E1	6.990083033E1
2.860000000E1	7.134172794E1
2.864000000E1	7.256425972E1
2.868000000E1	7.370783861E1
2.872000000E1	7.488307380E1
2.876000000E1	7.601501129E1
2.880000000E1	7.708745031E1
2.884000000E1	7.826076036E1
2.888000000E1	8.065384958E1
2.892000000E1	8.061011895E1
2.896000000E1	8.150465155E1
2.900000000E1	8.240605052E1
2.904000000E1	8.344690680E1
2.908000000E1	8.453030626E1
2.912000000E1	8.538824170E1
2.916000000E1	8.600188424E1
2.920000000E1	8.662231973E1
2.924000000E1	8.706432087E1
2.928000000E1	8.746653527E1
2.932000000E1	8.777098623E1
2.936000000E1	8.787022509E1
2.940000000E1	8.792505945E1
2.944000000E1	8.816071723E1
2.948000000E1	8.818780055E1
2.952000000E1	8.809689729E1
2.956000000E1	8.786557929E1
2.960000000E1	8.776862673E1
