
t/1	ANGLE/1
0.000000000E0	-1.052712839E2
4.000000000E-2	-1.052630421E2
8.000000000E-2	-1.052596792E2
1.200000000E-1	-1.052525095E2
1.600000000E-1	-1.052060987E2
2.000000000E-1	-1.049226459E2
2.400000000E-1	-1.043298762E2
2.800000000E-1	-1.036355099E2
3.200000000E-1	-1.031794316E2
3.600000000E-1	-1.022111333E2
4.000000000E-1	-1.009723638E2
4.400000000E-1	-1.000745776E2
4.800000000E-1	-9.999020444E1
5.200000000E-1	-1.015833398E2
5.600000000E-1	-1.051726868E2
6.000000000E-1	-1.096908973E2
6.400000000E-1	-1.149077328E2
6.800000000E-1	-1.206005282E2
7.200000000E-1	-1.261258564E2
7.600000000E-1	-1.305648836E2
8.000000000E-1	-1.337522371E2
8.400000000E-1	-1.348757084E2
8.800000000E-1	-1.332378205E2
9.200000000E-1	-1.294774737E2
9.600000000E-1	-1.254030958E2
1.000000000E0	-1.223249478E2
1.040000000E0	-1.202658679E2
1.080000000E0	-1.195324242E2
1.120000000E0	-1.195629398E2
1.160000000E0	-1.197453098E2
1.200000000E0	-1.204268172E2
1.240000000E0	-1.214168492E2
1.280000000E0	-1.222995333E2
1.320000000E0	-1.225099143E2
1.360000000E0	-1.225243188E2
1.400000000E0	-1.224189594E2
1.440000000E0	-1.226457307E2
1.480000000E0	-1.228759055E2
1.520000000E0	-1.231297813E2
1.560000000E0	-1.235291227E2
1.600000000E0	-1.243001203E2
1.640000000E0	-1.251744860E2
1.680000000E0	-1.268083572E2
1.720000000E0	-1.294076637E2
1.760000000E0	-1.328230863E2
1.800000000E0	-1.368788945E2
1.840000000E0	-1.413030939E2
1.880000000E0	-1.464420943E2
1.920000000E0	-1.523876801E2
1.960000000E0	-1.594346826E2
2.000000000E0	-1.649130954E2
2.040000000E0	-1.668156691E2
2.080000000E0	-1.632301089E2
2.120000000E0	-1.612713161E2
2.160000000E0	-1.618945855E2
2.200000000E0	-1.615650839E2
2.240000000E0	-1.614579488E2
2.280000000E0	-1.614339784E2
2.320000000E0	-1.613854155E2
2.360000000E0	-1.607965678E2
2.400000000E0	-1.601137462E2
2.440000000E0	-1.590339436E2
2.480000000E0	-1.577500353E2
2.520000000E0	-1.556714440E2
2.560000000E0	-1.537477056E2
2.600000000E0	-1.517551912E2
2.640000000E0	-1.490692988E2
2.680000000E0	-1.457351412E2
2.720000000E0	-1.430066334E2
2.760000000E0	-1.396276148E2
2.800000000E0	-1.361702646E2
2.840000000E0	-1.325342553E2
2.880000000E0	-1.288369331E2
2.920000000E0	-1.249027681E2
2.960000000E0	-1.207894111E2
3.000000000E0	-1.174715147E2
3.040000000E0	-1.158887604E2
3.080000000E0	-1.163331145E2
3.120000000E0	-1.181210925E2
3.160000000E0	-1.183127518E2
3.200000000E0	-1.175130063E2
3.240000000E0	-1.174367014E2
3.280000000E0	-1.170568611E2
3.320000000E0	-1.169386130E2
3.360000000E0	-1.168565379E2
3.400000000E0	-1.168422548E2
3.440000000E0	-1.169182208E2
3.480000000E0	-1.169721419E2
3.520000000E0	-1.169249540E2
3.560000000E0	-1.168298387E2
3.600000000E0	-1.167884910E2
3.640000000E0	-1.166978496E2
3.680000000E0	-1.167310466E2
3.720000000E0	-1.168059783E2
3.760000000E0	-1.169310235E2
3.800000000E0	-1.173712720E2
3.840000000E0	-1.184778545E2
3.880000000E0	-1.199399190E2
3.920000000E0	-1.219827579E2
3.960000000E0	-1.244694020E2
4.000000000E0	-1.271591081E2
4.040000000E0	-1.302254273E2
4.080000000E0	-1.332912556E2
4.120000000E0	-1.364545609E2
4.160000000E0	-1.395010272E2
4.200000000E0	-1.427096292E2
4.240000000E0	-1.467464628E2
4.280000000E0	-1.519208065E2
4.320000000E0	-1.589655167E2
4.360000000E0	-1.654268264E2
4.400000000E0	-1.660383046E2
4.440000000E0	-1.614512081E2
4.480000000E0	-1.606641193E2
4.520000000E0	-1.611412143E2
4.560000000E0	-1.605562907E2
4.600000000E0	-1.601832004E2
4.640000000E0	-1.599248363E2
4.680000000E0	-1.599673340E2
4.720000000E0	-1.592277258E2
4.760000000E0	-1.580626797E2
4.800000000E0	-1.564436919E2
4.840000000E0	-1.545325052E2
4.880000000E0	-1.522391721E2
4.920000000E0	-1.498555026E2
4.960000000E0	-1.473824078E2
5.000000000E0	-1.446893207E2
5.040000000E0	-1.421422434E2
5.080000000E0	-1.394578096E2
5.120000000E0	-1.373101080E2
5.160000000E0	-1.351485951E2
5.200000000E0	-1.337254600E2
5.240000000E0	-1.321379041E2
5.280000000E0	-1.306084348E2
5.320000000E0	-1.289255299E2
5.360000000E0	-1.268263437E2
5.400000000E0	-1.242475361E2
5.440000000E0	-1.220429926E2
5.480000000E0	-1.209990856E2
5.520000000E0	-1.206197374E2
5.560000000E0	-1.214526835E2
5.600000000E0	-1.224062061E2
5.640000000E0	-1.238711689E2
5.680000000E0	-1.252041136E2
5.720000000E0	-1.261845822E2
5.760000000E0	-1.264922985E2
5.800000000E0	-1.263227791E2
5.840000000E0	-1.260060277E2
5.880000000E0	-1.255574297E2
5.920000000E0	-1.254311187E2
5.960000000E0	-1.253602145E2
6.000000000E0	-1.254106488E2
6.040000000E0	-1.253763744E2
6.080000000E0	-1.252385731E2
6.120000000E0	-1.252606489E2
6.160000000E0	-1.250419585E2
6.200000000E0	-1.252439949E2
6.240000000E0	-1.259501987E2
6.280000000E0	-1.269392189E2
6.320000000E0	-1.291266334E2
6.360000000E0	-1.318508196E2
6.400000000E0	-1.351063568E2
6.440000000E0	-1.388843656E2
6.480000000E0	-1.436657440E2
