
t/1	ANGLE/1
0.000000000E0	7.153290931E0
4.000000000E-2	7.153069377E0
8.000000000E-2	7.152804156E0
1.200000000E-1	7.151161503E0
1.600000000E-1	7.166202481E0
2.000000000E-1	7.180731358E0
2.400000000E-1	7.202974860E0
2.800000000E-1	7.315765024E0
3.200000000E-1	7.667630480E0
3.600000000E-1	8.016761265E0
4.000000000E-1	8.682486699E0
4.400000000E-1	9.913018448E0
4.800000000E-1	1.186033691E1
5.200000000E-1	1.481124073E1
5.600000000E-1	1.873455469E1
6.000000000E-1	2.319268022E1
6.400000000E-1	2.800028968E1
6.800000000E-1	3.301628706E1
7.200000000E-1	3.788715572E1
7.600000000E-1	4.222072910E1
8.000000000E-1	4.569291692E1
8.400000000E-1	4.780260109E1
8.800000000E-1	4.797823509E1
9.200000000E-1	4.680952600E1
9.600000000E-1	4.497492076E1
1.000000000E0	4.317996171E1
1.040000000E0	4.165062494E1
1.080000000E0	4.024112935E1
1.120000000E0	3.890885106E1
1.160000000E0	3.815890293E1
1.200000000E0	3.812176414E1
1.240000000E0	3.830835169E1
1.280000000E0	3.864481750E1
1.320000000E0	3.887740250E1
1.360000000E0	3.893186529E1
1.400000000E0	3.899040681E1
1.440000000E0	3.912621874E1
1.480000000E0	3.923434296E1
1.520000000E0	3.946051957E1
1.560000000E0	3.975034432E1
1.600000000E0	4.040436025E1
1.640000000E0	4.136379708E1
1.680000000E0	4.295949069E1
1.720000000E0	4.531991782E1
1.760000000E0	4.866941256E1
1.800000000E0	5.303588188E1
1.840000000E0	5.852831645E1
1.880000000E0	6.545644727E1
1.920000000E0	7.346474031E1
1.960000000E0	8.236740609E1
2.000000000E0	9.016705316E1
2.040000000E0	9.556963642E1
2.080000000E0	9.756046661E1
2.120000000E0	1.000121287E2
2.160000000E0	1.015618960E2
2.200000000E0	1.018117661E2
2.240000000E0	1.018389777E2
2.280000000E0	1.013124511E2
2.320000000E0	1.002043811E2
2.360000000E0	9.845914492E1
2.400000000E0	9.654052580E1
2.440000000E0	9.437050465E1
2.480000000E0	9.190305825E1
2.520000000E0	8.892684842E1
2.560000000E0	8.593484803E1
2.600000000E0	8.273024268E1
2.640000000E0	7.904408779E1
2.680000000E0	7.469987814E1
2.720000000E0	7.089167060E1
2.760000000E0	6.650017672E1
2.800000000E0	6.203902994E1
2.840000000E0	5.752904913E1
2.880000000E0	5.292263913E1
2.920000000E0	4.810748620E1
2.960000000E0	4.327168145E1
3.000000000E0	3.935675832E1
3.040000000E0	3.676121495E1
3.080000000E0	3.576307704E1
3.120000000E0	3.566372372E1
3.160000000E0	3.575719783E1
3.200000000E0	3.577370729E1
3.240000000E0	3.592766363E1
3.280000000E0	3.602146664E1
3.320000000E0	3.617667858E1
3.360000000E0	3.622085594E1
3.400000000E0	3.620016557E1
3.440000000E0	3.618850400E1
3.480000000E0	3.621002543E1
3.520000000E0	3.624877616E1
3.560000000E0	3.632700356E1
3.600000000E0	3.642488371E1
3.640000000E0	3.649885096E1
3.680000000E0	3.647852782E1
3.720000000E0	3.647886595E1
3.760000000E0	3.676446134E1
3.800000000E0	3.727443863E1
3.840000000E0	3.821617611E1
3.880000000E0	3.942601936E1
3.920000000E0	4.100286838E1
3.960000000E0	4.313404938E1
4.000000000E0	4.569373562E1
4.040000000E0	4.879706446E1
4.080000000E0	5.218002603E1
4.120000000E0	5.597276231E1
4.160000000E0	6.003358909E1
4.200000000E0	6.464459522E1
4.240000000E0	7.048760259E1
4.280000000E0	7.777674091E1
4.320000000E0	8.674641043E1
4.360000000E0	9.545649328E1
4.400000000E0	1.000626986E2
4.440000000E0	1.009906003E2
4.480000000E0	1.034493588E2
4.520000000E0	1.045033667E2
4.560000000E0	1.044018849E2
4.600000000E0	1.039048931E2
4.640000000E0	1.029676355E2
4.680000000E0	1.015270648E2
4.720000000E0	9.927412818E1
4.760000000E0	9.670828838E1
4.800000000E0	9.384993675E1
4.840000000E0	9.085757266E1
4.880000000E0	8.759462283E1
4.920000000E0	8.417757382E1
4.960000000E0	8.066144047E1
5.000000000E0	7.698522124E1
5.040000000E0	7.327683445E1
5.080000000E0	6.949449986E1
5.120000000E0	6.608072847E1
5.160000000E0	6.266772272E1
5.200000000E0	5.973563835E1
5.240000000E0	5.688180082E1
5.280000000E0	5.427839531E1
5.320000000E0	5.201783110E1
5.360000000E0	4.987384480E1
5.400000000E0	4.762173774E1
5.440000000E0	4.569985553E1
5.480000000E0	4.421887912E1
5.520000000E0	4.316838495E1
5.560000000E0	4.253389836E1
5.600000000E0	4.250530044E1
5.640000000E0	4.303450079E1
5.680000000E0	4.365168877E1
5.720000000E0	4.421103668E1
5.760000000E0	4.452676221E1
5.800000000E0	4.450229387E1
5.840000000E0	4.432473422E1
5.880000000E0	4.406266622E1
5.920000000E0	4.401627970E1
5.960000000E0	4.399338754E1
6.000000000E0	4.398856403E1
6.040000000E0	4.397585180E1
6.080000000E0	4.392794617E1
6.120000000E0	4.403014334E1
6.160000000E0	4.409115837E1
6.200000000E0	4.463437919E1
6.240000000E0	4.560553715E1
6.280000000E0	4.711345602E1
6.320000000E0	4.939568440E1
6.360000000E0	5.242645157E1
6.400000000E0	5.618188406E1
6.440000000E0	6.082478213E1
6.480000000E0	6.660701499E1
6.520000000E0	7.398169204E1
6.560000000E0	8.237231953E1
6.600000000E0	8.928437901E1
6.640000000E0	9.265970159E1
6.680000000E0	9.409399887E1
6.720000000E0	9.716403702E1
6.760000000E0	9.804087905E1
6.800000000E0	9.817184744E1
