
t/1	ANGLE/1
0.000000000E0	-8.464793905E1
4.000000000E-2	-8.440368149E1
8.000000000E-2	-8.440708870E1
1.200000000E-1	-8.441020153E1
1.600000000E-1	-8.440876656E1
2.000000000E-1	-8.440985260E1
2.400000000E-1	-8.440999773E1
2.800000000E-1	-8.441017623E1
3.200000000E-1	-8.440827392E1
3.600000000E-1	-8.441374376E1
4.000000000E-1	-8.441545123E1
4.400000000E-1	-8.440943979E1
4.800000000E-1	-8.440428975E1
5.200000000E-1	-8.440779632E1
5.600000000E-1	-8.440684523E1
6.000000000E-1	-8.438811542E1
6.400000000E-1	-8.439581195E1
6.800000000E-1	-8.439952570E1
7.200000000E-1	-8.440055391E1
7.600000000E-1	-8.439754592E1
8.000000000E-1	-8.440102130E1
8.400000000E-1	-8.440374443E1
8.800000000E-1	-8.440497295E1
9.200000000E-1	-8.440558799E1
9.600000000E-1	-8.440740942E1
1.000000000E0	-8.441074138E1
1.040000000E0	-8.440946168E1
1.080000000E0	-8.440864685E1
1.120000000E0	-8.440980193E1
1.160000000E0	-8.440890941E1
1.200000000E0	-8.440968945E1
1.240000000E0	-8.441190394E1
1.280000000E0	-8.441147432E1
1.320000000E0	-8.441144835E1
1.360000000E0	-8.440937942E1
1.400000000E0	-8.440803925E1
1.440000000E0	-8.440479605E1
1.480000000E0	-8.442025948E1
1.520000000E0	-8.441146860E1
1.560000000E0	-8.441029159E1
1.600000000E0	-8.440721662E1
1.640000000E0	-8.440764419E1
1.680000000E0	-8.440987870E1
1.720000000E0	-8.440961946E1
1.760000000E0	-8.440977611E1
1.800000000E0	-8.441035949E1
1.840000000E0	-8.441304427E1
1.880000000E0	-8.440792463E1
1.920000000E0	-8.441444095E1
1.960000000E0	-8.441736524E1
2.000000000E0	-8.440935221E1
2.040000000E0	-8.440817670E1
2.080000000E0	-8.440944121E1
2.120000000E0	-8.440970302E1
2.160000000E0	-8.440977812E1
2.200000000E0	-8.441019790E1
2.240000000E0	-8.441049805E1
2.280000000E0	-8.441180723E1
2.320000000E0	-8.441083762E1
2.360000000E0	-8.440993792E1
2.400000000E0	-8.440974577E1
2.440000000E0	-8.441128898E1
2.480000000E0	-8.440926011E1
2.520000000E0	-8.441027818E1
2.560000000E0	-8.440908078E1
2.600000000E0	-8.441146242E1
2.640000000E0	-8.441150849E1
2.680000000E0	-8.441145490E1
2.720000000E0	-8.441061241E1
2.760000000E0	-8.441423180E1
2.800000000E0	-8.441695677E1
2.840000000E0	-8.441144778E1
2.880000000E0	-8.440795190E1
2.920000000E0	-8.440773698E1
2.960000000E0	-8.440896705E1
3.000000000E0	-8.440952518E1
3.040000000E0	-8.441220951E1
3.080000000E0	-8.441276184E1
3.120000000E0	-8.441062825E1
3.160000000E0	-8.440968428E1
3.200000000E0	-8.441012455E1
3.240000000E0	-8.440972493E1
3.280000000E0	-8.440962787E1
3.320000000E0	-8.441062245E1
3.360000000E0	-8.440803968E1
3.400000000E0	-8.440729521E1
3.440000000E0	-8.440722508E1
3.480000000E0	-8.440672053E1
3.520000000E0	-8.441228439E1
