
t/1	ANGLE/1
0.000000000E0	6.545615662E0
4.000000000E-2	6.577479396E0
8.000000000E-2	6.577042445E0
1.200000000E-1	6.576901190E0
1.600000000E-1	6.577569368E0
2.000000000E-1	6.578015474E0
2.400000000E-1	6.578644948E0
2.800000000E-1	6.577460323E0
3.200000000E-1	6.576297182E0
3.600000000E-1	6.580360108E0
4.000000000E-1	6.583253367E0
4.400000000E-1	6.581365645E0
4.800000000E-1	6.580409841E0
5.200000000E-1	6.581544967E0
5.600000000E-1	6.585537425E0
6.000000000E-1	6.576291286E0
6.400000000E-1	6.578266660E0
6.800000000E-1	6.580227213E0
7.200000000E-1	6.583619074E0
7.600000000E-1	6.583963563E0
8.000000000E-1	6.581812583E0
8.400000000E-1	6.581384248E0
8.800000000E-1	6.580635324E0
9.200000000E-1	6.580151062E0
9.600000000E-1	6.580166975E0
1.000000000E0	6.584683674E0
1.040000000E0	6.582234640E0
1.080000000E0	6.581211006E0
1.120000000E0	6.581185617E0
1.160000000E0	6.580215397E0
1.200000000E0	6.579497491E0
1.240000000E0	6.579569759E0
1.280000000E0	6.579463279E0
1.320000000E0	6.579481452E0
1.360000000E0	6.578504238E0
1.400000000E0	6.577860342E0
1.440000000E0	6.578681268E0
1.480000000E0	6.583703083E0
1.520000000E0	6.581438402E0
1.560000000E0	6.580635306E0
1.600000000E0	6.577719099E0
1.640000000E0	6.578088329E0
1.680000000E0	6.578807320E0
1.720000000E0	6.579707288E0
1.760000000E0	6.579595316E0
1.800000000E0	6.580135112E0
1.840000000E0	6.573907054E0
1.880000000E0	6.569735278E0
1.920000000E0	6.579834725E0
1.960000000E0	6.584239540E0
2.000000000E0	6.583808978E0
2.040000000E0	6.581684013E0
2.080000000E0	6.580698830E0
2.120000000E0	6.580189070E0
2.160000000E0	6.579966001E0
2.200000000E0	6.579716473E0
2.240000000E0	6.579309699E0
2.280000000E0	6.579470759E0
2.320000000E0	6.578710506E0
2.360000000E0	6.579502878E0
2.400000000E0	6.580026381E0
2.440000000E0	6.581146880E0
2.480000000E0	6.578685043E0
2.520000000E0	6.579030123E0
2.560000000E0	6.579217677E0
2.600000000E0	6.578893340E0
2.640000000E0	6.580113890E0
2.680000000E0	6.579337445E0
2.720000000E0	6.579549555E0
2.760000000E0	6.582194223E0
2.800000000E0	6.584159275E0
2.840000000E0	6.580649266E0
2.880000000E0	6.578924369E0
2.920000000E0	6.577403630E0
2.960000000E0	6.577953913E0
3.000000000E0	6.572456466E0
3.040000000E0	6.577994928E0
3.080000000E0	6.580586798E0
3.120000000E0	6.580612965E0
3.160000000E0	6.579818053E0
3.200000000E0	6.579579311E0
3.240000000E0	6.578869327E0
3.280000000E0	6.578488639E0
3.320000000E0	6.578975975E0
3.360000000E0	6.577071827E0
3.400000000E0	6.577563042E0
3.440000000E0	6.571873910E0
3.480000000E0	6.565524621E0
3.520000000E0	6.571524020E0
3.560000000E0	6.572106307E0
3.600000000E0	6.580780120E0
3.640000000E0	6.579262166E0
3.680000000E0	6.579225462E0
3.720000000E0	6.579106115E0
3.760000000E0	6.579793707E0
3.800000000E0	6.579187093E0
3.840000000E0	6.576968060E0
3.880000000E0	6.575157902E0
3.920000000E0	6.576782599E0
3.960000000E0	6.578033154E0
4.000000000E0	6.565260659E0
4.040000000E0	6.563222489E0
4.080000000E0	6.545574038E0
4.120000000E0	6.485963821E0
4.160000000E0	6.418702921E0
4.200000000E0	6.337957226E0
4.240000000E0	6.318808524E0
4.280000000E0	6.306554179E0
4.320000000E0	6.319077441E0
4.360000000E0	6.630778138E0
4.400000000E0	7.194040734E0
4.440000000E0	8.048326424E0
4.480000000E0	9.350085695E0
4.520000000E0	1.110096145E1
4.560000000E0	1.318408595E1
4.600000000E0	1.545670212E1
4.640000000E0	1.769857497E1
4.680000000E0	1.953428431E1
4.720000000E0	2.083688932E1
4.760000000E0	2.236414822E1
4.800000000E0	2.449518546E1
4.840000000E0	2.733973511E1
4.880000000E0	3.113655796E1
4.920000000E0	3.547053013E1
4.960000000E0	4.008859549E1
5.000000000E0	4.471996351E1
5.040000000E0	4.927691415E1
5.080000000E0	5.708797031E1
5.120000000E0	5.705190967E1
5.160000000E0	5.980129303E1
5.200000000E0	6.140811616E1
5.240000000E0	6.225606640E1
5.280000000E0	6.284618845E1
5.320000000E0	6.329230058E1
5.360000000E0	6.343944544E1
5.400000000E0	6.339524343E1
5.440000000E0	6.325297061E1
5.480000000E0	6.301190129E1
5.520000000E0	6.308340123E1
5.560000000E0	6.308893357E1
5.600000000E0	6.300042251E1
5.640000000E0	6.290272672E1
5.680000000E0	6.282296256E1
5.720000000E0	6.269578874E1
5.760000000E0	6.255078142E1
5.800000000E0	6.231729619E1
5.840000000E0	6.202970854E1
5.880000000E0	6.155940786E1
5.920000000E0	6.083317810E1
5.960000000E0	5.991865477E1
6.000000000E0	5.867871131E1
6.040000000E0	5.692380161E1
6.080000000E0	5.439432180E1
6.120000000E0	5.090658596E1
6.160000000E0	4.649223359E1
6.200000000E0	4.134984172E1
6.240000000E0	3.551116919E1
6.280000000E0	2.917030903E1
6.320000000E0	2.248260255E1
6.360000000E0	1.579985907E1
6.400000000E0	9.753848250E0
6.440000000E0	5.041838343E0
6.480000000E0	1.919021572E0
6.520000000E0	3.103910232E-1
6.560000000E0	-2.240762136E-1
6.600000000E0	-3.286796380E-2
6.640000000E0	5.489422761E-1
6.680000000E0	1.290611688E0
6.720000000E0	1.319449766E0
6.760000000E0	1.378360205E0
6.800000000E0	1.329383945E0
6.840000000E0	1.145348747E0
6.880000000E0	1.058445906E0
6.920000000E0	1.089748689E0
6.960000000E0	1.379267510E0
7.000000000E0	2.110691283E0
7.040000000E0	3.259826138E0
7.080000000E0	4.958403382E0
7.120000000E0	7.429908292E0
7.160000000E0	1.075192638E1
7.200000000E0	1.485761117E1
7.240000000E0	1.971003851E1
7.280000000E0	2.504393647E1
7.320000000E0	3.071540500E1
7.360000000E0	3.660635415E1
7.400000000E0	4.235354308E1
7.440000000E0	4.786566010E1
7.480000000E0	5.299098670E1
7.520000000E0	5.745016374E1
7.560000000E0	6.091332433E1
7.600000000E0	6.276794018E1
7.640000000E0	6.317485549E1
7.680000000E0	6.290863695E1
7.720000000E0	6.261325570E1
7.760000000E0	6.233379141E1
7.800000000E0	6.222435038E1
7.840000000E0	6.212757808E1
7.880000000E0	6.206366087E1
7.920000000E0	6.199063179E1
7.960000000E0	6.199772174E1
8.000000000E0	6.193292390E1
8.040000000E0	6.183612637E1
8.080000000E0	6.173570415E1
8.120000000E0	6.166149840E1
8.160000000E0	6.158241102E1
8.200000000E0	6.154651479E1
8.240000000E0	6.150552710E1
8.280000000E0	6.135065386E1
8.320000000E0	6.086046489E1
8.360000000E0	5.970548242E1
8.400000000E0	5.754192914E1
8.440000000E0	4.992590117E1
8.480000000E0	4.987315378E1
8.520000000E0	4.475589048E1
8.560000000E0	3.892570896E1
8.600000000E0	3.289590060E1
8.640000000E0	2.642290498E1
8.680000000E0	1.999805730E1
8.720000000E0	1.363821085E1
8.760000000E0	7.801021171E0
8.800000000E0	2.834182529E0
8.840000000E0	-8.870537931E-1
8.880000000E0	-4.430371165E0
8.920000000E0	-4.431825033E0
8.960000000E0	-4.386633035E0
9.000000000E0	-3.539682356E0
9.040000000E0	-2.490393816E0
9.080000000E0	-1.487410894E0
9.120000000E0	-5.810047005E-1
9.160000000E0	4.476164497E-1
9.200000000E0	1.829166797E0
9.240000000E0	3.772871924E0
9.280000000E0	6.532096771E0
9.320000000E0	1.009747200E1
9.360000000E0	1.433001585E1
9.400000000E0	1.892327223E1
9.440000000E0	2.385540253E1
9.480000000E0	2.897157449E1
9.520000000E0	3.424294180E1
9.560000000E0	3.955920788E1
9.600000000E0	4.479351571E1
9.640000000E0	4.980462157E1
9.680000000E0	5.451026703E1
9.720000000E0	5.873881831E1
9.760000000E0	6.194120425E1
9.800000000E0	6.369630837E1
9.840000000E0	6.397830471E1
9.880000000E0	6.374335464E1
9.920000000E0	6.337324932E1
9.960000000E0	6.309387920E1
1.000000000E1	6.278096242E1
1.004000000E1	6.253477356E1
1.008000000E1	6.240391485E1
1.012000000E1	6.239283343E1
1.016000000E1	6.240660230E1
1.020000000E1	6.230546210E1
1.024000000E1	6.229328315E1
1.028000000E1	6.210458012E1
1.032000000E1	6.197965067E1
1.036000000E1	6.183009893E1
1.040000000E1	6.159146130E1
1.044000000E1	6.106063956E1
1.048000000E1	6.006772629E1
1.052000000E1	5.852272733E1
1.056000000E1	5.612931626E1
1.060000000E1	5.317332152E1
1.064000000E1	4.942735399E1
1.068000000E1	4.512012376E1
1.072000000E1	4.023511737E1
