
t/1	ANGLE/1
0.000000000E0	9.054288159E1
4.000000000E-2	9.027141459E1
8.000000000E-2	9.027133967E1
1.200000000E-1	9.027205687E1
1.600000000E-1	9.027109312E1
2.000000000E-1	9.027160483E1
2.400000000E-1	9.027122178E1
2.800000000E-1	9.027243351E1
3.200000000E-1	9.027283992E1
3.600000000E-1	9.027223096E1
4.000000000E-1	9.027208515E1
4.400000000E-1	9.027064067E1
4.800000000E-1	9.026894146E1
5.200000000E-1	9.026940980E1
5.600000000E-1	9.026570369E1
6.000000000E-1	9.026546983E1
6.400000000E-1	9.026672521E1
6.800000000E-1	9.026623232E1
7.200000000E-1	9.026204221E1
7.600000000E-1	9.026332127E1
8.000000000E-1	9.026569956E1
8.400000000E-1	9.026777510E1
8.800000000E-1	9.026836151E1
9.200000000E-1	9.026817150E1
9.600000000E-1	9.026904719E1
1.000000000E0	9.026802377E1
1.040000000E0	9.026875573E1
1.080000000E0	9.026926130E1
1.120000000E0	9.026977707E1
1.160000000E0	9.027012559E1
1.200000000E0	9.027152294E1
1.240000000E0	9.027267520E1
1.280000000E0	9.027215781E1
1.320000000E0	9.027176735E1
1.360000000E0	9.027150485E1
1.400000000E0	9.027130031E1
1.440000000E0	9.026934791E1
1.480000000E0	9.026991823E1
1.520000000E0	9.026965499E1
1.560000000E0	9.027003182E1
1.600000000E0	9.027090049E1
1.640000000E0	9.027149219E1
1.680000000E0	9.027153363E1
1.720000000E0	9.027148754E1
1.760000000E0	9.027151419E1
1.800000000E0	9.027256625E1
1.840000000E0	9.028084826E1
1.880000000E0	9.028035246E1
1.920000000E0	9.027598852E1
1.960000000E0	9.027431438E1
2.000000000E0	9.026887519E1
2.040000000E0	9.026933986E1
2.080000000E0	9.026962158E1
2.120000000E0	9.027002154E1
2.160000000E0	9.027031047E1
2.200000000E0	9.027049274E1
2.240000000E0	9.027053703E1
2.280000000E0	9.027103470E1
2.320000000E0	9.027133840E1
2.360000000E0	9.027111420E1
2.400000000E0	9.027094561E1
2.440000000E0	9.027065722E1
2.480000000E0	9.027094105E1
2.520000000E0	9.027093177E1
2.560000000E0	9.027092134E1
2.600000000E0	9.027124886E1
2.640000000E0	9.027158523E1
2.680000000E0	9.027178072E1
2.720000000E0	9.027199606E1
2.760000000E0	9.027173728E1
2.800000000E0	9.027150258E1
2.840000000E0	9.027176839E1
2.880000000E0	9.027210193E1
2.920000000E0	9.027209526E1
2.960000000E0	9.027220647E1
3.000000000E0	9.027693755E1
3.040000000E0	9.027241501E1
3.080000000E0	9.026926884E1
3.120000000E0	9.026800496E1
3.160000000E0	9.026969668E1
3.200000000E0	9.026906088E1
3.240000000E0	9.026897851E1
3.280000000E0	9.026942729E1
3.320000000E0	9.026957377E1
3.360000000E0	9.026829489E1
3.400000000E0	9.026707066E1
3.440000000E0	9.026822969E1
3.480000000E0	9.026904379E1
3.520000000E0	9.027374374E1
3.560000000E0	9.027830211E1
3.600000000E0	9.028038696E1
3.640000000E0	9.027947324E1
3.680000000E0	9.027363670E1
3.720000000E0	9.027007698E1
3.760000000E0	9.026955306E1
3.800000000E0	9.026929163E1
3.840000000E0	9.026146563E1
3.880000000E0	9.025038899E1
3.920000000E0	9.024151466E1
3.960000000E0	9.022950456E1
4.000000000E0	9.022906501E1
4.040000000E0	9.021384827E1
4.080000000E0	9.022294921E1
4.120000000E0	9.018815022E1
4.160000000E0	9.013814406E1
4.200000000E0	9.001862289E1
4.240000000E0	8.994889781E1
4.280000000E0	8.973982120E1
4.320000000E0	8.968778102E1
4.360000000E0	8.967752493E1
4.400000000E0	8.969388993E1
4.440000000E0	8.969631160E1
4.480000000E0	8.969127523E1
4.520000000E0	8.964795299E1
4.560000000E0	8.950459478E1
4.600000000E0	8.923571042E1
4.640000000E0	8.900095351E1
4.680000000E0	8.868305677E1
4.720000000E0	8.839112433E1
4.760000000E0	8.834983120E1
4.800000000E0	8.840153104E1
4.840000000E0	8.841180064E1
4.880000000E0	8.828646948E1
4.920000000E0	8.780194882E1
4.960000000E0	8.704905779E1
5.000000000E0	8.623501466E1
5.040000000E0	8.537247777E1
5.080000000E0	8.344912765E1
5.120000000E0	8.347043706E1
5.160000000E0	8.252196464E1
5.200000000E0	8.176230769E1
5.240000000E0	8.118650286E1
5.280000000E0	8.089508979E1
5.320000000E0	8.080352450E1
5.360000000E0	8.085595331E1
5.400000000E0	8.098017112E1
5.440000000E0	8.105211672E1
5.480000000E0	8.113716724E1
5.520000000E0	8.109451747E1
5.560000000E0	8.107344864E1
5.600000000E0	8.110995615E1
5.640000000E0	8.120495527E1
5.680000000E0	8.129625068E1
5.720000000E0	8.134006688E1
5.760000000E0	8.147830907E1
5.800000000E0	8.156745550E1
5.840000000E0	8.175762267E1
5.880000000E0	8.200018761E1
5.920000000E0	8.231420414E1
5.960000000E0	8.267622720E1
6.000000000E0	8.306200483E1
6.040000000E0	8.346504247E1
6.080000000E0	8.385099094E1
6.120000000E0	8.421383355E1
6.160000000E0	8.459118423E1
6.200000000E0	8.501365098E1
6.240000000E0	8.549081358E1
6.280000000E0	8.598589679E1
6.320000000E0	8.652564511E1
6.360000000E0	8.720483074E1
6.400000000E0	8.794138762E1
6.440000000E0	8.891420333E1
6.480000000E0	8.976870331E1
6.520000000E0	8.995667432E1
6.560000000E0	8.946885250E1
6.600000000E0	8.909230094E1
6.640000000E0	8.885960543E1
6.680000000E0	8.830344724E1
6.720000000E0	8.833228713E1
6.760000000E0	8.835608009E1
6.800000000E0	8.857466985E1
6.840000000E0	8.867465861E1
6.880000000E0	8.879528137E1
6.920000000E0	8.885437539E1
6.960000000E0	8.885581162E1
7.000000000E0	8.881643536E1
7.040000000E0	8.879828355E1
7.080000000E0	8.882560449E1
7.120000000E0	8.888688001E1
7.160000000E0	8.880927041E1
7.200000000E0	8.864022331E1
7.240000000E0	8.829809251E1
7.280000000E0	8.777401190E1
7.320000000E0	8.713661325E1
7.360000000E0	8.638700116E1
7.400000000E0	8.556860948E1
7.440000000E0	8.478025509E1
7.480000000E0	8.399218196E1
7.520000000E0	8.324646939E1
7.560000000E0	8.244805346E1
7.600000000E0	8.165227557E1
7.640000000E0	8.103413377E1
7.680000000E0	8.075177720E1
7.720000000E0	8.083177028E1
7.760000000E0	8.103595938E1
7.800000000E0	8.118666768E1
7.840000000E0	8.130415844E1
7.880000000E0	8.133620138E1
7.920000000E0	8.129999669E1
7.960000000E0	8.124178264E1
8.000000000E0	8.116949243E1
8.040000000E0	8.118587817E1
8.080000000E0	8.128425039E1
8.120000000E0	8.137530000E1
8.160000000E0	8.140275741E1
8.200000000E0	8.145612792E1
8.240000000E0	8.154242816E1
8.280000000E0	8.163004331E1
8.320000000E0	8.178871515E1
8.360000000E0	8.208613154E1
8.400000000E0	8.244527488E1
8.440000000E0	8.362736949E1
8.480000000E0	8.366356063E1
8.520000000E0	8.424996873E1
8.560000000E0	8.494199041E1
8.600000000E0	8.554158977E1
8.640000000E0	8.598704344E1
8.680000000E0	8.639980834E1
8.720000000E0	8.665128232E1
8.760000000E0	8.702353808E1
8.800000000E0	8.760265714E1
8.840000000E0	8.823384792E1
8.880000000E0	8.859892944E1
8.920000000E0	8.862087929E1
8.960000000E0	8.858222064E1
9.000000000E0	8.856705228E1
9.040000000E0	8.836550084E1
9.080000000E0	8.803823213E1
9.120000000E0	8.781901671E1
9.160000000E0	8.781046429E1
9.200000000E0	8.784989824E1
9.240000000E0	8.792151432E1
9.280000000E0	8.795343387E1
9.320000000E0	8.785156959E1
9.360000000E0	8.749867816E1
9.400000000E0	8.699000780E1
9.440000000E0	8.636847534E1
9.480000000E0	8.582863831E1
9.520000000E0	8.531262174E1
9.560000000E0	8.473360857E1
9.600000000E0	8.421513632E1
9.640000000E0	8.366756404E1
9.680000000E0	8.296500574E1
9.720000000E0	8.227172836E1
9.760000000E0	8.154698160E1
9.800000000E0	8.085889161E1
9.840000000E0	8.027560840E1
9.880000000E0	7.993902771E1
9.920000000E0	7.992990489E1
9.960000000E0	8.014010940E1
1.000000000E1	8.038711455E1
1.004000000E1	8.058291724E1
1.008000000E1	8.064243646E1
1.012000000E1	8.062323592E1
1.016000000E1	8.062175408E1
1.020000000E1	8.062926070E1
1.024000000E1	8.064654374E1
1.028000000E1	8.076249044E1
1.032000000E1	8.088834399E1
1.036000000E1	8.104439774E1
1.040000000E1	8.121151091E1
1.044000000E1	8.140101104E1
1.048000000E1	8.167953452E1
1.052000000E1	8.210805047E1
1.056000000E1	8.252723690E1
1.060000000E1	8.297127339E1
1.064000000E1	8.346578727E1
1.068000000E1	8.393703803E1
1.072000000E1	8.438797570E1
1.076000000E1	8.466362501E1
1.080000000E1	8.498593560E1
1.084000000E1	8.516034134E1
1.088000000E1	8.528874703E1
1.092000000E1	8.551025304E1
