
t/1	ANGLE/1
0.000000000E0	8.960223413E1
4.000000000E-2	8.960471892E1
8.000000000E-2	8.963302326E1
1.200000000E-1	8.966970436E1
1.600000000E-1	8.963067981E1
2.000000000E-1	8.960637187E1
2.400000000E-1	8.959971202E1
2.800000000E-1	8.960062446E1
3.200000000E-1	8.960115488E1
3.600000000E-1	8.959875595E1
4.000000000E-1	8.959665389E1
4.400000000E-1	8.958834174E1
4.800000000E-1	8.957981686E1
5.200000000E-1	8.959063353E1
5.600000000E-1	8.959597271E1
6.000000000E-1	8.959849549E1
6.400000000E-1	8.959961291E1
6.800000000E-1	8.960091601E1
7.200000000E-1	8.960155748E1
7.600000000E-1	8.960778083E1
8.000000000E-1	8.961502056E1
8.400000000E-1	8.960679721E1
8.800000000E-1	8.960565844E1
9.200000000E-1	8.960477431E1
9.600000000E-1	8.960076013E1
1.000000000E0	8.960714820E1
1.040000000E0	8.960213599E1
1.080000000E0	8.947053518E1
1.120000000E0	8.935556311E1
1.160000000E0	8.921597167E1
1.200000000E0	8.919613736E1
1.240000000E0	8.923383931E1
1.280000000E0	8.919718552E1
1.320000000E0	8.906123877E1
1.360000000E0	8.853336709E1
1.400000000E0	8.785142386E1
1.440000000E0	8.708956344E1
1.480000000E0	8.638555617E1
1.520000000E0	8.580018966E1
1.560000000E0	8.538134422E1
1.600000000E0	8.512882110E1
1.640000000E0	8.512965813E1
1.680000000E0	8.520048719E1
1.720000000E0	8.537885544E1
1.760000000E0	8.564659021E1
1.800000000E0	8.593652810E1
1.840000000E0	8.629937609E1
1.880000000E0	8.660453929E1
1.920000000E0	8.696596610E1
1.960000000E0	8.718983791E1
2.000000000E0	8.746456875E1
2.040000000E0	8.801778435E1
2.080000000E0	8.834403697E1
2.120000000E0	8.857371815E1
2.160000000E0	8.865860193E1
2.200000000E0	8.848288008E1
2.240000000E0	8.842051100E1
2.280000000E0	8.828528545E1
2.320000000E0	8.814855714E1
2.360000000E0	8.805272033E1
2.400000000E0	8.805322910E1
2.440000000E0	8.810442897E1
2.480000000E0	8.804081261E1
2.520000000E0	8.798735313E1
2.560000000E0	8.784689683E1
2.600000000E0	8.761740912E1
2.640000000E0	8.763898659E1
2.680000000E0	8.783499112E1
2.720000000E0	8.806432287E1
2.760000000E0	8.834521541E1
2.800000000E0	8.851208589E1
2.840000000E0	8.858342092E1
2.880000000E0	8.863297033E1
2.920000000E0	8.858924816E1
2.960000000E0	8.856601962E1
3.000000000E0	8.856296442E1
3.040000000E0	8.855104351E1
3.080000000E0	8.854786162E1
3.120000000E0	8.855261247E1
3.160000000E0	8.855612970E1
3.200000000E0	8.854864015E1
3.240000000E0	8.854587462E1
3.280000000E0	8.855841530E1
3.320000000E0	8.857091938E1
3.360000000E0	8.852347482E1
3.400000000E0	8.825939280E1
3.440000000E0	8.783714113E1
3.480000000E0	8.729189568E1
3.520000000E0	8.673512071E1
3.560000000E0	8.616248811E1
3.600000000E0	8.543427451E1
3.640000000E0	8.485502399E1
3.680000000E0	8.436667852E1
3.720000000E0	8.397726220E1
3.760000000E0	8.402479527E1
3.800000000E0	8.406048961E1
3.840000000E0	8.428420124E1
3.880000000E0	8.464433922E1
3.920000000E0	8.508053228E1
3.960000000E0	8.557107854E1
4.000000000E0	8.601946795E1
4.040000000E0	8.651396891E1
4.080000000E0	8.731520444E1
4.120000000E0	8.730363324E1
4.160000000E0	8.775760260E1
4.200000000E0	8.803366520E1
4.240000000E0	8.828661087E1
4.280000000E0	8.849264064E1
4.320000000E0	8.842389047E1
4.360000000E0	8.810391930E1
4.400000000E0	8.781395775E1
4.440000000E0	8.771397407E1
4.480000000E0	8.776676653E1
4.520000000E0	8.781693625E1
4.560000000E0	8.799220660E1
4.600000000E0	8.809714251E1
4.640000000E0	8.804173289E1
4.680000000E0	8.800396632E1
4.720000000E0	8.802526673E1
4.760000000E0	8.780242617E1
4.800000000E0	8.758638634E1
4.840000000E0	8.754352750E1
4.880000000E0	8.750568696E1
4.920000000E0	8.761301940E1
4.960000000E0	8.775939663E1
5.000000000E0	8.806875761E1
5.040000000E0	8.827454972E1
5.080000000E0	8.827067807E1
5.120000000E0	8.827492716E1
5.160000000E0	8.820910861E1
5.200000000E0	8.814798147E1
5.240000000E0	8.803794785E1
5.280000000E0	8.802077911E1
5.320000000E0	8.799829702E1
5.360000000E0	8.803442971E1
5.400000000E0	8.803176505E1
5.440000000E0	8.797220824E1
5.480000000E0	8.778113273E1
5.520000000E0	8.745476500E1
5.560000000E0	8.701084837E1
5.600000000E0	8.643108120E1
5.640000000E0	8.579161010E1
5.680000000E0	8.516820588E1
5.720000000E0	8.458415363E1
5.760000000E0	8.406943413E1
5.800000000E0	8.375887219E1
5.840000000E0	8.355822558E1
