
t/1	ANGLE/1
0.000000000E0	-1.047812256E1
4.000000000E-2	-1.049393228E1
8.000000000E-2	-1.049849247E1
1.200000000E-1	-1.049205300E1
1.600000000E-1	-1.048416471E1
2.000000000E-1	-1.047652524E1
2.400000000E-1	-1.046967918E1
2.800000000E-1	-1.046456976E1
3.200000000E-1	-1.047031779E1
3.600000000E-1	-1.047357051E1
4.000000000E-1	-1.049065967E1
4.400000000E-1	-1.052695154E1
4.800000000E-1	-1.060532383E1
5.200000000E-1	-1.065579387E1
5.600000000E-1	-1.071455853E1
6.000000000E-1	-1.072468219E1
6.400000000E-1	-1.073021902E1
6.800000000E-1	-1.073309520E1
7.200000000E-1	-1.073477789E1
7.600000000E-1	-1.073858957E1
8.000000000E-1	-1.074071911E1
8.400000000E-1	-1.074691349E1
8.800000000E-1	-1.075549673E1
9.200000000E-1	-1.076311609E1
9.600000000E-1	-1.078747818E1
1.000000000E0	-1.085011016E1
1.040000000E0	-1.080162868E1
1.080000000E0	-1.075328485E1
1.120000000E0	-1.016548977E1
1.160000000E0	-8.728861023E0
1.200000000E0	-6.188243481E0
1.240000000E0	-2.277792135E0
1.280000000E0	2.941395132E0
1.320000000E0	9.495241435E0
1.360000000E0	1.701561623E1
1.400000000E0	2.489329372E1
1.440000000E0	3.280452225E1
1.480000000E0	4.016405069E1
1.520000000E0	4.655889287E1
1.560000000E0	5.184870085E1
1.600000000E0	5.587459313E1
1.640000000E0	5.905725313E1
1.680000000E0	6.134435129E1
1.720000000E0	6.294687143E1
1.760000000E0	6.419172486E1
1.800000000E0	6.499979980E1
1.840000000E0	6.555213181E1
1.880000000E0	6.579943291E1
1.920000000E0	6.572296458E1
1.960000000E0	6.541306972E1
2.000000000E0	6.471366816E1
2.040000000E0	6.347070278E1
2.080000000E0	6.183672018E1
2.120000000E0	5.955053276E1
2.160000000E0	5.662967078E1
2.200000000E0	5.309420346E1
2.240000000E0	4.922383273E1
2.280000000E0	4.524479743E1
2.320000000E0	4.095649256E1
2.360000000E0	3.658642514E1
2.400000000E0	3.238208964E1
2.440000000E0	2.853068694E1
2.480000000E0	2.504491703E1
2.520000000E0	2.210818950E1
2.560000000E0	1.963753944E1
2.600000000E0	1.784126959E1
2.640000000E0	1.671232216E1
2.680000000E0	1.612980850E1
2.720000000E0	1.576737934E1
2.760000000E0	1.574598971E1
2.800000000E0	1.603572911E1
2.840000000E0	1.632868312E1
2.880000000E0	1.656160753E1
2.920000000E0	1.680623310E1
2.960000000E0	1.707884643E1
3.000000000E0	1.738921057E1
3.040000000E0	1.754272275E1
3.080000000E0	1.748235702E1
3.120000000E0	1.734466870E1
3.160000000E0	1.707691531E1
3.200000000E0	1.680725169E1
3.240000000E0	1.649366455E1
3.280000000E0	1.605011508E1
3.320000000E0	1.544715813E1
3.360000000E0	1.466611753E1
3.400000000E0	1.377368574E1
3.440000000E0	1.310441366E1
3.480000000E0	1.271906141E1
3.520000000E0	1.283768181E1
3.560000000E0	1.363780313E1
3.600000000E0	1.521164454E1
3.640000000E0	1.765478137E1
3.680000000E0	2.089883844E1
3.720000000E0	2.491162254E1
3.760000000E0	2.958856528E1
3.800000000E0	3.475125742E1
3.840000000E0	3.987020113E1
3.880000000E0	4.495093356E1
3.920000000E0	4.963166159E1
3.960000000E0	5.402436062E1
4.000000000E0	5.786704990E1
4.040000000E0	6.096572411E1
4.080000000E0	6.353072561E1
4.120000000E0	6.517080876E1
4.160000000E0	6.584783629E1
4.200000000E0	6.581537426E1
4.240000000E0	6.494868105E1
4.280000000E0	6.361331032E1
4.320000000E0	6.186826395E1
4.360000000E0	5.961637178E1
4.400000000E0	5.709405559E1
4.440000000E0	5.412924059E1
4.480000000E0	5.071626313E1
4.520000000E0	4.716310952E1
4.560000000E0	4.347331789E1
4.600000000E0	3.978439581E1
4.640000000E0	3.624767979E1
4.680000000E0	3.297751188E1
4.720000000E0	2.974891868E1
4.760000000E0	2.681078915E1
4.800000000E0	2.434775256E1
4.840000000E0	2.227654867E1
4.880000000E0	2.073875134E1
4.920000000E0	1.955713756E1
4.960000000E0	1.865280761E1
5.000000000E0	1.808332902E1
5.040000000E0	1.773279731E1
5.080000000E0	1.763023755E1
5.120000000E0	1.770009648E1
5.160000000E0	1.764766010E1
5.200000000E0	1.737535223E1
5.240000000E0	1.693806955E1
5.280000000E0	1.620203196E1
5.320000000E0	1.514188344E1
5.360000000E0	1.379098717E1
5.400000000E0	1.215816565E1
5.440000000E0	1.054359151E1
5.480000000E0	9.019075991E0
5.520000000E0	7.615532210E0
5.560000000E0	6.392837910E0
5.600000000E0	5.311018462E0
5.640000000E0	4.358770706E0
5.680000000E0	3.536813229E0
5.720000000E0	2.834345473E0
5.760000000E0	2.305501493E0
5.800000000E0	1.921540827E0
5.840000000E0	1.693946743E0
5.880000000E0	1.566155041E0
5.920000000E0	1.699015178E0
5.960000000E0	2.241085275E0
6.000000000E0	3.126922332E0
6.040000000E0	4.611868284E0
6.080000000E0	6.832373995E0
6.120000000E0	9.822700258E0
6.160000000E0	1.386749870E1
6.200000000E0	1.893681544E1
6.240000000E0	2.494260678E1
6.280000000E0	3.154131563E1
6.320000000E0	3.841971609E1
6.360000000E0	4.495821331E1
6.400000000E0	5.065496903E1
6.440000000E0	5.535280897E1
6.480000000E0	5.888683325E1
6.520000000E0	6.145319460E1
6.560000000E0	6.334109102E1
6.600000000E0	6.424570634E1
6.640000000E0	6.407749842E1
6.680000000E0	6.293906776E1
6.720000000E0	6.132674230E1
6.760000000E0	5.920927977E1
6.800000000E0	5.669551369E1
6.840000000E0	5.332025102E1
6.880000000E0	4.942806463E1
6.920000000E0	4.474031548E1
6.960000000E0	3.985947165E1
7.000000000E0	3.512522183E1
7.040000000E0	3.082679245E1
7.080000000E0	2.680054350E1
7.120000000E0	2.308968010E1
7.160000000E0	1.985537642E1
7.200000000E0	1.718894581E1
7.240000000E0	1.533207137E1
7.280000000E0	1.437303015E1
7.320000000E0	1.386534172E1
7.360000000E0	1.373325460E1
7.400000000E0	1.373220568E1
7.440000000E0	1.370157031E1
7.480000000E0	1.368995802E1
7.520000000E0	1.374753913E1
7.560000000E0	1.376494958E1
7.600000000E0	1.370177381E1
7.640000000E0	1.344658685E1
7.680000000E0	1.313830402E1
7.720000000E0	1.281583932E1
7.760000000E0	1.248938416E1
7.800000000E0	1.223473991E1
7.840000000E0	1.201784544E1
7.880000000E0	1.191940026E1
7.920000000E0	1.177424238E1
7.960000000E0	1.172587018E1
8.000000000E0	1.170309614E1
8.040000000E0	1.169766445E1
8.080000000E0	1.170197921E1
8.120000000E0	1.177086652E1
8.160000000E0	1.209246042E1
8.200000000E0	1.288853007E1
8.240000000E0	1.449560827E1
8.280000000E0	1.730875452E1
8.320000000E0	2.131197956E1
8.360000000E0	2.646530441E1
8.400000000E0	3.234885265E1
8.440000000E0	3.872580549E1
8.480000000E0	4.512068942E1
8.520000000E0	5.102126313E1
8.560000000E0	5.596944319E1
8.600000000E0	6.007418394E1
8.640000000E0	6.296858185E1
8.680000000E0	6.493097763E1
8.720000000E0	6.634724922E1
8.760000000E0	6.671105245E1
8.800000000E0	6.607292857E1
8.840000000E0	6.453577279E1
8.880000000E0	6.252916551E1
8.920000000E0	5.982949662E1
8.960000000E0	5.673018209E1
9.000000000E0	5.298472841E1
9.040000000E0	4.900141232E1
9.080000000E0	4.454728836E1
9.120000000E0	4.005062429E1
9.160000000E0	3.557186285E1
9.200000000E0	3.148182732E1
9.240000000E0	2.754590079E1
9.280000000E0	2.413113610E1
9.320000000E0	2.127492066E1
9.360000000E0	1.893932802E1
9.400000000E0	1.715118132E1
9.440000000E0	1.600286262E1
9.480000000E0	1.511288209E1
9.520000000E0	1.452618397E1
9.560000000E0	1.438731497E1
9.600000000E0	1.435481950E1
9.640000000E0	1.443827525E1
9.680000000E0	1.453642053E1
9.720000000E0	1.455932072E1
9.760000000E0	1.437113204E1
9.800000000E0	1.405967984E1
9.840000000E0	1.368430745E1
9.880000000E0	1.314468906E1
9.920000000E0	1.258972996E1
9.960000000E0	1.215421794E1
1.000000000E1	1.178395882E1
1.004000000E1	1.148128197E1
1.008000000E1	1.123124689E1
1.012000000E1	1.123947476E1
