
t/1	ANGLE/1
0.000000000E0	-6.915505869E1
4.000000000E-2	-6.927151008E1
8.000000000E-2	-6.953358818E1
1.200000000E-1	-6.973764233E1
1.600000000E-1	-6.993435945E1
2.000000000E-1	-7.018064390E1
2.400000000E-1	-7.038822516E1
2.800000000E-1	-7.059423438E1
3.200000000E-1	-7.075388453E1
3.600000000E-1	-7.071518087E1
4.000000000E-1	-7.080263416E1
4.400000000E-1	-7.070855919E1
4.800000000E-1	-7.031358941E1
5.200000000E-1	-6.968006409E1
5.600000000E-1	-6.933878919E1
6.000000000E-1	-6.906987273E1
6.400000000E-1	-6.882774272E1
6.800000000E-1	-6.883114339E1
7.200000000E-1	-6.886116332E1
7.600000000E-1	-6.880389930E1
8.000000000E-1	-6.883157094E1
8.400000000E-1	-6.892260063E1
8.800000000E-1	-6.902366191E1
9.200000000E-1	-6.897696258E1
9.600000000E-1	-6.897087756E1
1.000000000E0	-6.886246597E1
1.040000000E0	-6.880966655E1
1.080000000E0	-6.872616366E1
1.120000000E0	-6.860552994E1
1.160000000E0	-6.861206091E1
1.200000000E0	-6.872258976E1
1.240000000E0	-6.870681788E1
1.280000000E0	-6.876684211E1
1.320000000E0	-6.885916179E1
1.360000000E0	-6.896798641E1
1.400000000E0	-6.899536343E1
1.440000000E0	-6.907032299E1
1.480000000E0	-6.922531996E1
1.520000000E0	-6.949666205E1
1.560000000E0	-7.022936518E1
1.600000000E0	-7.187532734E1
1.640000000E0	-7.514742350E1
1.680000000E0	-8.057190883E1
1.720000000E0	-8.789129992E1
1.760000000E0	-9.676894409E1
1.800000000E0	-1.063343574E2
1.840000000E0	-1.162463597E2
1.880000000E0	-1.258202073E2
1.920000000E0	-1.336632424E2
1.960000000E0	-1.403129120E2
2.000000000E0	-1.454435148E2
2.040000000E0	-1.489981354E2
2.080000000E0	-1.514139871E2
2.120000000E0	-1.525313250E2
2.160000000E0	-1.531338491E2
2.200000000E0	-1.538219540E2
2.240000000E0	-1.542851255E2
2.280000000E0	-1.545486252E2
2.320000000E0	-1.541818084E2
2.360000000E0	-1.533670256E2
2.400000000E0	-1.523282964E2
2.440000000E0	-1.512386921E2
2.480000000E0	-1.497827733E2
2.520000000E0	-1.484770123E2
2.560000000E0	-1.465806911E2
2.600000000E0	-1.450178331E2
2.640000000E0	-1.430932307E2
2.680000000E0	-1.412849610E2
2.720000000E0	-1.396423588E2
2.760000000E0	-1.378228247E2
2.800000000E0	-1.362319645E2
2.840000000E0	-1.347310944E2
2.880000000E0	-1.331116898E2
2.920000000E0	-1.318905704E2
2.960000000E0	-1.307109055E2
3.000000000E0	-1.295153267E2
3.040000000E0	-1.284238695E2
3.080000000E0	-1.273867692E2
3.120000000E0	-1.267488436E2
3.160000000E0	-1.264833836E2
3.200000000E0	-1.264164758E2
3.240000000E0	-1.263574177E2
3.280000000E0	-1.260035315E2
3.320000000E0	-1.255030911E2
3.360000000E0	-1.250338551E2
3.400000000E0	-1.249025167E2
3.440000000E0	-1.248937278E2
3.480000000E0	-1.248490848E2
3.520000000E0	-1.245747680E2
3.560000000E0	-1.243213666E2
3.600000000E0	-1.241439770E2
3.640000000E0	-1.239326419E2
3.680000000E0	-1.232992606E2
3.720000000E0	-1.228130819E2
3.760000000E0	-1.221951789E2
3.800000000E0	-1.213797167E2
3.840000000E0	-1.206121574E2
3.880000000E0	-1.196801039E2
3.920000000E0	-1.188651236E2
3.960000000E0	-1.182522113E2
4.000000000E0	-1.177567591E2
4.040000000E0	-1.174591235E2
4.080000000E0	-1.174661736E2
4.120000000E0	-1.180457921E2
