
t/1	ANGLE/1
0.000000000E0	-2.453183349E0
4.000000000E-2	-2.449901542E0
8.000000000E-2	-2.448476887E0
1.200000000E-1	-2.447706686E0
1.600000000E-1	-2.448086202E0
2.000000000E-1	-2.448903279E0
2.400000000E-1	-2.450731198E0
2.800000000E-1	-2.449983947E0
3.200000000E-1	-2.449325807E0
3.600000000E-1	-2.447552900E0
4.000000000E-1	-2.450209725E0
4.400000000E-1	-2.450629453E0
4.800000000E-1	-2.448303005E0
5.200000000E-1	-2.449130319E0
5.600000000E-1	-2.449822167E0
6.000000000E-1	-2.451639593E0
6.400000000E-1	-2.451886181E0
6.800000000E-1	-2.451946214E0
7.200000000E-1	-2.451310792E0
7.600000000E-1	-2.451343108E0
8.000000000E-1	-2.451425191E0
8.400000000E-1	-2.448161101E0
8.800000000E-1	-2.448479810E0
9.200000000E-1	-2.448169960E0
9.600000000E-1	-2.448085397E0
1.000000000E0	-2.444998764E0
1.040000000E0	-2.442551518E0
1.080000000E0	-2.437997462E0
1.120000000E0	-2.433714408E0
1.160000000E0	-2.392111423E0
1.200000000E0	-2.076176388E0
1.240000000E0	-1.499010015E0
1.280000000E0	-6.957225599E-1
1.320000000E0	5.518471586E-1
1.360000000E0	2.275563014E0
1.400000000E0	4.420187529E0
1.440000000E0	6.862729202E0
1.480000000E0	9.321694758E0
1.520000000E0	1.175725305E1
1.560000000E0	1.421368526E1
1.600000000E0	1.684305039E1
1.640000000E0	1.970277515E1
1.680000000E0	2.274813692E1
1.720000000E0	2.577331400E1
1.760000000E0	2.862102780E1
1.800000000E0	3.093888985E1
1.840000000E0	3.313431146E1
1.880000000E0	3.541772064E1
1.920000000E0	3.788041730E1
1.960000000E0	4.031345442E1
2.000000000E0	4.251550969E1
2.040000000E0	4.484134865E1
2.080000000E0	4.707420752E1
2.120000000E0	4.926874890E1
2.160000000E0	5.129468553E1
2.200000000E0	5.281273493E1
2.240000000E0	5.408151582E1
2.280000000E0	5.507508084E1
2.320000000E0	5.582873054E1
2.360000000E0	5.639814010E1
2.400000000E0	5.686093014E1
