
t/1	ANGLE/1
0.000000000E0	-7.541038505E1
4.000000000E-2	-7.540958717E1
8.000000000E-2	-7.541083313E1
1.200000000E-1	-7.541532509E1
1.600000000E-1	-7.543037102E1
2.000000000E-1	-7.545234117E1
2.400000000E-1	-7.549662895E1
2.800000000E-1	-7.554487434E1
3.200000000E-1	-7.560380862E1
3.600000000E-1	-7.562853379E1
4.000000000E-1	-7.563415516E1
4.400000000E-1	-7.565860423E1
4.800000000E-1	-7.566975210E1
5.200000000E-1	-7.568330012E1
5.600000000E-1	-7.568975651E1
6.000000000E-1	-7.571020359E1
6.400000000E-1	-7.572310943E1
6.800000000E-1	-7.572835694E1
7.200000000E-1	-7.574056102E1
7.600000000E-1	-7.574190705E1
8.000000000E-1	-7.573673552E1
8.400000000E-1	-7.573445346E1
8.800000000E-1	-7.573858153E1
9.200000000E-1	-7.573779080E1
9.600000000E-1	-7.573142783E1
1.000000000E0	-7.574329057E1
1.040000000E0	-7.574097701E1
1.080000000E0	-7.573961490E1
1.120000000E0	-7.573019886E1
1.160000000E0	-7.572267235E1
1.200000000E0	-7.571584291E1
1.240000000E0	-7.571079315E1
1.280000000E0	-7.573061063E1
1.320000000E0	-7.576096159E1
1.360000000E0	-7.573860625E1
1.400000000E0	-7.572582251E1
1.440000000E0	-7.573151878E1
1.480000000E0	-7.572074043E1
1.520000000E0	-7.573610149E1
1.560000000E0	-7.575482548E1
1.600000000E0	-7.581610136E1
1.640000000E0	-7.587814577E1
1.680000000E0	-7.593688206E1
1.720000000E0	-7.598276180E1
1.760000000E0	-7.600662427E1
1.800000000E0	-7.603111870E1
1.840000000E0	-7.609899133E1
1.880000000E0	-7.614981332E1
1.920000000E0	-7.634624533E1
1.960000000E0	-7.632916119E1
2.000000000E0	-7.641441235E1
2.040000000E0	-7.645223111E1
2.080000000E0	-7.647069330E1
2.120000000E0	-7.647224899E1
2.160000000E0	-7.647607740E1
2.200000000E0	-7.648105731E1
2.240000000E0	-7.648626623E1
2.280000000E0	-7.648800983E1
2.320000000E0	-7.648983462E1
2.360000000E0	-7.647289475E1
2.400000000E0	-7.643303017E1
2.440000000E0	-7.643849463E1
2.480000000E0	-7.644554191E1
2.520000000E0	-7.646013308E1
2.560000000E0	-7.646350512E1
2.600000000E0	-7.648498062E1
2.640000000E0	-7.649520615E1
2.680000000E0	-7.649336337E1
2.720000000E0	-7.649259628E1
2.760000000E0	-7.649937851E1
2.800000000E0	-7.650928048E1
2.840000000E0	-7.650528796E1
2.880000000E0	-7.649736785E1
2.920000000E0	-7.649538551E1
2.960000000E0	-7.650739256E1
3.000000000E0	-7.649374537E1
3.040000000E0	-7.649185833E1
3.080000000E0	-7.649200899E1
3.120000000E0	-7.649557217E1
3.160000000E0	-7.649854731E1
3.200000000E0	-7.650324605E1
3.240000000E0	-7.640941476E1
3.280000000E0	-7.643769358E1
3.320000000E0	-7.643198980E1
3.360000000E0	-7.640575236E1
3.400000000E0	-7.634633640E1
3.440000000E0	-7.627531881E1
3.480000000E0	-7.627272962E1
3.520000000E0	-7.622377266E1
3.560000000E0	-7.614586692E1
3.600000000E0	-7.615394509E1
3.640000000E0	-7.617143337E1
3.680000000E0	-7.653628820E1
3.720000000E0	-7.713983000E1
3.760000000E0	-7.850488095E1
3.800000000E0	-8.176816678E1
3.840000000E0	-8.705730168E1
3.880000000E0	-9.391381473E1
3.920000000E0	-1.013368472E2
3.960000000E0	-1.087753893E2
4.000000000E0	-1.156612774E2
4.040000000E0	-1.220657617E2
4.080000000E0	-1.274164666E2
4.120000000E0	-1.313809057E2
4.160000000E0	-1.335893822E2
4.200000000E0	-1.358208312E2
4.240000000E0	-1.386341875E2
4.280000000E0	-1.411653780E2
4.320000000E0	-1.432002248E2
4.360000000E0	-1.446331466E2
4.400000000E0	-1.459528935E2
4.440000000E0	-1.471742036E2
4.480000000E0	-1.480749519E2
4.520000000E0	-1.490295353E2
4.560000000E0	-1.491247528E2
4.600000000E0	-1.473432449E2
4.640000000E0	-1.437936085E2
4.680000000E0	-1.378676077E2
4.720000000E0	-1.296534194E2
4.760000000E0	-1.204908211E2
4.800000000E0	-1.107307983E2
4.840000000E0	-1.009293161E2
4.880000000E0	-9.178312715E1
4.920000000E0	-8.418791263E1
4.960000000E0	-7.860738284E1
5.000000000E0	-7.504170691E1
5.040000000E0	-7.331864247E1
5.080000000E0	-7.294722615E1
5.120000000E0	-7.321184176E1
5.160000000E0	-7.394673033E1
5.200000000E0	-7.407745516E1
5.240000000E0	-7.478099421E1
5.280000000E0	-7.528108438E1
5.320000000E0	-7.535548168E1
5.360000000E0	-7.534690284E1
5.400000000E0	-7.528690615E1
5.440000000E0	-7.535167330E1
5.480000000E0	-7.531888650E1
5.520000000E0	-7.538012953E1
5.560000000E0	-7.552790922E1
5.600000000E0	-7.592712405E1
5.640000000E0	-7.675938950E1
5.680000000E0	-7.835854059E1
5.720000000E0	-8.154745269E1
5.760000000E0	-8.595614679E1
5.800000000E0	-9.125171319E1
5.840000000E0	-1.035297139E2
5.880000000E0	-1.035957137E2
5.920000000E0	-1.095096216E2
5.960000000E0	-1.150232486E2
6.000000000E0	-1.202507656E2
6.040000000E0	-1.251609554E2
6.080000000E0	-1.284222747E2
6.120000000E0	-1.314949492E2
6.160000000E0	-1.345873765E2
6.200000000E0	-1.373742644E2
6.240000000E0	-1.397436117E2
6.280000000E0	-1.416381775E2
6.320000000E0	-1.433323191E2
6.360000000E0	-1.448288876E2
6.400000000E0	-1.457964589E2
6.440000000E0	-1.465231373E2
6.480000000E0	-1.468291042E2
6.520000000E0	-1.460850035E2
6.560000000E0	-1.437317090E2
6.600000000E0	-1.393621278E2
6.640000000E0	-1.327529791E2
6.680000000E0	-1.157391824E2
