
t/1	ANGLE/1
0.000000000E0	9.030325927E1
4.000000000E-2	9.030271960E1
8.000000000E-2	9.030366898E1
1.200000000E-1	9.032846730E1
1.600000000E-1	9.035151280E1
2.000000000E-1	9.038211321E1
2.400000000E-1	9.042748938E1
2.800000000E-1	9.047062444E1
3.200000000E-1	9.052039939E1
3.600000000E-1	9.053737014E1
4.000000000E-1	9.053733093E1
4.400000000E-1	9.054421123E1
4.800000000E-1	9.054720833E1
5.200000000E-1	9.056151699E1
5.600000000E-1	9.056917936E1
6.000000000E-1	9.057198259E1
6.400000000E-1	9.057478096E1
6.800000000E-1	9.058515510E1
7.200000000E-1	9.060063562E1
7.600000000E-1	9.059209983E1
8.000000000E-1	9.059045802E1
8.400000000E-1	9.059179481E1
8.800000000E-1	9.059775544E1
9.200000000E-1	9.059802902E1
9.600000000E-1	9.059888726E1
1.000000000E0	9.062131237E1
1.040000000E0	9.062141519E1
1.080000000E0	9.062182828E1
1.120000000E0	9.062025349E1
1.160000000E0	9.061954741E1
1.200000000E0	9.061106093E1
1.240000000E0	9.060478165E1
1.280000000E0	9.062486332E1
1.320000000E0	9.065574404E1
1.360000000E0	9.063246740E1
1.400000000E0	9.061899753E1
1.440000000E0	9.061806509E1
1.480000000E0	9.060431561E1
1.520000000E0	9.061750263E1
1.560000000E0	9.063338697E1
1.600000000E0	9.069458327E1
1.640000000E0	9.075459802E1
1.680000000E0	9.079748237E1
1.720000000E0	9.081865418E1
1.760000000E0	9.083117356E1
1.800000000E0	9.084829076E1
1.840000000E0	9.086359153E1
1.880000000E0	9.088397801E1
1.920000000E0	9.106900088E1
1.960000000E0	9.109916157E1
2.000000000E0	9.110701649E1
2.040000000E0	9.110219515E1
2.080000000E0	9.109865386E1
2.120000000E0	9.110216543E1
2.160000000E0	9.110130553E1
2.200000000E0	9.109892071E1
2.240000000E0	9.110007684E1
2.280000000E0	9.108897543E1
2.320000000E0	9.107280610E1
2.360000000E0	9.104674776E1
2.400000000E0	9.100207301E1
2.440000000E0	9.101364707E1
2.480000000E0	9.102331559E1
2.520000000E0	9.104240360E1
2.560000000E0	9.104605236E1
2.600000000E0	9.107655051E1
2.640000000E0	9.109279944E1
2.680000000E0	9.109409373E1
2.720000000E0	9.109508015E1
2.760000000E0	9.110505436E1
2.800000000E0	9.111643645E1
2.840000000E0	9.112016094E1
2.880000000E0	9.111438326E1
2.920000000E0	9.111946802E1
2.960000000E0	9.114124709E1
3.000000000E0	9.110836460E1
3.040000000E0	9.110488307E1
3.080000000E0	9.110238681E1
3.120000000E0	9.109349451E1
3.160000000E0	9.107359876E1
3.200000000E0	9.101351330E1
3.240000000E0	9.089763244E1
3.280000000E0	9.084326163E1
3.320000000E0	9.080472775E1
3.360000000E0	9.076613407E1
3.400000000E0	9.069744451E1
3.440000000E0	9.058755160E1
3.480000000E0	9.053790103E1
3.520000000E0	9.046393913E1
3.560000000E0	9.033284047E1
3.600000000E0	9.024282556E1
