
t/1	ANGLE/1
2.652000000E1	6.492740962E1
2.648000000E1	6.503444077E1
2.656000000E1	6.524428701E1
2.828000000E1	6.545449525E1
2.824000000E1	6.562609714E1
2.832000000E1	6.568018087E1
2.660000000E1	6.578199052E1
3.212000000E1	6.580090836E1
2.644000000E1	6.586119228E1
3.216000000E1	6.599438763E1
2.836000000E1	6.603182493E1
3.016000000E1	6.610247957E1
3.020000000E1	6.612115348E1
3.208000000E1	6.626659028E1
3.012000000E1	6.642788417E1
2.820000000E1	6.643885676E1
3.024000000E1	6.647286970E1
2.092000000E1	6.652280850E1
3.220000000E1	6.653171500E1
2.840000000E1	6.656926102E1
2.088000000E1	6.660705965E1
2.664000000E1	6.665565877E1
2.460000000E1	6.692215963E1
2.096000000E1	6.693572101E1
2.456000000E1	6.694276938E1
2.268000000E1	6.696441819E1
3.028000000E1	6.697539397E1
2.272000000E1	6.702038969E1
3.224000000E1	6.702926177E1
9.760000000E0	6.712761451E1
2.640000000E1	6.715493055E1
1.340000000E1	6.715905357E1
2.844000000E1	6.721281380E1
3.204000000E1	6.721373019E1
9.800000000E0	6.725217997E1
3.008000000E1	6.731106315E1
2.464000000E1	6.742586868E1
1.336000000E1	6.745138273E1
2.276000000E1	6.746260712E1
3.032000000E1	6.746494366E1
1.344000000E1	6.748837913E1
2.084000000E1	6.751827584E1
9.720000000E0	6.753493395E1
1.904000000E1	6.758104543E1
2.452000000E1	6.759030591E1
2.668000000E1	6.760905893E1
2.100000000E1	6.761585948E1
3.228000000E1	6.764769948E1
9.840000000E0	6.770673520E1
2.264000000E1	6.770736439E1
6.160000000E0	6.772273769E1
1.900000000E1	6.774980481E1
2.816000000E1	6.788387388E1
1.908000000E1	6.802543020E1
2.468000000E1	6.804131298E1
3.036000000E1	6.804646159E1
6.200000000E0	6.805428806E1
2.280000000E1	6.810407021E1
1.720000000E1	6.813578938E1
6.120000000E0	6.813582334E1
2.848000000E1	6.815282489E1
1.348000000E1	6.817437086E1
3.232000000E1	6.827076745E1
4.440000000E0	6.827103510E1
9.880000000E0	6.830850482E1
1.724000000E1	6.834370623E1
2.520000000E0	6.835059869E1
1.332000000E1	6.840568761E1
1.148000000E1	6.841668729E1
1.528000000E1	6.842286912E1
2.480000000E0	6.846770801E1
2.104000000E1	6.849619586E1
3.200000000E1	6.855277130E1
4.480000000E0	6.858338388E1
1.716000000E1	6.863668948E1
1.532000000E1	6.865283630E1
4.400000000E0	6.866137173E1
3.004000000E1	6.869342731E1
2.560000000E0	6.869437105E1
1.152000000E1	6.870034158E1
3.040000000E1	6.870162068E1
1.896000000E1	6.870631348E1
6.240000000E0	6.872608962E1
1.912000000E1	6.874417188E1
9.680000000E0	6.874551965E1
1.144000000E1	6.877399707E1
2.472000000E1	6.877943407E1
2.672000000E1	6.884979612E1
2.448000000E1	6.887118801E1
2.284000000E1	6.889657897E1
1.352000000E1	6.890876652E1
2.636000000E1	6.891735468E1
3.236000000E1	6.895880725E1
1.524000000E1	6.897409305E1
1.728000000E1	6.897609995E1
2.852000000E1	6.902881627E1
2.260000000E1	6.917116877E1
9.920000000E0	6.918824205E1
4.520000000E0	6.921903695E1
2.440000000E0	6.922936591E1
1.156000000E1	6.928323295E1
1.536000000E1	6.928491244E1
2.080000000E1	6.934351312E1
2.600000000E0	6.935711029E1
3.044000000E1	6.941574305E1
2.108000000E1	6.949150345E1
6.080000000E0	6.949544046E1
1.916000000E1	6.950813562E1
2.476000000E1	6.956131759E1
6.280000000E0	6.959859612E1
7.960000000E0	6.967235562E1
3.240000000E1	6.971485265E1
1.356000000E1	6.973185453E1
1.732000000E1	6.975994986E1
1.140000000E1	6.986616105E1
1.712000000E1	6.990814256E1
8.000000000E0	6.991120761E1
2.288000000E1	6.992787044E1
2.676000000E1	6.993961188E1
7.920000000E0	6.997569312E1
2.812000000E1	7.001019184E1
4.360000000E0	7.001063804E1
4.560000000E0	7.003961517E1
1.160000000E1	7.004781562E1
9.960000000E0	7.005001990E1
2.856000000E1	7.005986882E1
1.540000000E1	7.006075855E1
3.048000000E1	7.016146273E1
2.640000000E0	7.017752319E1
1.328000000E1	7.021434614E1
1.520000000E1	7.030550059E1
3.000000000E1	7.031607775E1
1.920000000E1	7.032585607E1
3.244000000E1	7.040158650E1
1.892000000E1	7.045578422E1
3.196000000E1	7.051593953E1
2.480000000E1	7.054398157E1
2.112000000E1	7.061787214E1
8.040000000E0	7.062192636E1
1.736000000E1	7.069379498E1
1.360000000E1	7.070052375E1
6.320000000E0	7.070783155E1
2.444000000E1	7.079245318E1
2.632000000E1	7.085742972E1
3.052000000E1	7.089604453E1
2.860000000E1	7.092702632E1
2.292000000E1	7.094822055E1
9.640000000E0	7.096446929E1
1.544000000E1	7.098108468E1
4.600000000E0	7.099878833E1
1.164000000E1	7.100341008E1
2.680000000E1	7.101054951E1
7.880000000E0	7.104614785E1
2.400000000E0	7.108170006E1
1.000000000E1	7.113618821E1
3.248000000E1	7.118117457E1
2.680000000E0	7.127281917E1
1.924000000E1	7.137507657E1
2.256000000E1	7.139816028E1
2.484000000E1	7.146496103E1
8.080000000E0	7.151926709E1
3.056000000E1	7.166926087E1
2.116000000E1	7.169325291E1
2.864000000E1	7.176819939E1
3.252000000E1	7.178830412E1
1.740000000E1	7.180041264E1
6.360000000E0	7.187179178E1
1.364000000E1	7.187880961E1
2.996000000E1	7.194051241E1
1.548000000E1	7.195398091E1
6.040000000E0	7.197260257E1
1.136000000E1	7.198444932E1
1.168000000E1	7.200764384E1
2.296000000E1	7.205556076E1
2.684000000E1	7.206776803E1
4.640000000E0	7.214061536E1
1.708000000E1	7.214823369E1
2.076000000E1	7.217362250E1
1.004000000E1	7.224332387E1
2.488000000E1	7.233856922E1
