
t/1	ANGLE/1
0.000000000E0	-7.276389282E1
4.000000000E-2	-7.275839119E1
8.000000000E-2	-7.275743416E1
1.200000000E-1	-7.275899170E1
1.600000000E-1	-7.276174035E1
2.000000000E-1	-7.276033885E1
2.400000000E-1	-7.276179791E1
2.800000000E-1	-7.275954650E1
3.200000000E-1	-7.275965493E1
3.600000000E-1	-7.275924839E1
4.000000000E-1	-7.275738832E1
4.400000000E-1	-7.275886300E1
4.800000000E-1	-7.275979230E1
5.200000000E-1	-7.275440690E1
5.600000000E-1	-7.275921332E1
6.000000000E-1	-7.275529520E1
6.400000000E-1	-7.275273632E1
6.800000000E-1	-7.275357514E1
7.200000000E-1	-7.275409218E1
7.600000000E-1	-7.275202314E1
8.000000000E-1	-7.274916468E1
8.400000000E-1	-7.275304777E1
8.800000000E-1	-7.275483936E1
9.200000000E-1	-7.275736809E1
9.600000000E-1	-7.275780485E1
1.000000000E0	-7.275695974E1
1.040000000E0	-7.275817873E1
1.080000000E0	-7.275877340E1
1.120000000E0	-7.275870608E1
1.160000000E0	-7.276172754E1
1.200000000E0	-7.276512895E1
1.240000000E0	-7.276558255E1
1.280000000E0	-7.276400167E1
1.320000000E0	-7.276442130E1
1.360000000E0	-7.275120069E1
1.400000000E0	-7.275523853E1
1.440000000E0	-7.275647305E1
1.480000000E0	-7.275762682E1
1.520000000E0	-7.275841710E1
1.560000000E0	-7.275919559E1
1.600000000E0	-7.276485850E1
1.640000000E0	-7.277204813E1
1.680000000E0	-7.277402797E1
1.720000000E0	-7.278951634E1
1.760000000E0	-7.278255724E1
1.800000000E0	-7.277954417E1
1.840000000E0	-7.277807956E1
1.880000000E0	-7.277702275E1
1.920000000E0	-7.278054283E1
1.960000000E0	-7.279130297E1
2.000000000E0	-7.278192784E1
2.040000000E0	-7.278715205E1
2.080000000E0	-7.279754726E1
2.120000000E0	-7.281085166E1
2.160000000E0	-7.293994513E1
2.200000000E0	-7.328157898E1
2.240000000E0	-7.366738760E1
2.280000000E0	-7.408706838E1
2.320000000E0	-7.461781121E1
2.360000000E0	-7.636721947E1
2.400000000E0	-7.981303708E1
2.440000000E0	-8.515473187E1
2.480000000E0	-9.180030631E1
2.520000000E0	-9.898112682E1
2.560000000E0	-1.066948698E2
2.600000000E0	-1.146155527E2
2.640000000E0	-1.220408605E2
2.680000000E0	-1.287965347E2
2.720000000E0	-1.361950305E2
2.760000000E0	-1.449513037E2
2.800000000E0	-1.531278128E2
2.840000000E0	-1.578416362E2
2.880000000E0	-1.576875878E2
2.920000000E0	-1.596402865E2
2.960000000E0	-1.596912024E2
3.000000000E0	-1.594307693E2
3.040000000E0	-1.589803379E2
3.080000000E0	-1.586651381E2
3.120000000E0	-1.579445778E2
3.160000000E0	-1.562807514E2
3.200000000E0	-1.534915934E2
3.240000000E0	-1.485820994E2
3.280000000E0	-1.416427465E2
3.320000000E0	-1.330634043E2
3.360000000E0	-1.217142241E2
3.400000000E0	-1.108809392E2
3.440000000E0	-9.994578535E1
3.480000000E0	-9.010347088E1
3.520000000E0	-8.178924434E1
3.560000000E0	-7.648316318E1
3.600000000E0	-7.283576916E1
3.640000000E0	-7.072183972E1
3.680000000E0	-7.000984364E1
3.720000000E0	-6.990806966E1
3.760000000E0	-7.132739516E1
3.800000000E0	-7.142077754E1
3.840000000E0	-7.183901464E1
3.880000000E0	-7.230522172E1
3.920000000E0	-7.241899559E1
3.960000000E0	-7.260954422E1
4.000000000E0	-7.273442278E1
4.040000000E0	-7.292527070E1
4.080000000E0	-7.308931051E1
4.120000000E0	-7.320498697E1
4.160000000E0	-7.328511267E1
4.200000000E0	-7.328165918E1
4.240000000E0	-7.345637469E1
4.280000000E0	-7.366514899E1
4.320000000E0	-7.399784210E1
4.360000000E0	-7.485779212E1
4.400000000E0	-7.755249017E1
4.440000000E0	-8.188688496E1
4.480000000E0	-8.715833611E1
4.520000000E0	-9.303619475E1
4.560000000E0	-9.913735967E1
4.600000000E0	-1.055744352E2
4.640000000E0	-1.120764003E2
4.680000000E0	-1.189473376E2
4.720000000E0	-1.259661068E2
4.760000000E0	-1.333013471E2
4.800000000E0	-1.409325874E2
4.840000000E0	-1.472735449E2
4.880000000E0	-1.538402449E2
4.920000000E0	-1.573896175E2
4.960000000E0	-1.572614073E2
5.000000000E0	-1.571820702E2
5.040000000E0	-1.575491151E2
5.080000000E0	-1.571958702E2
