
t/1	ANGLE/1
0.000000000E0	-4.123437453E0
4.000000000E-2	-4.123307178E0
8.000000000E-2	-4.123700734E0
1.200000000E-1	-4.122415066E0
1.600000000E-1	-4.122159788E0
2.000000000E-1	-4.122517273E0
2.400000000E-1	-4.123004454E0
2.800000000E-1	-4.123574563E0
3.200000000E-1	-4.124619941E0
3.600000000E-1	-4.124011449E0
4.000000000E-1	-4.123687119E0
4.400000000E-1	-4.124159865E0
4.800000000E-1	-4.124573224E0
5.200000000E-1	-4.127007930E0
5.600000000E-1	-4.125154849E0
6.000000000E-1	-4.127874114E0
6.400000000E-1	-4.129843116E0
6.800000000E-1	-4.129125504E0
7.200000000E-1	-4.128612505E0
7.600000000E-1	-4.130238110E0
8.000000000E-1	-4.132226019E0
8.400000000E-1	-4.130534324E0
8.800000000E-1	-4.129679635E0
9.200000000E-1	-4.129745863E0
9.600000000E-1	-4.128709713E0
1.000000000E0	-4.127488874E0
1.040000000E0	-4.127058384E0
1.080000000E0	-4.126707777E0
1.120000000E0	-4.126249040E0
1.160000000E0	-4.126219108E0
1.200000000E0	-4.126281910E0
1.240000000E0	-4.126867675E0
1.280000000E0	-4.127533930E0
1.320000000E0	-4.126433662E0
1.360000000E0	-4.134006431E0
1.400000000E0	-4.129680980E0
1.440000000E0	-4.128760486E0
1.480000000E0	-4.128089412E0
1.520000000E0	-4.127561176E0
1.560000000E0	-4.127111244E0
1.600000000E0	-4.126927464E0
1.640000000E0	-4.126795117E0
1.680000000E0	-4.125441786E0
1.720000000E0	-4.124442501E0
1.760000000E0	-4.124133182E0
1.800000000E0	-4.124092606E0
1.840000000E0	-4.124012865E0
1.880000000E0	-4.123839279E0
1.920000000E0	-4.123882761E0
1.960000000E0	-4.123943313E0
2.000000000E0	-4.123659037E0
2.040000000E0	-4.122425745E0
2.080000000E0	-4.120775882E0
2.120000000E0	-4.114174034E0
2.160000000E0	-4.146218908E0
2.200000000E0	-4.078097598E0
2.240000000E0	-3.616285756E0
2.280000000E0	-2.758955721E0
2.320000000E0	-1.453321005E0
2.360000000E0	6.117175015E-1
2.400000000E0	3.589986435E0
2.440000000E0	7.363586865E0
2.480000000E0	1.186833267E1
2.520000000E0	1.688141178E1
2.560000000E0	2.224208512E1
2.600000000E0	2.790615723E1
2.640000000E0	3.405431534E1
2.680000000E0	4.095465391E1
2.720000000E0	4.945075190E1
2.760000000E0	5.915626241E1
2.800000000E0	6.820097145E1
2.840000000E0	7.533989304E1
2.880000000E0	7.907592174E1
2.920000000E0	8.425062463E1
2.960000000E0	8.420457305E1
3.000000000E0	8.426405017E1
3.040000000E0	8.314581205E1
3.080000000E0	8.237773930E1
3.120000000E0	8.071320196E1
3.160000000E0	7.781894416E1
3.200000000E0	7.442322487E1
3.240000000E0	6.978916604E1
3.280000000E0	6.422393966E1
3.320000000E0	5.699657080E1
3.360000000E0	4.859839194E1
